,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Algeria,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Algeria,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Algeria,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Algeria,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Algeria,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Algeria,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Algeria,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Algeria,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Algeria,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Algeria,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Algeria,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Algeria,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Algeria,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Algeria,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Algeria,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Algeria,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Algeria,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Algeria,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Algeria,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Algeria,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Algeria,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Algeria,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Algeria,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Algeria,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Algeria,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Algeria,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Algeria,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Algeria,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Algeria,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Algeria,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Algeria,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Algeria,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Algeria,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Algeria,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Algeria,,,,,0,0,1,0,0,1,2020-02-25T00:00:00Z
35,Algeria,,,,,0,0,1,0,0,1,2020-02-26T00:00:00Z
36,Algeria,,,,,0,0,1,0,0,1,2020-02-27T00:00:00Z
37,Algeria,,,,,0,0,1,0,0,1,2020-02-28T00:00:00Z
38,Algeria,,,,,0,0,1,0,0,1,2020-02-29T00:00:00Z
39,Algeria,,,,,0,0,1,0,0,1,2020-03-01T00:00:00Z
40,Algeria,,,,,0,0,3,0,0,3,2020-03-02T00:00:00Z
41,Algeria,,,,,0,0,5,0,0,5,2020-03-03T00:00:00Z
42,Algeria,,,,,0,0,12,0,0,12,2020-03-04T00:00:00Z
43,Algeria,,,,,0,0,12,0,0,12,2020-03-05T00:00:00Z
44,Algeria,,,,,0,0,17,0,0,17,2020-03-06T00:00:00Z
45,Algeria,,,,,0,0,17,0,0,17,2020-03-07T00:00:00Z
46,Algeria,,,,,0,0,19,0,0,19,2020-03-08T00:00:00Z
47,Algeria,,,,,0,0,20,0,0,20,2020-03-09T00:00:00Z
48,Algeria,,,,,0,0,20,0,0,20,2020-03-10T00:00:00Z
49,Algeria,,,,,0,0,20,0,0,20,2020-03-11T00:00:00Z
50,Algeria,,,,,0,0,24,1,8,15,2020-03-12T00:00:00Z
51,Algeria,,,,,0,0,26,2,8,16,2020-03-13T00:00:00Z
52,Algeria,,,,,0,0,37,3,12,22,2020-03-14T00:00:00Z
53,Algeria,,,,,0,0,48,4,12,32,2020-03-15T00:00:00Z
54,Algeria,,,,,0,0,54,4,12,38,2020-03-16T00:00:00Z
55,Algeria,,,,,0,0,60,4,12,44,2020-03-17T00:00:00Z
56,Algeria,,,,,0,0,74,7,12,55,2020-03-18T00:00:00Z
57,Algeria,,,,,0,0,87,9,32,46,2020-03-19T00:00:00Z
58,Algeria,,,,,0,0,90,11,32,47,2020-03-20T00:00:00Z
59,Algeria,,,,,0,0,139,15,32,92,2020-03-21T00:00:00Z
60,Algeria,,,,,0,0,201,17,65,119,2020-03-22T00:00:00Z
61,Algeria,,,,,0,0,230,17,65,148,2020-03-23T00:00:00Z
62,Algeria,,,,,0,0,264,19,24,221,2020-03-24T00:00:00Z
63,Algeria,,,,,0,0,302,21,65,216,2020-03-25T00:00:00Z
64,Algeria,,,,,0,0,367,25,29,313,2020-03-26T00:00:00Z
65,Algeria,,,,,0,0,409,26,29,354,2020-03-27T00:00:00Z
66,Algeria,,,,,0,0,454,29,31,394,2020-03-28T00:00:00Z
67,Algeria,,,,,0,0,511,31,31,449,2020-03-29T00:00:00Z
68,Algeria,,,,,0,0,584,35,37,512,2020-03-30T00:00:00Z
69,Algeria,,,,,0,0,716,44,46,626,2020-03-31T00:00:00Z
70,Algeria,,,,,0,0,847,58,61,728,2020-04-01T00:00:00Z
71,Algeria,,,,,0,0,986,86,61,839,2020-04-02T00:00:00Z
72,Algeria,,,,,0,0,1171,105,62,1004,2020-04-03T00:00:00Z
73,Algeria,,,,,0,0,1251,130,90,1031,2020-04-04T00:00:00Z
74,Algeria,,,,,0,0,1320,152,90,1078,2020-04-05T00:00:00Z
75,Algeria,,,,,0,0,1423,173,90,1160,2020-04-06T00:00:00Z
76,Algeria,,,,,0,0,1468,193,113,1162,2020-04-07T00:00:00Z
77,Algeria,,,,,0,0,1572,205,237,1130,2020-04-08T00:00:00Z
78,Algeria,,,,,0,0,1666,235,347,1084,2020-04-09T00:00:00Z
79,Algeria,,,,,0,0,1761,256,405,1100,2020-04-10T00:00:00Z
80,Algeria,,,,,0,0,1825,275,460,1090,2020-04-11T00:00:00Z
81,Algeria,,,,,0,0,1914,293,591,1030,2020-04-12T00:00:00Z
82,Algeria,,,,,0,0,1983,313,601,1069,2020-04-13T00:00:00Z
83,Algeria,,,,,0,0,2070,326,691,1053,2020-04-14T00:00:00Z
84,Algeria,,,,,0,0,2160,336,708,1116,2020-04-15T00:00:00Z
85,Algeria,,,,,0,0,2268,348,783,1137,2020-04-16T00:00:00Z
86,Algeria,,,,,0,0,2418,364,846,1208,2020-04-17T00:00:00Z
87,Algeria,,,,,0,0,2534,367,894,1273,2020-04-18T00:00:00Z
88,Algeria,,,,,0,0,2629,375,1047,1207,2020-04-19T00:00:00Z
89,Algeria,,,,,0,0,2718,384,1099,1235,2020-04-20T00:00:00Z
90,Algeria,,,,,0,0,2811,392,1152,1267,2020-04-21T00:00:00Z
91,Algeria,,,,,0,0,2910,402,1204,1304,2020-04-22T00:00:00Z
92,Algeria,,,,,0,0,3007,407,1355,1245,2020-04-23T00:00:00Z
93,Algeria,,,,,0,0,3127,415,1408,1304,2020-04-24T00:00:00Z
94,Algeria,,,,,0,0,3256,419,1479,1358,2020-04-25T00:00:00Z
95,Algeria,,,,,0,0,3382,425,1508,1449,2020-04-26T00:00:00Z
96,Algeria,,,,,0,0,3517,432,1558,1527,2020-04-27T00:00:00Z
97,Algeria,,,,,0,0,3649,437,1651,1561,2020-04-28T00:00:00Z
98,Algeria,,,,,0,0,3848,444,1702,1702,2020-04-29T00:00:00Z
99,Algeria,,,,,0,0,4006,450,1779,1777,2020-04-30T00:00:00Z
100,Algeria,,,,,0,0,4154,453,1821,1880,2020-05-01T00:00:00Z
101,Algeria,,,,,0,0,4295,459,1872,1964,2020-05-02T00:00:00Z
102,Algeria,,,,,0,0,4474,463,1936,2075,2020-05-03T00:00:00Z
103,Algeria,,,,,0,0,4648,465,1998,2185,2020-05-04T00:00:00Z
104,Algeria,,,,,0,0,4838,470,2067,2301,2020-05-05T00:00:00Z
105,Algeria,,,,,0,0,4997,476,2197,2324,2020-05-06T00:00:00Z
106,Algeria,,,,,0,0,5182,483,2323,2376,2020-05-07T00:00:00Z
107,Algeria,,,,,0,0,5369,488,2467,2414,2020-05-08T00:00:00Z
108,Algeria,,,,,0,0,5558,494,2546,2518,2020-05-09T00:00:00Z
109,Algeria,,,,,0,0,5723,502,2678,2543,2020-05-10T00:00:00Z
110,Algeria,,,,,0,0,5891,507,2841,2543,2020-05-11T00:00:00Z
111,Algeria,,,,,0,0,6067,515,2998,2554,2020-05-12T00:00:00Z
112,Algeria,,,,,0,0,6253,522,3058,2673,2020-05-13T00:00:00Z
113,Algeria,,,,,0,0,6442,529,3158,2755,2020-05-14T00:00:00Z
114,Algeria,,,,,0,0,6629,536,3271,2822,2020-05-15T00:00:00Z
115,Algeria,,,,,0,0,6821,542,3409,2870,2020-05-16T00:00:00Z
116,Algeria,,,,,0,0,7019,548,3507,2964,2020-05-17T00:00:00Z
117,Algeria,,,,,0,0,7201,555,3625,3021,2020-05-18T00:00:00Z
118,Algeria,,,,,0,0,7377,561,3746,3070,2020-05-19T00:00:00Z
119,Algeria,,,,,0,0,7542,568,3968,3006,2020-05-20T00:00:00Z
120,Algeria,,,,,0,0,7728,575,4062,3091,2020-05-21T00:00:00Z
121,Algeria,,,,,0,0,7918,582,4256,3080,2020-05-22T00:00:00Z
122,Algeria,,,,,0,0,8113,592,4426,3095,2020-05-23T00:00:00Z
123,Algeria,,,,,0,0,8306,600,4784,2922,2020-05-24T00:00:00Z
124,Algeria,,,,,0,0,8503,609,4747,3147,2020-05-25T00:00:00Z
125,Algeria,,,,,0,0,8697,617,4918,3162,2020-05-26T00:00:00Z
126,Algeria,,,,,0,0,8857,623,5129,3105,2020-05-27T00:00:00Z
127,Algeria,,,,,0,0,8997,630,5277,3090,2020-05-28T00:00:00Z
128,Algeria,,,,,0,0,9134,638,5422,3074,2020-05-29T00:00:00Z
129,Algeria,,,,,0,0,9267,646,5549,3072,2020-05-30T00:00:00Z
130,Algeria,,,,,0,0,9394,653,5748,2993,2020-05-31T00:00:00Z
131,Algeria,,,,,0,0,9513,661,5894,2958,2020-06-01T00:00:00Z
132,Algeria,,,,,0,0,9626,667,6067,2892,2020-06-02T00:00:00Z
133,Algeria,,,,,0,0,9733,673,6218,2842,2020-06-03T00:00:00Z
134,Algeria,,,,,0,0,9831,681,6297,2853,2020-06-04T00:00:00Z
135,Algeria,,,,,0,0,9935,690,6453,2792,2020-06-05T00:00:00Z
136,Algeria,,,,,0,0,10050,698,6631,2721,2020-06-06T00:00:00Z
137,Algeria,,,,,0,0,10154,707,6717,2730,2020-06-07T00:00:00Z
138,Algeria,,,,,0,0,10265,715,6799,2751,2020-06-08T00:00:00Z
139,Algeria,,,,,0,0,10382,724,6951,2707,2020-06-09T00:00:00Z
140,Algeria,,,,,0,0,10484,732,7074,2678,2020-06-10T00:00:00Z
141,Algeria,,,,,0,0,10589,741,7255,2593,2020-06-11T00:00:00Z
142,Algeria,,,,,0,0,10698,751,7322,2625,2020-06-12T00:00:00Z
143,Algeria,,,,,0,0,10810,760,7420,2630,2020-06-13T00:00:00Z
144,Algeria,,,,,0,0,10919,767,7606,2546,2020-06-14T00:00:00Z
145,Algeria,,,,,0,0,11031,777,7735,2519,2020-06-15T00:00:00Z
146,Algeria,,,,,0,0,11147,788,7842,2517,2020-06-16T00:00:00Z
147,Algeria,,,,,0,0,11268,799,7943,2526,2020-06-17T00:00:00Z
148,Algeria,,,,,0,0,11385,811,8078,2496,2020-06-18T00:00:00Z
149,Algeria,,,,,0,0,11504,825,8196,2483,2020-06-19T00:00:00Z
150,Algeria,,,,,0,0,11631,837,8324,2470,2020-06-20T00:00:00Z
151,Algeria,,,,,0,0,11771,845,8422,2504,2020-06-21T00:00:00Z
152,Algeria,,,,,0,0,11920,852,8559,2509,2020-06-22T00:00:00Z
153,Algeria,,,,,0,0,12076,861,8674,2541,2020-06-23T00:00:00Z
154,Algeria,,,,,0,0,12248,869,8792,2587,2020-06-24T00:00:00Z
155,Algeria,,,,,0,0,12445,878,8920,2647,2020-06-25T00:00:00Z
156,Algeria,,,,,0,0,12685,885,9066,2734,2020-06-26T00:00:00Z
157,Algeria,,,,,0,0,12968,892,9202,2874,2020-06-27T00:00:00Z
158,Algeria,,,,,0,0,13273,897,9371,3005,2020-06-28T00:00:00Z
159,Algeria,,,,,0,0,13571,905,9674,2992,2020-06-29T00:00:00Z
160,Algeria,,,,,0,0,13907,912,9897,3098,2020-06-30T00:00:00Z
161,Algeria,,,,,0,0,14272,920,10040,3312,2020-07-01T00:00:00Z
162,Algeria,,,,,0,0,14657,928,10342,3387,2020-07-02T00:00:00Z
163,Algeria,,,,,0,0,15070,937,10832,3301,2020-07-03T00:00:00Z
164,Algeria,,,,,0,0,15500,946,11181,3373,2020-07-04T00:00:00Z
165,Algeria,,,,,0,0,15941,952,11492,3497,2020-07-05T00:00:00Z
166,Algeria,,,,,0,0,16404,959,11884,3561,2020-07-06T00:00:00Z
167,Algeria,,,,,0,0,16879,968,12094,3817,2020-07-07T00:00:00Z
168,Algeria,,,,,0,0,17348,978,12329,4041,2020-07-08T00:00:00Z
169,Algeria,,,,,0,0,17808,988,12637,4183,2020-07-09T00:00:00Z
170,Algeria,,,,,0,0,18242,996,13124,4122,2020-07-10T00:00:00Z
171,Algeria,,,,,0,0,18712,1004,13124,4584,2020-07-11T00:00:00Z
172,Algeria,,,,,0,0,19195,1011,13743,4441,2020-07-12T00:00:00Z
173,Algeria,,,,,0,0,19689,1018,14019,4652,2020-07-13T00:00:00Z
174,Algeria,,,,,0,0,20216,1028,14295,4893,2020-07-14T00:00:00Z
175,Algeria,,,,,0,0,20770,1040,14792,4938,2020-07-15T00:00:00Z
176,Algeria,,,,,0,0,21355,1052,15107,5196,2020-07-16T00:00:00Z
177,Algeria,,,,,0,0,21948,1057,15430,5461,2020-07-17T00:00:00Z
178,Algeria,,,,,0,0,22549,1068,15744,5737,2020-07-18T00:00:00Z
179,Algeria,,,,,0,0,23084,1078,16051,5955,2020-07-19T00:00:00Z
