,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Argentina,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Argentina,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Argentina,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Argentina,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Argentina,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Argentina,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Argentina,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Argentina,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Argentina,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Argentina,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Argentina,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Argentina,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Argentina,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Argentina,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Argentina,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Argentina,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Argentina,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Argentina,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Argentina,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Argentina,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Argentina,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Argentina,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Argentina,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Argentina,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Argentina,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Argentina,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Argentina,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Argentina,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Argentina,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Argentina,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Argentina,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Argentina,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Argentina,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Argentina,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Argentina,,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Argentina,,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Argentina,,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
37,Argentina,,,,,0,0,0,0,0,0,2020-02-28T00:00:00Z
38,Argentina,,,,,0,0,0,0,0,0,2020-02-29T00:00:00Z
39,Argentina,,,,,0,0,0,0,0,0,2020-03-01T00:00:00Z
40,Argentina,,,,,0,0,0,0,0,0,2020-03-02T00:00:00Z
41,Argentina,,,,,0,0,1,0,0,1,2020-03-03T00:00:00Z
42,Argentina,,,,,0,0,1,0,0,1,2020-03-04T00:00:00Z
43,Argentina,,,,,0,0,1,0,0,1,2020-03-05T00:00:00Z
44,Argentina,,,,,0,0,2,0,0,2,2020-03-06T00:00:00Z
45,Argentina,,,,,0,0,8,0,0,8,2020-03-07T00:00:00Z
46,Argentina,,,,,0,0,12,1,0,11,2020-03-08T00:00:00Z
47,Argentina,,,,,0,0,12,1,0,11,2020-03-09T00:00:00Z
48,Argentina,,,,,0,0,17,1,0,16,2020-03-10T00:00:00Z
49,Argentina,,,,,0,0,19,1,0,18,2020-03-11T00:00:00Z
50,Argentina,,,,,0,0,19,1,0,18,2020-03-12T00:00:00Z
51,Argentina,,,,,0,0,31,2,0,29,2020-03-13T00:00:00Z
52,Argentina,,,,,0,0,34,2,1,31,2020-03-14T00:00:00Z
53,Argentina,,,,,0,0,45,2,1,42,2020-03-15T00:00:00Z
54,Argentina,,,,,0,0,56,2,1,53,2020-03-16T00:00:00Z
55,Argentina,,,,,0,0,68,2,3,63,2020-03-17T00:00:00Z
56,Argentina,,,,,0,0,79,2,3,74,2020-03-18T00:00:00Z
57,Argentina,,,,,0,0,97,3,3,91,2020-03-19T00:00:00Z
58,Argentina,,,,,0,0,128,3,3,122,2020-03-20T00:00:00Z
59,Argentina,,,,,0,0,158,4,3,151,2020-03-21T00:00:00Z
60,Argentina,,,,,0,0,266,4,3,259,2020-03-22T00:00:00Z
61,Argentina,,,,,0,0,301,4,3,294,2020-03-23T00:00:00Z
62,Argentina,,,,,0,0,387,6,52,329,2020-03-24T00:00:00Z
63,Argentina,,,,,0,0,387,8,52,327,2020-03-25T00:00:00Z
64,Argentina,,,,,0,0,502,9,63,430,2020-03-26T00:00:00Z
65,Argentina,,,,,0,0,589,13,72,504,2020-03-27T00:00:00Z
66,Argentina,,,,,0,0,690,18,72,600,2020-03-28T00:00:00Z
67,Argentina,,,,,0,0,745,19,72,654,2020-03-29T00:00:00Z
68,Argentina,,,,,0,0,820,23,228,569,2020-03-30T00:00:00Z
69,Argentina,,,,,0,0,1054,27,240,787,2020-03-31T00:00:00Z
70,Argentina,,,,,0,0,1054,28,248,778,2020-04-01T00:00:00Z
71,Argentina,,,,,0,0,1133,36,256,841,2020-04-02T00:00:00Z
72,Argentina,,,,,0,0,1265,39,266,960,2020-04-03T00:00:00Z
73,Argentina,,,,,0,0,1451,43,279,1129,2020-04-04T00:00:00Z
74,Argentina,,,,,0,0,1451,44,280,1127,2020-04-05T00:00:00Z
75,Argentina,,,,,0,0,1554,48,325,1181,2020-04-06T00:00:00Z
76,Argentina,,,,,0,0,1628,56,338,1234,2020-04-07T00:00:00Z
77,Argentina,,,,,0,0,1715,63,358,1294,2020-04-08T00:00:00Z
78,Argentina,,,,,0,0,1795,72,365,1358,2020-04-09T00:00:00Z
79,Argentina,,,,,0,0,1975,82,375,1518,2020-04-10T00:00:00Z
80,Argentina,,,,,0,0,1975,83,440,1452,2020-04-11T00:00:00Z
81,Argentina,,,,,0,0,2142,90,468,1584,2020-04-12T00:00:00Z
82,Argentina,,,,,0,0,2208,97,515,1596,2020-04-13T00:00:00Z
83,Argentina,,,,,0,0,2277,102,559,1616,2020-04-14T00:00:00Z
84,Argentina,,,,,0,0,2443,111,596,1736,2020-04-15T00:00:00Z
85,Argentina,,,,,0,0,2571,115,631,1825,2020-04-16T00:00:00Z
86,Argentina,,,,,0,0,2669,123,666,1880,2020-04-17T00:00:00Z
87,Argentina,,,,,0,0,2758,129,685,1944,2020-04-18T00:00:00Z
88,Argentina,,,,,0,0,2839,132,709,1998,2020-04-19T00:00:00Z
89,Argentina,,,,,0,0,2941,136,737,2068,2020-04-20T00:00:00Z
90,Argentina,,,,,0,0,3031,147,840,2044,2020-04-21T00:00:00Z
91,Argentina,,,,,0,0,3144,152,872,2120,2020-04-22T00:00:00Z
92,Argentina,,,,,0,0,3435,165,919,2351,2020-04-23T00:00:00Z
93,Argentina,,,,,0,0,3607,176,976,2455,2020-04-24T00:00:00Z
94,Argentina,,,,,0,0,3780,185,1030,2565,2020-04-25T00:00:00Z
95,Argentina,,,,,0,0,3892,192,1107,2593,2020-04-26T00:00:00Z
96,Argentina,,,,,0,0,4003,197,1140,2666,2020-04-27T00:00:00Z
97,Argentina,,,,,0,0,4127,207,1162,2758,2020-04-28T00:00:00Z
98,Argentina,,,,,0,0,4285,214,1192,2879,2020-04-29T00:00:00Z
99,Argentina,,,,,0,0,4428,218,1256,2954,2020-04-30T00:00:00Z
100,Argentina,,,,,0,0,4532,225,1292,3015,2020-05-01T00:00:00Z
101,Argentina,,,,,0,0,4681,237,1320,3124,2020-05-02T00:00:00Z
102,Argentina,,,,,0,0,4783,246,1354,3183,2020-05-03T00:00:00Z
103,Argentina,,,,,0,0,4887,260,1442,3185,2020-05-04T00:00:00Z
