,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Australia,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Australia,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Australia,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Australia,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Australia,,,,,0,0,4,0,0,4,2020-01-26T00:00:00Z
5,Australia,,,,,0,0,5,0,0,5,2020-01-27T00:00:00Z
6,Australia,,,,,0,0,5,0,0,5,2020-01-28T00:00:00Z
7,Australia,,,,,0,0,6,0,0,6,2020-01-29T00:00:00Z
8,Australia,,,,,0,0,9,0,2,7,2020-01-30T00:00:00Z
9,Australia,,,,,0,0,9,0,2,7,2020-01-31T00:00:00Z
10,Australia,,,,,0,0,12,0,2,10,2020-02-01T00:00:00Z
11,Australia,,,,,0,0,12,0,2,10,2020-02-02T00:00:00Z
12,Australia,,,,,0,0,12,0,2,10,2020-02-03T00:00:00Z
13,Australia,,,,,0,0,13,0,2,11,2020-02-04T00:00:00Z
14,Australia,,,,,0,0,13,0,2,11,2020-02-05T00:00:00Z
15,Australia,,,,,0,0,14,0,2,12,2020-02-06T00:00:00Z
16,Australia,,,,,0,0,15,0,2,13,2020-02-07T00:00:00Z
17,Australia,,,,,0,0,15,0,2,13,2020-02-08T00:00:00Z
18,Australia,,,,,0,0,15,0,2,13,2020-02-09T00:00:00Z
19,Australia,,,,,0,0,15,0,2,13,2020-02-10T00:00:00Z
20,Australia,,,,,0,0,15,0,2,13,2020-02-11T00:00:00Z
21,Australia,,,,,0,0,15,0,2,13,2020-02-12T00:00:00Z
22,Australia,,,,,0,0,15,0,8,7,2020-02-13T00:00:00Z
23,Australia,,,,,0,0,15,0,8,7,2020-02-14T00:00:00Z
24,Australia,,,,,0,0,15,0,8,7,2020-02-15T00:00:00Z
25,Australia,,,,,0,0,15,0,8,7,2020-02-16T00:00:00Z
26,Australia,,,,,0,0,15,0,10,5,2020-02-17T00:00:00Z
27,Australia,,,,,0,0,15,0,10,5,2020-02-18T00:00:00Z
28,Australia,,,,,0,0,15,0,10,5,2020-02-19T00:00:00Z
29,Australia,,,,,0,0,15,0,10,5,2020-02-20T00:00:00Z
30,Australia,,,,,0,0,15,0,11,4,2020-02-21T00:00:00Z
31,Australia,,,,,0,0,15,0,11,4,2020-02-22T00:00:00Z
32,Australia,,,,,0,0,15,0,11,4,2020-02-23T00:00:00Z
33,Australia,,,,,0,0,15,0,11,4,2020-02-24T00:00:00Z
34,Australia,,,,,0,0,15,0,11,4,2020-02-25T00:00:00Z
35,Australia,,,,,0,0,15,0,11,4,2020-02-26T00:00:00Z
36,Australia,,,,,0,0,15,0,11,4,2020-02-27T00:00:00Z
37,Australia,,,,,0,0,15,0,11,4,2020-02-28T00:00:00Z
38,Australia,,,,,0,0,25,0,11,14,2020-02-29T00:00:00Z
39,Australia,,,,,0,0,27,1,11,15,2020-03-01T00:00:00Z
40,Australia,,,,,0,0,30,1,11,18,2020-03-02T00:00:00Z
41,Australia,,,,,0,0,39,1,11,27,2020-03-03T00:00:00Z
42,Australia,,,,,0,0,52,2,11,39,2020-03-04T00:00:00Z
43,Australia,,,,,0,0,55,2,21,32,2020-03-05T00:00:00Z
44,Australia,,,,,0,0,60,2,21,37,2020-03-06T00:00:00Z
45,Australia,,,,,0,0,63,2,21,40,2020-03-07T00:00:00Z
46,Australia,,,,,0,0,76,3,21,52,2020-03-08T00:00:00Z
47,Australia,,,,,0,0,91,3,21,67,2020-03-09T00:00:00Z
48,Australia,,,,,0,0,107,3,21,83,2020-03-10T00:00:00Z
49,Australia,,,,,0,0,128,3,21,104,2020-03-11T00:00:00Z
50,Australia,,,,,0,0,128,3,21,104,2020-03-12T00:00:00Z
51,Australia,,,,,0,0,200,3,23,174,2020-03-13T00:00:00Z
52,Australia,,,,,0,0,250,3,23,224,2020-03-14T00:00:00Z
53,Australia,,,,,0,0,297,3,23,271,2020-03-15T00:00:00Z
54,Australia,,,,,0,0,377,3,23,351,2020-03-16T00:00:00Z
55,Australia,,,,,0,0,452,5,23,424,2020-03-17T00:00:00Z
56,Australia,,,,,0,0,568,6,23,539,2020-03-18T00:00:00Z
57,Australia,,,,,0,0,681,6,26,649,2020-03-19T00:00:00Z
58,Australia,,,,,0,0,791,7,26,758,2020-03-20T00:00:00Z
59,Australia,,,,,0,0,1071,7,26,1038,2020-03-21T00:00:00Z
60,Australia,,,,,0,0,1549,7,88,1454,2020-03-22T00:00:00Z
61,Australia,,,,,0,0,1682,7,88,1587,2020-03-23T00:00:00Z
62,Australia,,,,,0,0,2044,8,115,1921,2020-03-24T00:00:00Z
63,Australia,,,,,0,0,2364,8,119,2237,2020-03-25T00:00:00Z
64,Australia,,,,,0,0,2810,13,172,2625,2020-03-26T00:00:00Z
65,Australia,,,,,0,0,3143,13,194,2936,2020-03-27T00:00:00Z
66,Australia,,,,,0,0,3640,14,244,3382,2020-03-28T00:00:00Z
67,Australia,,,,,0,0,3984,16,244,3724,2020-03-29T00:00:00Z
68,Australia,,,,,0,0,4361,17,257,4087,2020-03-30T00:00:00Z
69,Australia,,,,,0,0,4559,18,358,4183,2020-03-31T00:00:00Z
70,Australia,,,,,0,0,4862,20,422,4420,2020-04-01T00:00:00Z
71,Australia,,,,,0,0,5116,24,520,4572,2020-04-02T00:00:00Z
72,Australia,,,,,0,0,5330,28,649,4653,2020-04-03T00:00:00Z
73,Australia,,,,,0,0,5550,30,701,4819,2020-04-04T00:00:00Z
74,Australia,,,,,0,0,5687,35,757,4895,2020-04-05T00:00:00Z
75,Australia,,,,,0,0,5797,40,1080,4677,2020-04-06T00:00:00Z
76,Australia,,,,,0,0,5895,45,1080,4770,2020-04-07T00:00:00Z
77,Australia,,,,,0,0,6010,50,1080,4880,2020-04-08T00:00:00Z
78,Australia,,,,,0,0,6108,51,1472,4585,2020-04-09T00:00:00Z
79,Australia,,,,,0,0,6215,54,1793,4368,2020-04-10T00:00:00Z
80,Australia,,,,,0,0,6303,57,1806,4440,2020-04-11T00:00:00Z
81,Australia,,,,,0,0,6315,60,1806,4449,2020-04-12T00:00:00Z
82,Australia,,,,,0,0,6351,61,1806,4484,2020-04-13T00:00:00Z
83,Australia,,,,,0,0,6415,62,2186,4167,2020-04-14T00:00:00Z
84,Australia,,,,,0,0,6440,63,2186,4191,2020-04-15T00:00:00Z
85,Australia,,,,,0,0,6462,63,2355,4044,2020-04-16T00:00:00Z
86,Australia,,,,,0,0,6522,66,3808,2648,2020-04-17T00:00:00Z
87,Australia,,,,,0,0,6568,67,4124,2377,2020-04-18T00:00:00Z
88,Australia,,,,,0,0,6610,67,4124,2419,2020-04-19T00:00:00Z
89,Australia,,,,,0,0,6623,67,4291,2265,2020-04-20T00:00:00Z
90,Australia,,,,,0,0,6645,67,4695,1883,2020-04-21T00:00:00Z
91,Australia,,,,,0,0,6652,67,4932,1653,2020-04-22T00:00:00Z
92,Australia,,,,,0,0,6662,75,5047,1540,2020-04-23T00:00:00Z
93,Australia,,,,,0,0,6677,79,5136,1462,2020-04-24T00:00:00Z
94,Australia,,,,,0,0,6694,80,5376,1238,2020-04-25T00:00:00Z
95,Australia,,,,,0,0,6714,83,5541,1090,2020-04-26T00:00:00Z
96,Australia,,,,,0,0,6721,83,5588,1050,2020-04-27T00:00:00Z
97,Australia,,,,,0,0,6744,89,5665,990,2020-04-28T00:00:00Z
98,Australia,,,,,0,0,6752,91,5715,946,2020-04-29T00:00:00Z
99,Australia,,,,,0,0,6766,93,5742,931,2020-04-30T00:00:00Z
100,Australia,,,,,0,0,6778,93,5775,910,2020-05-01T00:00:00Z
101,Australia,,,,,0,0,6799,94,5814,891,2020-05-02T00:00:00Z
102,Australia,,,,,0,0,6822,95,5849,878,2020-05-03T00:00:00Z
103,Australia,,,,,0,0,6847,96,5887,864,2020-05-04T00:00:00Z
104,Australia,,,,,0,0,6875,97,5975,803,2020-05-05T00:00:00Z
105,Australia,,,,,0,0,6894,97,6031,766,2020-05-06T00:00:00Z
106,Australia,,,,,0,0,6913,97,6078,738,2020-05-07T00:00:00Z
107,Australia,,,,,0,0,6918,97,6122,699,2020-05-08T00:00:00Z
108,Australia,,,,,0,0,6939,97,6141,701,2020-05-09T00:00:00Z
109,Australia,,,,,0,0,6948,97,6167,684,2020-05-10T00:00:00Z
110,Australia,,,,,0,0,6970,97,6213,660,2020-05-11T00:00:00Z
111,Australia,,,,,0,0,6980,98,6270,612,2020-05-12T00:00:00Z
112,Australia,,,,,0,0,6989,98,6297,594,2020-05-13T00:00:00Z
113,Australia,,,,,0,0,7019,98,6334,587,2020-05-14T00:00:00Z
114,Australia,,,,,0,0,7035,98,6359,578,2020-05-15T00:00:00Z
115,Australia,,,,,0,0,7044,98,6364,582,2020-05-16T00:00:00Z
116,Australia,,,,,0,0,7054,99,6392,563,2020-05-17T00:00:00Z
