,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Bahrain,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Bahrain,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Bahrain,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Bahrain,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Bahrain,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Bahrain,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Bahrain,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Bahrain,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Bahrain,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Bahrain,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Bahrain,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Bahrain,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Bahrain,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Bahrain,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Bahrain,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Bahrain,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Bahrain,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Bahrain,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Bahrain,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Bahrain,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Bahrain,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Bahrain,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Bahrain,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Bahrain,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Bahrain,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Bahrain,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Bahrain,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Bahrain,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Bahrain,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Bahrain,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Bahrain,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Bahrain,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Bahrain,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Bahrain,,,,,0,0,1,0,0,1,2020-02-24T00:00:00Z
34,Bahrain,,,,,0,0,23,0,0,23,2020-02-25T00:00:00Z
35,Bahrain,,,,,0,0,33,0,0,33,2020-02-26T00:00:00Z
36,Bahrain,,,,,0,0,33,0,0,33,2020-02-27T00:00:00Z
37,Bahrain,,,,,0,0,36,0,0,36,2020-02-28T00:00:00Z
38,Bahrain,,,,,0,0,41,0,0,41,2020-02-29T00:00:00Z
39,Bahrain,,,,,0,0,47,0,0,47,2020-03-01T00:00:00Z
40,Bahrain,,,,,0,0,49,0,0,49,2020-03-02T00:00:00Z
41,Bahrain,,,,,0,0,49,0,0,49,2020-03-03T00:00:00Z
42,Bahrain,,,,,0,0,52,0,0,52,2020-03-04T00:00:00Z
43,Bahrain,,,,,0,0,55,0,0,55,2020-03-05T00:00:00Z
44,Bahrain,,,,,0,0,60,0,4,56,2020-03-06T00:00:00Z
45,Bahrain,,,,,0,0,85,0,4,81,2020-03-07T00:00:00Z
46,Bahrain,,,,,0,0,85,0,4,81,2020-03-08T00:00:00Z
47,Bahrain,,,,,0,0,95,0,14,81,2020-03-09T00:00:00Z
48,Bahrain,,,,,0,0,110,0,22,88,2020-03-10T00:00:00Z
49,Bahrain,,,,,0,0,195,0,35,160,2020-03-11T00:00:00Z
50,Bahrain,,,,,0,0,195,0,35,160,2020-03-12T00:00:00Z
51,Bahrain,,,,,0,0,195,0,44,151,2020-03-13T00:00:00Z
52,Bahrain,,,,,0,0,210,0,44,166,2020-03-14T00:00:00Z
53,Bahrain,,,,,0,0,214,0,60,154,2020-03-15T00:00:00Z
54,Bahrain,,,,,0,0,214,1,77,136,2020-03-16T00:00:00Z
55,Bahrain,,,,,0,0,228,1,81,146,2020-03-17T00:00:00Z
56,Bahrain,,,,,0,0,256,1,88,167,2020-03-18T00:00:00Z
57,Bahrain,,,,,0,0,278,1,100,177,2020-03-19T00:00:00Z
58,Bahrain,,,,,0,0,285,1,100,184,2020-03-20T00:00:00Z
59,Bahrain,,,,,0,0,305,1,125,179,2020-03-21T00:00:00Z
60,Bahrain,,,,,0,0,334,2,149,183,2020-03-22T00:00:00Z
61,Bahrain,,,,,0,0,377,2,149,226,2020-03-23T00:00:00Z
62,Bahrain,,,,,0,0,392,3,177,212,2020-03-24T00:00:00Z
63,Bahrain,,,,,0,0,419,4,177,238,2020-03-25T00:00:00Z
64,Bahrain,,,,,0,0,458,4,204,250,2020-03-26T00:00:00Z
65,Bahrain,,,,,0,0,466,4,227,235,2020-03-27T00:00:00Z
66,Bahrain,,,,,0,0,476,4,265,207,2020-03-28T00:00:00Z
67,Bahrain,,,,,0,0,499,4,272,223,2020-03-29T00:00:00Z
68,Bahrain,,,,,0,0,515,4,279,232,2020-03-30T00:00:00Z
69,Bahrain,,,,,0,0,567,4,295,268,2020-03-31T00:00:00Z
70,Bahrain,,,,,0,0,569,4,337,228,2020-04-01T00:00:00Z
71,Bahrain,,,,,0,0,643,4,381,258,2020-04-02T00:00:00Z
72,Bahrain,,,,,0,0,672,4,382,286,2020-04-03T00:00:00Z
73,Bahrain,,,,,0,0,688,4,423,261,2020-04-04T00:00:00Z
74,Bahrain,,,,,0,0,700,4,431,265,2020-04-05T00:00:00Z
75,Bahrain,,,,,0,0,756,4,458,294,2020-04-06T00:00:00Z
76,Bahrain,,,,,0,0,811,5,458,348,2020-04-07T00:00:00Z
77,Bahrain,,,,,0,0,823,5,477,341,2020-04-08T00:00:00Z
78,Bahrain,,,,,0,0,887,5,519,363,2020-04-09T00:00:00Z
79,Bahrain,,,,,0,0,925,6,539,380,2020-04-10T00:00:00Z
80,Bahrain,,,,,0,0,1040,6,555,479,2020-04-11T00:00:00Z
81,Bahrain,,,,,0,0,1136,6,558,572,2020-04-12T00:00:00Z
82,Bahrain,,,,,0,0,1361,6,591,764,2020-04-13T00:00:00Z
83,Bahrain,,,,,0,0,1528,7,645,876,2020-04-14T00:00:00Z
84,Bahrain,,,,,0,0,1671,7,663,1001,2020-04-15T00:00:00Z
85,Bahrain,,,,,0,0,1700,7,703,990,2020-04-16T00:00:00Z
86,Bahrain,,,,,0,0,1740,7,725,1008,2020-04-17T00:00:00Z
87,Bahrain,,,,,0,0,1773,7,755,1011,2020-04-18T00:00:00Z
88,Bahrain,,,,,0,0,1881,7,759,1115,2020-04-19T00:00:00Z
89,Bahrain,,,,,0,0,1907,7,769,1131,2020-04-20T00:00:00Z
90,Bahrain,,,,,0,0,1973,7,784,1182,2020-04-21T00:00:00Z
91,Bahrain,,,,,0,0,2027,7,1026,994,2020-04-22T00:00:00Z
92,Bahrain,,,,,0,0,2217,8,1082,1127,2020-04-23T00:00:00Z
93,Bahrain,,,,,0,0,2518,8,1113,1397,2020-04-24T00:00:00Z
94,Bahrain,,,,,0,0,2588,8,1160,1420,2020-04-25T00:00:00Z
95,Bahrain,,,,,0,0,2647,8,1189,1450,2020-04-26T00:00:00Z
96,Bahrain,,,,,0,0,2723,8,1218,1497,2020-04-27T00:00:00Z
97,Bahrain,,,,,0,0,2811,8,1310,1493,2020-04-28T00:00:00Z
98,Bahrain,,,,,0,0,2921,8,1455,1458,2020-04-29T00:00:00Z
99,Bahrain,,,,,0,0,3040,8,1500,1532,2020-04-30T00:00:00Z
100,Bahrain,,,,,0,0,3170,8,1555,1607,2020-05-01T00:00:00Z
101,Bahrain,,,,,0,0,3284,8,1568,1708,2020-05-02T00:00:00Z
102,Bahrain,,,,,0,0,3383,8,1718,1657,2020-05-03T00:00:00Z
103,Bahrain,,,,,0,0,3533,8,1744,1781,2020-05-04T00:00:00Z
104,Bahrain,,,,,0,0,3720,8,1762,1950,2020-05-05T00:00:00Z
105,Bahrain,,,,,0,0,3934,8,1860,2066,2020-05-06T00:00:00Z
106,Bahrain,,,,,0,0,4199,8,2000,2191,2020-05-07T00:00:00Z
107,Bahrain,,,,,0,0,4444,8,2028,2408,2020-05-08T00:00:00Z
108,Bahrain,,,,,0,0,4774,8,2055,2711,2020-05-09T00:00:00Z
109,Bahrain,,,,,0,0,4941,8,2070,2863,2020-05-10T00:00:00Z
110,Bahrain,,,,,0,0,5236,8,2152,3076,2020-05-11T00:00:00Z
111,Bahrain,,,,,0,0,5531,9,2192,3330,2020-05-12T00:00:00Z
112,Bahrain,,,,,0,0,5816,10,2205,3601,2020-05-13T00:00:00Z
