,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Belgium,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Belgium,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Belgium,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Belgium,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Belgium,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Belgium,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Belgium,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Belgium,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Belgium,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Belgium,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Belgium,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Belgium,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Belgium,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Belgium,,,,,0,0,1,0,0,1,2020-02-04T00:00:00Z
14,Belgium,,,,,0,0,1,0,0,1,2020-02-05T00:00:00Z
15,Belgium,,,,,0,0,1,0,0,1,2020-02-06T00:00:00Z
16,Belgium,,,,,0,0,1,0,0,1,2020-02-07T00:00:00Z
17,Belgium,,,,,0,0,1,0,0,1,2020-02-08T00:00:00Z
18,Belgium,,,,,0,0,1,0,0,1,2020-02-09T00:00:00Z
19,Belgium,,,,,0,0,1,0,0,1,2020-02-10T00:00:00Z
20,Belgium,,,,,0,0,1,0,0,1,2020-02-11T00:00:00Z
21,Belgium,,,,,0,0,1,0,0,1,2020-02-12T00:00:00Z
22,Belgium,,,,,0,0,1,0,0,1,2020-02-13T00:00:00Z
23,Belgium,,,,,0,0,1,0,0,1,2020-02-14T00:00:00Z
24,Belgium,,,,,0,0,1,0,0,1,2020-02-15T00:00:00Z
25,Belgium,,,,,0,0,1,0,0,1,2020-02-16T00:00:00Z
26,Belgium,,,,,0,0,1,0,1,0,2020-02-17T00:00:00Z
27,Belgium,,,,,0,0,1,0,1,0,2020-02-18T00:00:00Z
28,Belgium,,,,,0,0,1,0,1,0,2020-02-19T00:00:00Z
29,Belgium,,,,,0,0,1,0,1,0,2020-02-20T00:00:00Z
30,Belgium,,,,,0,0,1,0,1,0,2020-02-21T00:00:00Z
31,Belgium,,,,,0,0,1,0,1,0,2020-02-22T00:00:00Z
32,Belgium,,,,,0,0,1,0,1,0,2020-02-23T00:00:00Z
33,Belgium,,,,,0,0,1,0,1,0,2020-02-24T00:00:00Z
34,Belgium,,,,,0,0,1,0,1,0,2020-02-25T00:00:00Z
35,Belgium,,,,,0,0,1,0,1,0,2020-02-26T00:00:00Z
36,Belgium,,,,,0,0,1,0,1,0,2020-02-27T00:00:00Z
37,Belgium,,,,,0,0,1,0,1,0,2020-02-28T00:00:00Z
38,Belgium,,,,,0,0,1,0,1,0,2020-02-29T00:00:00Z
39,Belgium,,,,,0,0,2,0,1,1,2020-03-01T00:00:00Z
40,Belgium,,,,,0,0,8,0,1,7,2020-03-02T00:00:00Z
41,Belgium,,,,,0,0,13,0,1,12,2020-03-03T00:00:00Z
42,Belgium,,,,,0,0,23,0,1,22,2020-03-04T00:00:00Z
43,Belgium,,,,,0,0,50,0,1,49,2020-03-05T00:00:00Z
44,Belgium,,,,,0,0,109,0,1,108,2020-03-06T00:00:00Z
45,Belgium,,,,,0,0,169,0,1,168,2020-03-07T00:00:00Z
46,Belgium,,,,,0,0,200,0,1,199,2020-03-08T00:00:00Z
