,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Bolivia,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Bolivia,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Bolivia,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Bolivia,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Bolivia,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Bolivia,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Bolivia,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Bolivia,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Bolivia,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Bolivia,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Bolivia,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Bolivia,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Bolivia,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Bolivia,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Bolivia,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Bolivia,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Bolivia,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Bolivia,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Bolivia,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Bolivia,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Bolivia,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Bolivia,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Bolivia,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Bolivia,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Bolivia,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Bolivia,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Bolivia,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Bolivia,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Bolivia,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Bolivia,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Bolivia,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Bolivia,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Bolivia,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Bolivia,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Bolivia,,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Bolivia,,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Bolivia,,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
37,Bolivia,,,,,0,0,0,0,0,0,2020-02-28T00:00:00Z
38,Bolivia,,,,,0,0,0,0,0,0,2020-02-29T00:00:00Z
39,Bolivia,,,,,0,0,0,0,0,0,2020-03-01T00:00:00Z
40,Bolivia,,,,,0,0,0,0,0,0,2020-03-02T00:00:00Z
41,Bolivia,,,,,0,0,0,0,0,0,2020-03-03T00:00:00Z
42,Bolivia,,,,,0,0,0,0,0,0,2020-03-04T00:00:00Z
43,Bolivia,,,,,0,0,0,0,0,0,2020-03-05T00:00:00Z
44,Bolivia,,,,,0,0,0,0,0,0,2020-03-06T00:00:00Z
45,Bolivia,,,,,0,0,0,0,0,0,2020-03-07T00:00:00Z
46,Bolivia,,,,,0,0,0,0,0,0,2020-03-08T00:00:00Z
47,Bolivia,,,,,0,0,0,0,0,0,2020-03-09T00:00:00Z
48,Bolivia,,,,,0,0,0,0,0,0,2020-03-10T00:00:00Z
49,Bolivia,,,,,0,0,2,0,0,2,2020-03-11T00:00:00Z
50,Bolivia,,,,,0,0,2,0,0,2,2020-03-12T00:00:00Z
51,Bolivia,,,,,0,0,3,0,0,3,2020-03-13T00:00:00Z
52,Bolivia,,,,,0,0,10,0,0,10,2020-03-14T00:00:00Z
53,Bolivia,,,,,0,0,10,0,0,10,2020-03-15T00:00:00Z
54,Bolivia,,,,,0,0,11,0,0,11,2020-03-16T00:00:00Z
55,Bolivia,,,,,0,0,11,0,0,11,2020-03-17T00:00:00Z
56,Bolivia,,,,,0,0,12,0,0,12,2020-03-18T00:00:00Z
57,Bolivia,,,,,0,0,12,0,0,12,2020-03-19T00:00:00Z
58,Bolivia,,,,,0,0,15,0,0,15,2020-03-20T00:00:00Z
59,Bolivia,,,,,0,0,19,0,0,19,2020-03-21T00:00:00Z
60,Bolivia,,,,,0,0,24,0,0,24,2020-03-22T00:00:00Z
61,Bolivia,,,,,0,0,27,0,0,27,2020-03-23T00:00:00Z
62,Bolivia,,,,,0,0,29,0,0,29,2020-03-24T00:00:00Z
63,Bolivia,,,,,0,0,32,0,0,32,2020-03-25T00:00:00Z
64,Bolivia,,,,,0,0,43,0,0,43,2020-03-26T00:00:00Z
65,Bolivia,,,,,0,0,61,0,0,61,2020-03-27T00:00:00Z
66,Bolivia,,,,,0,0,74,0,0,74,2020-03-28T00:00:00Z
67,Bolivia,,,,,0,0,81,1,0,80,2020-03-29T00:00:00Z
68,Bolivia,,,,,0,0,97,4,0,93,2020-03-30T00:00:00Z
69,Bolivia,,,,,0,0,107,6,0,101,2020-03-31T00:00:00Z
70,Bolivia,,,,,0,0,115,7,1,107,2020-04-01T00:00:00Z
71,Bolivia,,,,,0,0,123,8,1,114,2020-04-02T00:00:00Z
72,Bolivia,,,,,0,0,132,9,1,122,2020-04-03T00:00:00Z
73,Bolivia,,,,,0,0,139,10,1,128,2020-04-04T00:00:00Z
74,Bolivia,,,,,0,0,157,10,2,145,2020-04-05T00:00:00Z
75,Bolivia,,,,,0,0,183,11,2,170,2020-04-06T00:00:00Z
76,Bolivia,,,,,0,0,194,14,2,178,2020-04-07T00:00:00Z
77,Bolivia,,,,,0,0,210,15,2,193,2020-04-08T00:00:00Z
78,Bolivia,,,,,0,0,264,18,2,244,2020-04-09T00:00:00Z
79,Bolivia,,,,,0,0,268,19,2,247,2020-04-10T00:00:00Z
80,Bolivia,,,,,0,0,275,20,2,253,2020-04-11T00:00:00Z
81,Bolivia,,,,,0,0,300,24,2,274,2020-04-12T00:00:00Z
82,Bolivia,,,,,0,0,330,27,2,301,2020-04-13T00:00:00Z
