,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
37,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-28T00:00:00Z
38,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-02-29T00:00:00Z
39,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-03-01T00:00:00Z
40,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-03-02T00:00:00Z
41,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-03-03T00:00:00Z
42,Bosnia and Herzegovina,,,,,0,0,0,0,0,0,2020-03-04T00:00:00Z
43,Bosnia and Herzegovina,,,,,0,0,2,0,0,2,2020-03-05T00:00:00Z
44,Bosnia and Herzegovina,,,,,0,0,2,0,0,2,2020-03-06T00:00:00Z
45,Bosnia and Herzegovina,,,,,0,0,3,0,0,3,2020-03-07T00:00:00Z
46,Bosnia and Herzegovina,,,,,0,0,3,0,0,3,2020-03-08T00:00:00Z
47,Bosnia and Herzegovina,,,,,0,0,3,0,0,3,2020-03-09T00:00:00Z
48,Bosnia and Herzegovina,,,,,0,0,5,0,0,5,2020-03-10T00:00:00Z
49,Bosnia and Herzegovina,,,,,0,0,7,0,0,7,2020-03-11T00:00:00Z
50,Bosnia and Herzegovina,,,,,0,0,11,0,0,11,2020-03-12T00:00:00Z
51,Bosnia and Herzegovina,,,,,0,0,13,0,0,13,2020-03-13T00:00:00Z
52,Bosnia and Herzegovina,,,,,0,0,18,0,0,18,2020-03-14T00:00:00Z
