,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Bulgaria,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Bulgaria,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Bulgaria,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Bulgaria,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Bulgaria,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Bulgaria,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Bulgaria,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Bulgaria,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Bulgaria,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Bulgaria,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Bulgaria,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Bulgaria,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Bulgaria,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Bulgaria,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Bulgaria,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Bulgaria,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Bulgaria,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Bulgaria,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Bulgaria,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Bulgaria,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Bulgaria,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Bulgaria,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Bulgaria,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Bulgaria,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Bulgaria,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Bulgaria,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Bulgaria,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Bulgaria,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Bulgaria,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Bulgaria,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Bulgaria,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Bulgaria,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Bulgaria,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Bulgaria,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Bulgaria,,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Bulgaria,,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Bulgaria,,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
37,Bulgaria,,,,,0,0,0,0,0,0,2020-02-28T00:00:00Z
38,Bulgaria,,,,,0,0,0,0,0,0,2020-02-29T00:00:00Z
39,Bulgaria,,,,,0,0,0,0,0,0,2020-03-01T00:00:00Z
40,Bulgaria,,,,,0,0,0,0,0,0,2020-03-02T00:00:00Z
41,Bulgaria,,,,,0,0,0,0,0,0,2020-03-03T00:00:00Z
42,Bulgaria,,,,,0,0,0,0,0,0,2020-03-04T00:00:00Z
43,Bulgaria,,,,,0,0,0,0,0,0,2020-03-05T00:00:00Z
44,Bulgaria,,,,,0,0,0,0,0,0,2020-03-06T00:00:00Z
45,Bulgaria,,,,,0,0,0,0,0,0,2020-03-07T00:00:00Z
46,Bulgaria,,,,,0,0,4,0,0,4,2020-03-08T00:00:00Z
47,Bulgaria,,,,,0,0,4,0,0,4,2020-03-09T00:00:00Z
48,Bulgaria,,,,,0,0,4,0,0,4,2020-03-10T00:00:00Z
49,Bulgaria,,,,,0,0,7,1,0,6,2020-03-11T00:00:00Z
50,Bulgaria,,,,,0,0,7,1,0,6,2020-03-12T00:00:00Z
51,Bulgaria,,,,,0,0,23,1,0,22,2020-03-13T00:00:00Z
52,Bulgaria,,,,,0,0,41,2,0,39,2020-03-14T00:00:00Z
53,Bulgaria,,,,,0,0,51,2,0,49,2020-03-15T00:00:00Z
54,Bulgaria,,,,,0,0,52,2,0,50,2020-03-16T00:00:00Z
55,Bulgaria,,,,,0,0,67,2,0,65,2020-03-17T00:00:00Z
56,Bulgaria,,,,,0,0,92,2,0,90,2020-03-18T00:00:00Z
57,Bulgaria,,,,,0,0,94,3,0,91,2020-03-19T00:00:00Z
58,Bulgaria,,,,,0,0,127,3,0,124,2020-03-20T00:00:00Z
59,Bulgaria,,,,,0,0,163,3,3,157,2020-03-21T00:00:00Z
60,Bulgaria,,,,,0,0,187,3,3,181,2020-03-22T00:00:00Z
61,Bulgaria,,,,,0,0,201,3,3,195,2020-03-23T00:00:00Z
62,Bulgaria,,,,,0,0,218,3,3,212,2020-03-24T00:00:00Z
63,Bulgaria,,,,,0,0,242,3,4,235,2020-03-25T00:00:00Z
64,Bulgaria,,,,,0,0,264,3,8,253,2020-03-26T00:00:00Z
65,Bulgaria,,,,,0,0,293,3,9,281,2020-03-27T00:00:00Z
66,Bulgaria,,,,,0,0,331,7,11,313,2020-03-28T00:00:00Z
67,Bulgaria,,,,,0,0,346,8,14,324,2020-03-29T00:00:00Z
68,Bulgaria,,,,,0,0,359,8,17,334,2020-03-30T00:00:00Z
69,Bulgaria,,,,,0,0,399,8,17,374,2020-03-31T00:00:00Z
70,Bulgaria,,,,,0,0,422,10,20,392,2020-04-01T00:00:00Z
71,Bulgaria,,,,,0,0,457,10,25,422,2020-04-02T00:00:00Z
72,Bulgaria,,,,,0,0,485,14,30,441,2020-04-03T00:00:00Z
73,Bulgaria,,,,,0,0,503,17,34,452,2020-04-04T00:00:00Z
74,Bulgaria,,,,,0,0,531,20,37,474,2020-04-05T00:00:00Z
75,Bulgaria,,,,,0,0,549,22,39,488,2020-04-06T00:00:00Z
76,Bulgaria,,,,,0,0,577,23,42,512,2020-04-07T00:00:00Z
77,Bulgaria,,,,,0,0,593,24,42,527,2020-04-08T00:00:00Z
78,Bulgaria,,,,,0,0,618,24,48,546,2020-04-09T00:00:00Z
79,Bulgaria,,,,,0,0,635,25,54,556,2020-04-10T00:00:00Z
80,Bulgaria,,,,,0,0,661,28,62,571,2020-04-11T00:00:00Z
81,Bulgaria,,,,,0,0,675,29,68,578,2020-04-12T00:00:00Z
82,Bulgaria,,,,,0,0,685,32,71,582,2020-04-13T00:00:00Z
83,Bulgaria,,,,,0,0,713,35,81,597,2020-04-14T00:00:00Z
84,Bulgaria,,,,,0,0,747,36,105,606,2020-04-15T00:00:00Z
85,Bulgaria,,,,,0,0,800,38,122,640,2020-04-16T00:00:00Z
86,Bulgaria,,,,,0,0,846,41,141,664,2020-04-17T00:00:00Z
87,Bulgaria,,,,,0,0,878,41,153,684,2020-04-18T00:00:00Z
88,Bulgaria,,,,,0,0,894,42,161,691,2020-04-19T00:00:00Z
89,Bulgaria,,,,,0,0,929,43,167,719,2020-04-20T00:00:00Z
90,Bulgaria,,,,,0,0,975,45,170,760,2020-04-21T00:00:00Z
91,Bulgaria,,,,,0,0,1024,49,174,801,2020-04-22T00:00:00Z
92,Bulgaria,,,,,0,0,1097,52,190,855,2020-04-23T00:00:00Z
93,Bulgaria,,,,,0,0,1234,54,197,983,2020-04-24T00:00:00Z
94,Bulgaria,,,,,0,0,1247,55,197,995,2020-04-25T00:00:00Z
