,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Canada,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Canada,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Canada,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Canada,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Canada,,,,,0,0,1,0,0,1,2020-01-26T00:00:00Z
5,Canada,,,,,0,0,1,0,0,1,2020-01-27T00:00:00Z
6,Canada,,,,,0,0,2,0,0,2,2020-01-28T00:00:00Z
7,Canada,,,,,0,0,2,0,0,2,2020-01-29T00:00:00Z
8,Canada,,,,,0,0,2,0,0,2,2020-01-30T00:00:00Z
9,Canada,,,,,0,0,4,0,0,4,2020-01-31T00:00:00Z
10,Canada,,,,,0,0,4,0,0,4,2020-02-01T00:00:00Z
11,Canada,,,,,0,0,4,0,0,4,2020-02-02T00:00:00Z
12,Canada,,,,,0,0,4,0,0,4,2020-02-03T00:00:00Z
13,Canada,,,,,0,0,4,0,0,4,2020-02-04T00:00:00Z
14,Canada,,,,,0,0,5,0,0,5,2020-02-05T00:00:00Z
15,Canada,,,,,0,0,5,0,0,5,2020-02-06T00:00:00Z
16,Canada,,,,,0,0,7,0,0,7,2020-02-07T00:00:00Z
17,Canada,,,,,0,0,7,0,0,7,2020-02-08T00:00:00Z
18,Canada,,,,,0,0,7,0,0,7,2020-02-09T00:00:00Z
19,Canada,,,,,0,0,7,0,0,7,2020-02-10T00:00:00Z
20,Canada,,,,,0,0,7,0,0,7,2020-02-11T00:00:00Z
21,Canada,,,,,0,0,7,0,1,6,2020-02-12T00:00:00Z
22,Canada,,,,,0,0,7,0,1,6,2020-02-13T00:00:00Z
23,Canada,,,,,0,0,7,0,1,6,2020-02-14T00:00:00Z
24,Canada,,,,,0,0,7,0,1,6,2020-02-15T00:00:00Z
25,Canada,,,,,0,0,7,0,1,6,2020-02-16T00:00:00Z
26,Canada,,,,,0,0,8,0,1,7,2020-02-17T00:00:00Z
27,Canada,,,,,0,0,8,0,1,7,2020-02-18T00:00:00Z
28,Canada,,,,,0,0,8,0,1,7,2020-02-19T00:00:00Z
29,Canada,,,,,0,0,8,0,1,7,2020-02-20T00:00:00Z
