,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Chile,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Chile,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Chile,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Chile,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Chile,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Chile,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Chile,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Chile,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Chile,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Chile,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Chile,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Chile,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Chile,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Chile,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Chile,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Chile,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Chile,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Chile,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Chile,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Chile,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Chile,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Chile,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Chile,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Chile,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Chile,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Chile,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Chile,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Chile,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Chile,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Chile,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Chile,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Chile,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Chile,,,,,0,0,2,0,0,2,2020-02-23T00:00:00Z
33,Chile,,,,,0,0,2,0,0,2,2020-02-24T00:00:00Z
34,Chile,,,,,0,0,2,0,0,2,2020-02-25T00:00:00Z
35,Chile,,,,,0,0,2,0,0,2,2020-02-26T00:00:00Z
36,Chile,,,,,0,0,2,0,0,2,2020-02-27T00:00:00Z
37,Chile,,,,,0,0,2,0,0,2,2020-02-28T00:00:00Z
38,Chile,,,,,0,0,2,0,0,2,2020-02-29T00:00:00Z
39,Chile,,,,,0,0,9,0,0,9,2020-03-01T00:00:00Z
40,Chile,,,,,0,0,9,0,0,9,2020-03-02T00:00:00Z
41,Chile,,,,,0,0,10,0,0,10,2020-03-03T00:00:00Z
42,Chile,,,,,0,0,10,0,0,10,2020-03-04T00:00:00Z
43,Chile,,,,,0,0,13,0,0,13,2020-03-05T00:00:00Z
44,Chile,,,,,0,0,13,0,0,13,2020-03-06T00:00:00Z
45,Chile,,,,,0,0,13,0,0,13,2020-03-07T00:00:00Z
46,Chile,,,,,0,0,20,0,0,20,2020-03-08T00:00:00Z
47,Chile,,,,,0,0,20,0,0,20,2020-03-09T00:00:00Z
48,Chile,,,,,0,0,25,0,0,25,2020-03-10T00:00:00Z
49,Chile,,,,,0,0,35,0,0,35,2020-03-11T00:00:00Z
50,Chile,,,,,0,0,35,0,0,35,2020-03-12T00:00:00Z
51,Chile,,,,,0,0,55,0,0,55,2020-03-13T00:00:00Z
52,Chile,,,,,0,0,88,0,0,88,2020-03-14T00:00:00Z
53,Chile,,,,,0,0,101,0,0,101,2020-03-15T00:00:00Z
54,Chile,,,,,0,0,182,0,0,182,2020-03-16T00:00:00Z
55,Chile,,,,,0,0,228,0,0,228,2020-03-17T00:00:00Z
56,Chile,,,,,0,0,265,0,0,265,2020-03-18T00:00:00Z
57,Chile,,,,,0,0,265,0,0,265,2020-03-19T00:00:00Z
58,Chile,,,,,0,0,461,0,6,455,2020-03-20T00:00:00Z
59,Chile,,,,,0,0,592,0,6,586,2020-03-21T00:00:00Z
60,Chile,,,,,0,0,687,1,8,678,2020-03-22T00:00:00Z
61,Chile,,,,,0,0,801,2,8,791,2020-03-23T00:00:00Z
62,Chile,,,,,0,0,977,2,17,958,2020-03-24T00:00:00Z
63,Chile,,,,,0,0,1197,3,22,1172,2020-03-25T00:00:00Z
64,Chile,,,,,0,0,1361,4,22,1335,2020-03-26T00:00:00Z
65,Chile,,,,,0,0,1665,5,43,1617,2020-03-27T00:00:00Z
66,Chile,,,,,0,0,2015,6,61,1948,2020-03-28T00:00:00Z
67,Chile,,,,,0,0,2245,7,75,2163,2020-03-29T00:00:00Z
68,Chile,,,,,0,0,2555,8,156,2391,2020-03-30T00:00:00Z
69,Chile,,,,,0,0,2844,12,156,2676,2020-03-31T00:00:00Z
70,Chile,,,,,0,0,3137,16,234,2887,2020-04-01T00:00:00Z
71,Chile,,,,,0,0,3510,18,335,3157,2020-04-02T00:00:00Z
72,Chile,,,,,0,0,3843,22,427,3394,2020-04-03T00:00:00Z
73,Chile,,,,,0,0,4355,27,528,3800,2020-04-04T00:00:00Z
74,Chile,,,,,0,0,4665,34,618,4013,2020-04-05T00:00:00Z
75,Chile,,,,,0,0,5009,37,728,4244,2020-04-06T00:00:00Z
76,Chile,,,,,0,0,5310,43,898,4369,2020-04-07T00:00:00Z
77,Chile,,,,,0,0,5740,48,1115,4577,2020-04-08T00:00:00Z
78,Chile,,,,,0,0,6166,57,1274,4835,2020-04-09T00:00:00Z
79,Chile,,,,,0,0,6695,65,1571,5059,2020-04-10T00:00:00Z
80,Chile,,,,,0,0,7366,73,1864,5429,2020-04-11T00:00:00Z
81,Chile,,,,,0,0,7652,80,2059,5513,2020-04-12T00:00:00Z
82,Chile,,,,,0,0,7964,82,2367,5515,2020-04-13T00:00:00Z
83,Chile,,,,,0,0,8356,92,2646,5618,2020-04-14T00:00:00Z
84,Chile,,,,,0,0,8712,94,2937,5681,2020-04-15T00:00:00Z
85,Chile,,,,,0,0,9246,105,3299,5842,2020-04-16T00:00:00Z
86,Chile,,,,,0,0,9691,116,3621,5954,2020-04-17T00:00:00Z
87,Chile,,,,,0,0,10598,126,4035,6437,2020-04-18T00:00:00Z
88,Chile,,,,,0,0,10956,133,4338,6485,2020-04-19T00:00:00Z
89,Chile,,,,,0,0,11375,139,4676,6560,2020-04-20T00:00:00Z
90,Chile,,,,,0,0,11700,147,4969,6584,2020-04-21T00:00:00Z
91,Chile,,,,,0,0,12164,160,5386,6618,2020-04-22T00:00:00Z
92,Chile,,,,,0,0,12680,168,5804,6708,2020-04-23T00:00:00Z
93,Chile,,,,,0,0,13174,174,6327,6673,2020-04-24T00:00:00Z
94,Chile,,,,,0,0,14537,181,6746,7610,2020-04-25T00:00:00Z
95,Chile,,,,,0,0,15010,189,7024,7797,2020-04-26T00:00:00Z
96,Chile,,,,,0,0,15492,198,7327,7967,2020-04-27T00:00:00Z
97,Chile,,,,,0,0,16044,207,7710,8127,2020-04-28T00:00:00Z
98,Chile,,,,,0,0,16564,216,8057,8291,2020-04-29T00:00:00Z
99,Chile,,,,,0,0,17702,227,8580,8895,2020-04-30T00:00:00Z
100,Chile,,,,,0,0,18687,234,9018,9435,2020-05-01T00:00:00Z
101,Chile,,,,,0,0,21213,247,9572,11394,2020-05-02T00:00:00Z
102,Chile,,,,,0,0,22441,260,10041,12140,2020-05-03T00:00:00Z
103,Chile,,,,,0,0,23421,270,10415,12736,2020-05-04T00:00:00Z
104,Chile,,,,,0,0,24794,275,10710,13809,2020-05-05T00:00:00Z
