,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,China,,,,,0,0,548,17,28,503,2020-01-22T00:00:00Z
1,China,,,,,0,0,643,18,30,595,2020-01-23T00:00:00Z
2,China,,,,,0,0,920,26,36,858,2020-01-24T00:00:00Z
3,China,,,,,0,0,1406,42,39,1325,2020-01-25T00:00:00Z
4,China,,,,,0,0,2075,56,49,1970,2020-01-26T00:00:00Z
5,China,,,,,0,0,2877,82,58,2737,2020-01-27T00:00:00Z
6,China,,,,,0,0,5509,131,101,5277,2020-01-28T00:00:00Z
7,China,,,,,0,0,6087,133,120,5834,2020-01-29T00:00:00Z
8,China,,,,,0,0,8141,171,135,7835,2020-01-30T00:00:00Z
9,China,,,,,0,0,9802,213,214,9375,2020-01-31T00:00:00Z
10,China,,,,,0,0,11891,259,275,11357,2020-02-01T00:00:00Z
11,China,,,,,0,0,16630,361,463,15806,2020-02-02T00:00:00Z
12,China,,,,,0,0,19716,425,614,18677,2020-02-03T00:00:00Z
13,China,,,,,0,0,23707,491,843,22373,2020-02-04T00:00:00Z
14,China,,,,,0,0,27440,563,1115,25762,2020-02-05T00:00:00Z
15,China,,,,,0,0,30587,633,1477,28477,2020-02-06T00:00:00Z
16,China,,,,,0,0,34110,718,1999,31393,2020-02-07T00:00:00Z
17,China,,,,,0,0,36814,805,2596,33413,2020-02-08T00:00:00Z
18,China,,,,,0,0,39829,905,3219,35705,2020-02-09T00:00:00Z
19,China,,,,,0,0,42354,1012,3918,37424,2020-02-10T00:00:00Z
20,China,,,,,0,0,44386,1112,4636,38638,2020-02-11T00:00:00Z
21,China,,,,,0,0,44759,1117,5082,38560,2020-02-12T00:00:00Z
22,China,,,,,0,0,59895,1369,6217,52309,2020-02-13T00:00:00Z
23,China,,,,,0,0,66358,1521,7977,56860,2020-02-14T00:00:00Z
24,China,,,,,0,0,68413,1663,9298,57452,2020-02-15T00:00:00Z
25,China,,,,,0,0,70513,1766,10755,57992,2020-02-16T00:00:00Z
26,China,,,,,0,0,72434,1864,12462,58108,2020-02-17T00:00:00Z
27,China,,,,,0,0,74211,2003,14206,58002,2020-02-18T00:00:00Z
28,China,,,,,0,0,74619,2116,15962,56541,2020-02-19T00:00:00Z
29,China,,,,,0,0,75077,2238,18014,54825,2020-02-20T00:00:00Z
30,China,,,,,0,0,75550,2238,18704,54608,2020-02-21T00:00:00Z
31,China,,,,,0,0,77001,2443,22699,51859,2020-02-22T00:00:00Z
32,China,,,,,0,0,77022,2445,23187,51390,2020-02-23T00:00:00Z
33,China,,,,,0,0,77241,2595,25015,49631,2020-02-24T00:00:00Z
34,China,,,,,0,0,77754,2665,27676,47413,2020-02-25T00:00:00Z
35,China,,,,,0,0,78166,2717,30084,45365,2020-02-26T00:00:00Z
36,China,,,,,0,0,78600,2746,32930,42924,2020-02-27T00:00:00Z
37,China,,,,,0,0,78928,2790,36329,39809,2020-02-28T00:00:00Z
38,China,,,,,0,0,79356,2837,39320,37199,2020-02-29T00:00:00Z
39,China,,,,,0,0,79932,2872,42162,34898,2020-03-01T00:00:00Z
40,China,,,,,0,0,80136,2914,44854,32368,2020-03-02T00:00:00Z
41,China,,,,,0,0,80261,2947,47450,29864,2020-03-03T00:00:00Z
42,China,,,,,0,0,80386,2983,50001,27402,2020-03-04T00:00:00Z
43,China,,,,,0,0,80537,3015,52292,25230,2020-03-05T00:00:00Z
44,China,,,,,0,0,80690,3044,53944,23702,2020-03-06T00:00:00Z
45,China,,,,,0,0,80770,3072,55539,22159,2020-03-07T00:00:00Z
46,China,,,,,0,0,80823,3100,57388,20335,2020-03-08T00:00:00Z
47,China,,,,,0,0,80860,3123,58804,18933,2020-03-09T00:00:00Z
48,China,,,,,0,0,80887,3139,60181,17567,2020-03-10T00:00:00Z
49,China,,,,,0,0,80921,3161,61644,16116,2020-03-11T00:00:00Z
50,China,,,,,0,0,80932,3172,62901,14859,2020-03-12T00:00:00Z
51,China,,,,,0,0,80945,3180,64196,13569,2020-03-13T00:00:00Z
52,China,,,,,0,0,80977,3193,65660,12124,2020-03-14T00:00:00Z
53,China,,,,,0,0,81003,3203,67017,10783,2020-03-15T00:00:00Z
54,China,,,,,0,0,81033,3217,67910,9906,2020-03-16T00:00:00Z
55,China,,,,,0,0,81058,3230,68798,9030,2020-03-17T00:00:00Z
56,China,,,,,0,0,81102,3241,69755,8106,2020-03-18T00:00:00Z
57,China,,,,,0,0,81156,3249,70535,7372,2020-03-19T00:00:00Z
58,China,,,,,0,0,81250,3253,71266,6731,2020-03-20T00:00:00Z
59,China,,,,,0,0,81305,3259,71857,6189,2020-03-21T00:00:00Z
60,China,,,,,0,0,81435,3274,72362,5799,2020-03-22T00:00:00Z
61,China,,,,,0,0,81498,3274,72814,5410,2020-03-23T00:00:00Z
62,China,,,,,0,0,81591,3281,73280,5030,2020-03-24T00:00:00Z
63,China,,,,,0,0,81661,3285,73773,4603,2020-03-25T00:00:00Z
64,China,,,,,0,0,81782,3291,74181,4310,2020-03-26T00:00:00Z
65,China,,,,,0,0,81897,3296,74720,3881,2020-03-27T00:00:00Z
66,China,,,,,0,0,81999,3299,75100,3600,2020-03-28T00:00:00Z
67,China,,,,,0,0,82122,3304,75582,3236,2020-03-29T00:00:00Z
68,China,,,,,0,0,82198,3308,75923,2967,2020-03-30T00:00:00Z
69,China,,,,,0,0,82279,3309,76206,2764,2020-03-31T00:00:00Z
70,China,,,,,0,0,82361,3316,76405,2640,2020-04-01T00:00:00Z
71,China,,,,,0,0,82432,3322,76565,2545,2020-04-02T00:00:00Z
72,China,,,,,0,0,82511,3326,76760,2425,2020-04-03T00:00:00Z
73,China,,,,,0,0,82543,3330,76946,2267,2020-04-04T00:00:00Z
74,China,,,,,0,0,82602,3333,77207,2062,2020-04-05T00:00:00Z
75,China,,,,,0,0,82665,3335,77310,2020,2020-04-06T00:00:00Z
76,China,,,,,0,0,82718,3335,77410,1973,2020-04-07T00:00:00Z
77,China,,,,,0,0,82809,3337,77567,1905,2020-04-08T00:00:00Z
78,China,,,,,0,0,82883,3339,77679,1865,2020-04-09T00:00:00Z
79,China,,,,,0,0,82941,3340,77791,1810,2020-04-10T00:00:00Z
80,China,,,,,0,0,83014,3343,77877,1794,2020-04-11T00:00:00Z
81,China,,,,,0,0,83134,3343,77956,1835,2020-04-12T00:00:00Z
82,China,,,,,0,0,83213,3345,78039,1829,2020-04-13T00:00:00Z
83,China,,,,,0,0,83306,3345,78200,1761,2020-04-14T00:00:00Z
84,China,,,,,0,0,83356,3346,78311,1699,2020-04-15T00:00:00Z
85,China,,,,,0,0,83403,3346,78401,1656,2020-04-16T00:00:00Z
86,China,,,,,0,0,83760,4636,77552,1572,2020-04-17T00:00:00Z
87,China,,,,,0,0,83787,4636,77614,1537,2020-04-18T00:00:00Z
88,China,,,,,0,0,83805,4636,77690,1479,2020-04-19T00:00:00Z
89,China,,,,,0,0,83817,4636,77745,1436,2020-04-20T00:00:00Z
90,China,,,,,0,0,83853,4636,77799,1418,2020-04-21T00:00:00Z
91,China,,,,,0,0,83868,4636,77861,1371,2020-04-22T00:00:00Z
92,China,,,,,0,0,83884,4636,77983,1265,2020-04-23T00:00:00Z
93,China,,,,,0,0,83899,4636,78109,1154,2020-04-24T00:00:00Z
94,China,,,,,0,0,83909,4636,78175,1098,2020-04-25T00:00:00Z
95,China,,,,,0,0,83912,4637,78277,998,2020-04-26T00:00:00Z
96,China,,,,,0,0,83918,4637,78374,907,2020-04-27T00:00:00Z
97,China,,,,,0,0,83940,4637,78422,881,2020-04-28T00:00:00Z
98,China,,,,,0,0,83944,4637,78474,833,2020-04-29T00:00:00Z
99,China,,,,,0,0,83956,4637,78523,796,2020-04-30T00:00:00Z
100,China,,,,,0,0,83959,4637,78573,749,2020-05-01T00:00:00Z
101,China,,,,,0,0,83959,4637,78586,736,2020-05-02T00:00:00Z
102,China,,,,,0,0,83964,4637,78684,643,2020-05-03T00:00:00Z
103,China,,,,,0,0,83966,4637,78792,537,2020-05-04T00:00:00Z
104,China,,,,,0,0,83968,4637,78870,461,2020-05-05T00:00:00Z
105,China,,,,,0,0,83970,4637,78929,404,2020-05-06T00:00:00Z
106,China,,,,,0,0,83975,4637,78977,361,2020-05-07T00:00:00Z
107,China,,,,,0,0,83976,4637,78993,346,2020-05-08T00:00:00Z
108,China,,,,,0,0,83990,4637,79127,226,2020-05-09T00:00:00Z
109,China,,,,,0,0,84010,4637,79167,206,2020-05-10T00:00:00Z
110,China,,,,,0,0,84011,4637,79198,176,2020-05-11T00:00:00Z
111,China,,,,,0,0,84018,4637,79222,159,2020-05-12T00:00:00Z
112,China,,,,,0,0,84024,4637,79246,141,2020-05-13T00:00:00Z
113,China,,,,,0,0,84029,4637,79261,131,2020-05-14T00:00:00Z
114,China,,,,,0,0,84038,4637,79281,120,2020-05-15T00:00:00Z
115,China,,,,,0,0,84044,4638,79293,113,2020-05-16T00:00:00Z
116,China,,,,,0,0,84054,4638,79306,110,2020-05-17T00:00:00Z
117,China,,,,,0,0,84063,4638,79310,115,2020-05-18T00:00:00Z
118,China,,,,,0,0,84063,4638,79310,115,2020-05-19T00:00:00Z
119,China,,,,,0,0,84063,4638,79310,115,2020-05-20T00:00:00Z
120,China,,,,,0,0,84063,4638,79310,115,2020-05-21T00:00:00Z
121,China,,,,,0,0,84081,4638,79332,111,2020-05-22T00:00:00Z
122,China,,,,,0,0,84084,4638,79335,111,2020-05-23T00:00:00Z
123,China,,,,,0,0,84095,4638,79343,114,2020-05-24T00:00:00Z
124,China,,,,,0,0,84102,4638,79352,112,2020-05-25T00:00:00Z
125,China,,,,,0,0,84103,4638,79358,107,2020-05-26T00:00:00Z
126,China,,,,,0,0,84106,4638,79367,101,2020-05-27T00:00:00Z
127,China,,,,,0,0,84106,4638,79371,97,2020-05-28T00:00:00Z
128,China,,,,,0,0,84123,4638,79382,103,2020-05-29T00:00:00Z
129,China,,,,,0,0,84128,4638,79386,104,2020-05-30T00:00:00Z
130,China,,,,,0,0,84146,4638,79389,119,2020-05-31T00:00:00Z
131,China,,,,,0,0,84154,4638,79398,118,2020-06-01T00:00:00Z
132,China,,,,,0,0,84161,4638,79400,123,2020-06-02T00:00:00Z
133,China,,,,,0,0,84160,4638,79404,118,2020-06-03T00:00:00Z
134,China,,,,,0,0,84171,4638,79415,118,2020-06-04T00:00:00Z
135,China,,,,,0,0,84177,4638,79420,119,2020-06-05T00:00:00Z
136,China,,,,,0,0,84186,4638,79424,124,2020-06-06T00:00:00Z
137,China,,,,,0,0,84191,4638,79434,119,2020-06-07T00:00:00Z
138,China,,,,,0,0,84195,4638,79444,113,2020-06-08T00:00:00Z
139,China,,,,,0,0,84198,4638,79451,109,2020-06-09T00:00:00Z
140,China,,,,,0,0,84209,4638,79456,115,2020-06-10T00:00:00Z
