,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Czech Republic,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Czech Republic,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Czech Republic,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Czech Republic,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Czech Republic,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Czech Republic,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Czech Republic,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Czech Republic,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Czech Republic,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Czech Republic,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Czech Republic,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Czech Republic,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Czech Republic,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Czech Republic,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Czech Republic,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Czech Republic,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Czech Republic,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Czech Republic,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Czech Republic,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Czech Republic,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Czech Republic,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Czech Republic,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Czech Republic,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Czech Republic,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Czech Republic,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Czech Republic,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Czech Republic,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Czech Republic,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Czech Republic,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Czech Republic,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Czech Republic,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Czech Republic,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Czech Republic,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Czech Republic,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Czech Republic,,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Czech Republic,,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Czech Republic,,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
37,Czech Republic,,,,,0,0,0,0,0,0,2020-02-28T00:00:00Z
38,Czech Republic,,,,,0,0,0,0,0,0,2020-02-29T00:00:00Z
39,Czech Republic,,,,,0,0,3,0,0,3,2020-03-01T00:00:00Z
40,Czech Republic,,,,,0,0,3,0,0,3,2020-03-02T00:00:00Z
41,Czech Republic,,,,,0,0,5,0,0,5,2020-03-03T00:00:00Z
42,Czech Republic,,,,,0,0,8,0,0,8,2020-03-04T00:00:00Z
43,Czech Republic,,,,,0,0,12,0,0,12,2020-03-05T00:00:00Z
44,Czech Republic,,,,,0,0,18,0,0,18,2020-03-06T00:00:00Z
45,Czech Republic,,,,,0,0,19,0,0,19,2020-03-07T00:00:00Z
