,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Ecuador,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Ecuador,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Ecuador,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Ecuador,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Ecuador,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Ecuador,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Ecuador,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Ecuador,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Ecuador,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Ecuador,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Ecuador,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Ecuador,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Ecuador,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Ecuador,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Ecuador,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Ecuador,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Ecuador,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Ecuador,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Ecuador,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Ecuador,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Ecuador,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Ecuador,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Ecuador,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Ecuador,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Ecuador,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Ecuador,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Ecuador,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Ecuador,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Ecuador,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Ecuador,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Ecuador,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Ecuador,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Ecuador,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Ecuador,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Ecuador,,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Ecuador,,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Ecuador,,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
37,Ecuador,,,,,0,0,0,0,0,0,2020-02-28T00:00:00Z
38,Ecuador,,,,,0,0,0,0,0,0,2020-02-29T00:00:00Z
39,Ecuador,,,,,0,0,6,0,0,6,2020-03-01T00:00:00Z
40,Ecuador,,,,,0,0,6,0,0,6,2020-03-02T00:00:00Z
41,Ecuador,,,,,0,0,7,0,0,7,2020-03-03T00:00:00Z
42,Ecuador,,,,,0,0,10,0,0,10,2020-03-04T00:00:00Z
43,Ecuador,,,,,0,0,13,0,0,13,2020-03-05T00:00:00Z
44,Ecuador,,,,,0,0,13,0,0,13,2020-03-06T00:00:00Z
45,Ecuador,,,,,0,0,13,0,0,13,2020-03-07T00:00:00Z
46,Ecuador,,,,,0,0,14,0,0,14,2020-03-08T00:00:00Z
47,Ecuador,,,,,0,0,15,0,0,15,2020-03-09T00:00:00Z
48,Ecuador,,,,,0,0,15,0,0,15,2020-03-10T00:00:00Z
49,Ecuador,,,,,0,0,17,0,0,17,2020-03-11T00:00:00Z
50,Ecuador,,,,,0,0,17,0,0,17,2020-03-12T00:00:00Z
51,Ecuador,,,,,0,0,17,0,0,17,2020-03-13T00:00:00Z
52,Ecuador,,,,,0,0,28,2,0,26,2020-03-14T00:00:00Z
53,Ecuador,,,,,0,0,28,2,0,26,2020-03-15T00:00:00Z
54,Ecuador,,,,,0,0,37,2,0,35,2020-03-16T00:00:00Z
55,Ecuador,,,,,0,0,58,2,0,56,2020-03-17T00:00:00Z
56,Ecuador,,,,,0,0,111,2,0,109,2020-03-18T00:00:00Z
57,Ecuador,,,,,0,0,199,3,0,196,2020-03-19T00:00:00Z
58,Ecuador,,,,,0,0,367,5,0,362,2020-03-20T00:00:00Z
59,Ecuador,,,,,0,0,506,7,3,496,2020-03-21T00:00:00Z
60,Ecuador,,,,,0,0,789,14,3,772,2020-03-22T00:00:00Z
61,Ecuador,,,,,0,0,981,18,3,960,2020-03-23T00:00:00Z
62,Ecuador,,,,,0,0,1082,27,3,1052,2020-03-24T00:00:00Z
63,Ecuador,,,,,0,0,1173,28,3,1142,2020-03-25T00:00:00Z
64,Ecuador,,,,,0,0,1403,34,3,1366,2020-03-26T00:00:00Z
65,Ecuador,,,,,0,0,1595,36,3,1556,2020-03-27T00:00:00Z
66,Ecuador,,,,,0,0,1823,48,3,1772,2020-03-28T00:00:00Z
67,Ecuador,,,,,0,0,1924,58,3,1863,2020-03-29T00:00:00Z
68,Ecuador,,,,,0,0,1962,60,3,1899,2020-03-30T00:00:00Z
69,Ecuador,,,,,0,0,2240,75,54,2111,2020-03-31T00:00:00Z
70,Ecuador,,,,,0,0,2748,93,58,2597,2020-04-01T00:00:00Z
71,Ecuador,,,,,0,0,3163,120,65,2978,2020-04-02T00:00:00Z
72,Ecuador,,,,,0,0,3368,145,65,3158,2020-04-03T00:00:00Z
73,Ecuador,,,,,0,0,3465,172,100,3193,2020-04-04T00:00:00Z
74,Ecuador,,,,,0,0,3646,180,100,3366,2020-04-05T00:00:00Z
75,Ecuador,,,,,0,0,3747,191,100,3456,2020-04-06T00:00:00Z
76,Ecuador,,,,,0,0,3747,191,100,3456,2020-04-07T00:00:00Z
77,Ecuador,,,,,0,0,4450,242,140,4068,2020-04-08T00:00:00Z
78,Ecuador,,,,,0,0,4965,272,339,4354,2020-04-09T00:00:00Z
79,Ecuador,,,,,0,0,7161,297,368,6496,2020-04-10T00:00:00Z
80,Ecuador,,,,,0,0,7257,315,411,6531,2020-04-11T00:00:00Z
81,Ecuador,,,,,0,0,7466,333,501,6632,2020-04-12T00:00:00Z
82,Ecuador,,,,,0,0,7529,355,597,6577,2020-04-13T00:00:00Z
83,Ecuador,,,,,0,0,7603,369,696,6538,2020-04-14T00:00:00Z
84,Ecuador,,,,,0,0,7858,388,780,6690,2020-04-15T00:00:00Z
85,Ecuador,,,,,0,0,8225,403,838,6984,2020-04-16T00:00:00Z
86,Ecuador,,,,,0,0,8450,421,838,7191,2020-04-17T00:00:00Z
87,Ecuador,,,,,0,0,9022,456,1008,7558,2020-04-18T00:00:00Z
88,Ecuador,,,,,0,0,9468,474,1061,7933,2020-04-19T00:00:00Z
89,Ecuador,,,,,0,0,10128,507,1150,8471,2020-04-20T00:00:00Z
90,Ecuador,,,,,0,0,10398,520,1207,8671,2020-04-21T00:00:00Z
91,Ecuador,,,,,0,0,10850,537,1262,9051,2020-04-22T00:00:00Z
92,Ecuador,,,,,0,0,11183,560,1328,9295,2020-04-23T00:00:00Z
93,Ecuador,,,,,0,0,22719,576,1366,20777,2020-04-24T00:00:00Z
94,Ecuador,,,,,0,0,22719,576,1366,20777,2020-04-25T00:00:00Z
95,Ecuador,,,,,0,0,22719,576,1366,20777,2020-04-26T00:00:00Z
96,Ecuador,,,,,0,0,23240,663,1557,21020,2020-04-27T00:00:00Z
97,Ecuador,,,,,0,0,24258,871,1557,21830,2020-04-28T00:00:00Z
98,Ecuador,,,,,0,0,24675,883,1557,22235,2020-04-29T00:00:00Z
99,Ecuador,,,,,0,0,24934,900,1558,22476,2020-04-30T00:00:00Z
100,Ecuador,,,,,0,0,26336,1063,1913,23360,2020-05-01T00:00:00Z
101,Ecuador,,,,,0,0,27464,1371,2132,23961,2020-05-02T00:00:00Z
102,Ecuador,,,,,0,0,29538,1564,3300,24674,2020-05-03T00:00:00Z
103,Ecuador,,,,,0,0,31881,1569,3433,26879,2020-05-04T00:00:00Z
104,Ecuador,,,,,0,0,31881,1569,3433,26879,2020-05-05T00:00:00Z
105,Ecuador,,,,,0,0,31881,1618,3433,26830,2020-05-06T00:00:00Z
106,Ecuador,,,,,0,0,30298,1654,3433,25211,2020-05-07T00:00:00Z
107,Ecuador,,,,,0,0,28818,1704,3433,23681,2020-05-08T00:00:00Z
108,Ecuador,,,,,0,0,29071,1717,3433,23921,2020-05-09T00:00:00Z
109,Ecuador,,,,,0,0,29559,2127,3433,23999,2020-05-10T00:00:00Z
110,Ecuador,,,,,0,0,29509,2145,3433,23931,2020-05-11T00:00:00Z
111,Ecuador,,,,,0,0,30419,2327,3433,24659,2020-05-12T00:00:00Z
112,Ecuador,,,,,0,0,30486,2334,3433,24719,2020-05-13T00:00:00Z
113,Ecuador,,,,,0,0,30502,2338,3433,24731,2020-05-14T00:00:00Z
114,Ecuador,,,,,0,0,31467,2594,3433,25440,2020-05-15T00:00:00Z
115,Ecuador,,,,,0,0,32763,2688,3433,26642,2020-05-16T00:00:00Z
116,Ecuador,,,,,0,0,33182,2736,3433,27013,2020-05-17T00:00:00Z
