,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Estonia,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Estonia,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Estonia,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Estonia,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Estonia,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Estonia,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Estonia,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Estonia,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Estonia,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Estonia,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Estonia,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Estonia,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Estonia,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Estonia,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Estonia,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Estonia,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Estonia,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Estonia,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Estonia,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Estonia,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Estonia,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Estonia,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Estonia,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Estonia,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Estonia,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Estonia,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Estonia,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Estonia,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Estonia,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Estonia,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Estonia,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Estonia,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Estonia,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Estonia,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Estonia,,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Estonia,,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Estonia,,,,,0,0,1,0,0,1,2020-02-27T00:00:00Z
37,Estonia,,,,,0,0,1,0,0,1,2020-02-28T00:00:00Z
38,Estonia,,,,,0,0,1,0,0,1,2020-02-29T00:00:00Z
39,Estonia,,,,,0,0,1,0,0,1,2020-03-01T00:00:00Z
40,Estonia,,,,,0,0,1,0,0,1,2020-03-02T00:00:00Z
