,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,France,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,France,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,France,,,,,0,0,2,0,0,2,2020-01-24T00:00:00Z
3,France,,,,,0,0,3,0,0,3,2020-01-25T00:00:00Z
4,France,,,,,0,0,3,0,0,3,2020-01-26T00:00:00Z
5,France,,,,,0,0,3,0,0,3,2020-01-27T00:00:00Z
6,France,,,,,0,0,4,0,0,4,2020-01-28T00:00:00Z
7,France,,,,,0,0,5,0,0,5,2020-01-29T00:00:00Z
8,France,,,,,0,0,5,0,0,5,2020-01-30T00:00:00Z
9,France,,,,,0,0,5,0,0,5,2020-01-31T00:00:00Z
10,France,,,,,0,0,6,0,0,6,2020-02-01T00:00:00Z
11,France,,,,,0,0,6,0,0,6,2020-02-02T00:00:00Z
12,France,,,,,0,0,6,0,0,6,2020-02-03T00:00:00Z
13,France,,,,,0,0,6,0,0,6,2020-02-04T00:00:00Z
14,France,,,,,0,0,6,0,0,6,2020-02-05T00:00:00Z
15,France,,,,,0,0,6,0,0,6,2020-02-06T00:00:00Z
16,France,,,,,0,0,6,0,0,6,2020-02-07T00:00:00Z
17,France,,,,,0,0,11,0,0,11,2020-02-08T00:00:00Z
18,France,,,,,0,0,11,0,0,11,2020-02-09T00:00:00Z
19,France,,,,,0,0,11,0,0,11,2020-02-10T00:00:00Z
20,France,,,,,0,0,11,0,0,11,2020-02-11T00:00:00Z
21,France,,,,,0,0,11,0,2,9,2020-02-12T00:00:00Z
22,France,,,,,0,0,11,0,2,9,2020-02-13T00:00:00Z
23,France,,,,,0,0,11,0,2,9,2020-02-14T00:00:00Z
24,France,,,,,0,0,12,1,4,7,2020-02-15T00:00:00Z
25,France,,,,,0,0,12,1,4,7,2020-02-16T00:00:00Z
26,France,,,,,0,0,12,1,4,7,2020-02-17T00:00:00Z
27,France,,,,,0,0,12,1,4,7,2020-02-18T00:00:00Z
28,France,,,,,0,0,12,1,4,7,2020-02-19T00:00:00Z
29,France,,,,,0,0,12,1,4,7,2020-02-20T00:00:00Z
30,France,,,,,0,0,12,1,4,7,2020-02-21T00:00:00Z
31,France,,,,,0,0,12,1,4,7,2020-02-22T00:00:00Z
32,France,,,,,0,0,12,1,4,7,2020-02-23T00:00:00Z
33,France,,,,,0,0,12,1,4,7,2020-02-24T00:00:00Z
34,France,,,,,0,0,14,1,11,2,2020-02-25T00:00:00Z
35,France,,,,,0,0,18,2,11,5,2020-02-26T00:00:00Z
36,France,,,,,0,0,38,2,11,25,2020-02-27T00:00:00Z
37,France,,,,,0,0,57,2,11,44,2020-02-28T00:00:00Z
38,France,,,,,0,0,100,2,12,86,2020-02-29T00:00:00Z
39,France,,,,,0,0,130,2,12,116,2020-03-01T00:00:00Z
40,France,,,,,0,0,191,3,12,176,2020-03-02T00:00:00Z
41,France,,,,,0,0,212,4,12,196,2020-03-03T00:00:00Z
42,France,,,,,0,0,288,4,12,272,2020-03-04T00:00:00Z
43,France,,,,,0,0,426,7,12,407,2020-03-05T00:00:00Z
44,France,,,,,0,0,616,9,12,595,2020-03-06T00:00:00Z
45,France,,,,,0,0,948,16,12,920,2020-03-07T00:00:00Z
46,France,,,,,0,0,1125,19,12,1094,2020-03-08T00:00:00Z
47,France,,,,,0,0,1411,25,12,1374,2020-03-09T00:00:00Z
48,France,,,,,0,0,1783,33,12,1738,2020-03-10T00:00:00Z
49,France,,,,,0,0,2293,48,12,2233,2020-03-11T00:00:00Z
50,France,,,,,0,0,2293,48,12,2233,2020-03-12T00:00:00Z
51,France,,,,,0,0,3681,79,12,3590,2020-03-13T00:00:00Z
52,France,,,,,0,0,4496,91,12,4393,2020-03-14T00:00:00Z
53,France,,,,,0,0,4532,91,12,4429,2020-03-15T00:00:00Z
54,France,,,,,0,0,6683,149,12,6522,2020-03-16T00:00:00Z
55,France,,,,,0,0,7715,149,12,7554,2020-03-17T00:00:00Z
56,France,,,,,0,0,9124,149,12,8963,2020-03-18T00:00:00Z
57,France,,,,,0,0,10970,244,12,10714,2020-03-19T00:00:00Z
58,France,,,,,0,0,12758,451,12,12295,2020-03-20T00:00:00Z
59,France,,,,,0,0,14463,563,12,13888,2020-03-21T00:00:00Z
60,France,,,,,0,0,16758,676,2206,13876,2020-03-22T00:00:00Z
61,France,,,,,0,0,20123,862,2206,17055,2020-03-23T00:00:00Z
62,France,,,,,0,0,22372,1102,3250,18020,2020-03-24T00:00:00Z
63,France,,,,,0,0,25334,1333,3907,20094,2020-03-25T00:00:00Z
64,France,,,,,0,0,29252,1697,4955,22600,2020-03-26T00:00:00Z
65,France,,,,,0,0,33047,1996,5707,25344,2020-03-27T00:00:00Z
66,France,,,,,0,0,37692,2314,5724,29654,2020-03-28T00:00:00Z
67,France,,,,,0,0,40295,2608,7226,30461,2020-03-29T00:00:00Z
68,France,,,,,0,0,44649,3026,7964,33659,2020-03-30T00:00:00Z
69,France,,,,,0,0,52278,3526,9513,39239,2020-03-31T00:00:00Z
70,France,,,,,0,0,57122,4778,11053,41291,2020-04-01T00:00:00Z
71,France,,,,,0,0,59228,5387,12548,41293,2020-04-02T00:00:00Z
72,France,,,,,0,0,64452,6509,14135,43808,2020-04-03T00:00:00Z
73,France,,,,,0,0,47378,7562,15572,24244,2020-04-04T00:00:00Z
74,France,,,,,0,0,48233,8081,16349,23803,2020-04-05T00:00:00Z
75,France,,,,,0,0,50887,8914,17428,24545,2020-04-06T00:00:00Z
76,France,,,,,0,0,47396,10330,19523,17543,2020-04-07T00:00:00Z
77,France,,,,,0,0,51251,10874,21452,18925,2020-04-08T00:00:00Z
78,France,,,,,0,0,55035,12214,23413,19408,2020-04-09T00:00:00Z
79,France,,,,,0,0,56600,13199,25195,18206,2020-04-10T00:00:00Z
80,France,,,,,0,0,58045,13835,26663,17547,2020-04-11T00:00:00Z
81,France,,,,,0,0,108791,14396,27469,66926,2020-04-12T00:00:00Z
82,France,,,,,0,0,111932,14969,28001,68962,2020-04-13T00:00:00Z
83,France,,,,,0,0,129380,15712,28805,84863,2020-04-14T00:00:00Z
84,France,,,,,0,0,132588,17150,30955,84483,2020-04-15T00:00:00Z
85,France,,,,,0,0,145166,17903,32812,94451,2020-04-16T00:00:00Z
86,France,,,,,0,0,147057,18664,34420,93973,2020-04-17T00:00:00Z
87,France,,,,,0,0,150863,19305,35983,95575,2020-04-18T00:00:00Z
88,France,,,,,0,0,151955,19694,36578,95683,2020-04-19T00:00:00Z
89,France,,,,,0,0,154402,20241,37409,96752,2020-04-20T00:00:00Z
90,France,,,,,0,0,157068,20769,39181,97118,2020-04-21T00:00:00Z
91,France,,,,,0,0,158868,21313,40657,96898,2020-04-22T00:00:00Z
92,France,,,,,0,0,157158,21829,42088,93241,2020-04-23T00:00:00Z
93,France,,,,,0,0,159969,22219,43493,94257,2020-04-24T00:00:00Z
94,France,,,,,0,0,161647,22588,44594,94465,2020-04-25T00:00:00Z
95,France,,,,,0,0,162280,22830,44903,94547,2020-04-26T00:00:00Z
96,France,,,,,0,0,165966,23267,45513,97186,2020-04-27T00:00:00Z
97,France,,,,,0,0,169098,23634,46886,98578,2020-04-28T00:00:00Z
98,France,,,,,0,0,167643,24060,48228,95355,2020-04-29T00:00:00Z
99,France,,,,,0,0,168861,24349,49476,95036,2020-04-30T00:00:00Z
100,France,,,,,0,0,169387,24566,50212,94609,2020-05-01T00:00:00Z
101,France,,,,,0,0,170179,24763,50663,94753,2020-05-02T00:00:00Z
102,France,,,,,0,0,170540,24898,50885,94757,2020-05-03T00:00:00Z
103,France,,,,,0,0,171102,25204,51476,94422,2020-05-04T00:00:00Z
104,France,,,,,0,0,172219,25537,52842,93840,2020-05-05T00:00:00Z
105,France,,,,,0,0,176355,25812,54079,96464,2020-05-06T00:00:00Z
106,France,,,,,0,0,177096,25991,55191,95914,2020-05-07T00:00:00Z
107,France,,,,,0,0,177627,26233,55892,95502,2020-05-08T00:00:00Z
108,France,,,,,0,0,178156,26313,56148,95695,2020-05-09T00:00:00Z
109,France,,,,,0,0,178405,26383,56327,95695,2020-05-10T00:00:00Z
110,France,,,,,0,0,178719,26646,56835,95238,2020-05-11T00:00:00Z
111,France,,,,,0,0,179472,26994,57898,94580,2020-05-12T00:00:00Z
112,France,,,,,0,0,179993,27079,58786,94128,2020-05-13T00:00:00Z
113,France,,,,,0,0,180635,27430,59719,93486,2020-05-14T00:00:00Z
114,France,,,,,0,0,181148,27532,60562,93054,2020-05-15T00:00:00Z
115,France,,,,,0,0,181563,27630,60562,93371,2020-05-16T00:00:00Z
116,France,,,,,0,0,181703,28113,61327,92263,2020-05-17T00:00:00Z
117,France,,,,,0,0,182147,28242,61843,92062,2020-05-18T00:00:00Z
118,France,,,,,0,0,182648,28025,62678,91945,2020-05-19T00:00:00Z
119,France,,,,,0,0,183130,28136,63472,91522,2020-05-20T00:00:00Z
120,France,,,,,0,0,183397,28218,63976,91203,2020-05-21T00:00:00Z
121,France,,,,,0,0,184153,28366,64327,91460,2020-05-22T00:00:00Z
122,France,,,,,0,0,184699,28452,64665,91582,2020-05-23T00:00:00Z
123,France,,,,,0,0,184260,28372,64735,91153,2020-05-24T00:00:00Z
124,France,,,,,0,0,184585,28461,65317,90807,2020-05-25T00:00:00Z
125,France,,,,,0,0,184840,28598,65997,90245,2020-05-26T00:00:00Z
126,France,,,,,0,0,185012,28599,66702,89711,2020-05-27T00:00:00Z
127,France,,,,,0,0,188355,28666,67309,92380,2020-05-28T00:00:00Z
