,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Germany,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Germany,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Germany,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Germany,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Germany,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Germany,,,,,0,0,1,0,0,1,2020-01-27T00:00:00Z
6,Germany,,,,,0,0,4,0,0,4,2020-01-28T00:00:00Z
7,Germany,,,,,0,0,4,0,0,4,2020-01-29T00:00:00Z
8,Germany,,,,,0,0,4,0,0,4,2020-01-30T00:00:00Z
9,Germany,,,,,0,0,5,0,0,5,2020-01-31T00:00:00Z
10,Germany,,,,,0,0,8,0,0,8,2020-02-01T00:00:00Z
11,Germany,,,,,0,0,10,0,0,10,2020-02-02T00:00:00Z
12,Germany,,,,,0,0,12,0,0,12,2020-02-03T00:00:00Z
13,Germany,,,,,0,0,12,0,0,12,2020-02-04T00:00:00Z
14,Germany,,,,,0,0,12,0,0,12,2020-02-05T00:00:00Z
15,Germany,,,,,0,0,12,0,0,12,2020-02-06T00:00:00Z
16,Germany,,,,,0,0,13,0,0,13,2020-02-07T00:00:00Z
17,Germany,,,,,0,0,13,0,0,13,2020-02-08T00:00:00Z
18,Germany,,,,,0,0,14,0,0,14,2020-02-09T00:00:00Z
19,Germany,,,,,0,0,14,0,0,14,2020-02-10T00:00:00Z
20,Germany,,,,,0,0,16,0,0,16,2020-02-11T00:00:00Z
21,Germany,,,,,0,0,16,0,0,16,2020-02-12T00:00:00Z
22,Germany,,,,,0,0,16,0,1,15,2020-02-13T00:00:00Z
23,Germany,,,,,0,0,16,0,1,15,2020-02-14T00:00:00Z
24,Germany,,,,,0,0,16,0,1,15,2020-02-15T00:00:00Z
25,Germany,,,,,0,0,16,0,1,15,2020-02-16T00:00:00Z
26,Germany,,,,,0,0,16,0,1,15,2020-02-17T00:00:00Z
27,Germany,,,,,0,0,16,0,12,4,2020-02-18T00:00:00Z
28,Germany,,,,,0,0,16,0,12,4,2020-02-19T00:00:00Z
29,Germany,,,,,0,0,16,0,12,4,2020-02-20T00:00:00Z
30,Germany,,,,,0,0,16,0,14,2,2020-02-21T00:00:00Z
31,Germany,,,,,0,0,16,0,14,2,2020-02-22T00:00:00Z
32,Germany,,,,,0,0,16,0,14,2,2020-02-23T00:00:00Z
33,Germany,,,,,0,0,16,0,14,2,2020-02-24T00:00:00Z
34,Germany,,,,,0,0,17,0,14,3,2020-02-25T00:00:00Z
35,Germany,,,,,0,0,27,0,15,12,2020-02-26T00:00:00Z
36,Germany,,,,,0,0,46,0,16,30,2020-02-27T00:00:00Z
37,Germany,,,,,0,0,48,0,16,32,2020-02-28T00:00:00Z
38,Germany,,,,,0,0,79,0,16,63,2020-02-29T00:00:00Z
39,Germany,,,,,0,0,130,0,16,114,2020-03-01T00:00:00Z
40,Germany,,,,,0,0,159,0,16,143,2020-03-02T00:00:00Z
41,Germany,,,,,0,0,196,0,16,180,2020-03-03T00:00:00Z
42,Germany,,,,,0,0,262,0,16,246,2020-03-04T00:00:00Z
43,Germany,,,,,0,0,482,0,16,466,2020-03-05T00:00:00Z
44,Germany,,,,,0,0,670,0,17,653,2020-03-06T00:00:00Z
45,Germany,,,,,0,0,799,0,18,781,2020-03-07T00:00:00Z
46,Germany,,,,,0,0,1040,0,18,1022,2020-03-08T00:00:00Z
47,Germany,,,,,0,0,1176,2,18,1156,2020-03-09T00:00:00Z
48,Germany,,,,,0,0,1457,2,18,1437,2020-03-10T00:00:00Z
49,Germany,,,,,0,0,1908,3,25,1880,2020-03-11T00:00:00Z
50,Germany,,,,,0,0,2078,3,25,2050,2020-03-12T00:00:00Z
51,Germany,,,,,0,0,3675,7,46,3622,2020-03-13T00:00:00Z
52,Germany,,,,,0,0,4585,9,46,4530,2020-03-14T00:00:00Z
53,Germany,,,,,0,0,5795,11,46,5738,2020-03-15T00:00:00Z
54,Germany,,,,,0,0,7272,17,67,7188,2020-03-16T00:00:00Z
55,Germany,,,,,0,0,9257,24,67,9166,2020-03-17T00:00:00Z
56,Germany,,,,,0,0,12327,28,105,12194,2020-03-18T00:00:00Z
57,Germany,,,,,0,0,15320,44,113,15163,2020-03-19T00:00:00Z
58,Germany,,,,,0,0,19848,67,180,19601,2020-03-20T00:00:00Z
59,Germany,,,,,0,0,22213,84,233,21896,2020-03-21T00:00:00Z
60,Germany,,,,,0,0,24873,94,266,24513,2020-03-22T00:00:00Z
61,Germany,,,,,0,0,29056,123,266,28667,2020-03-23T00:00:00Z
62,Germany,,,,,0,0,32986,157,3243,29586,2020-03-24T00:00:00Z
63,Germany,,,,,0,0,37323,206,3547,33570,2020-03-25T00:00:00Z
64,Germany,,,,,0,0,43938,267,5673,37998,2020-03-26T00:00:00Z
65,Germany,,,,,0,0,50871,342,6658,43871,2020-03-27T00:00:00Z
66,Germany,,,,,0,0,57695,433,8481,48781,2020-03-28T00:00:00Z
67,Germany,,,,,0,0,62095,533,9211,52351,2020-03-29T00:00:00Z
68,Germany,,,,,0,0,66885,645,13500,52740,2020-03-30T00:00:00Z
69,Germany,,,,,0,0,71808,775,16100,54933,2020-03-31T00:00:00Z
70,Germany,,,,,0,0,77872,920,18700,58252,2020-04-01T00:00:00Z
71,Germany,,,,,0,0,84794,1107,22440,61247,2020-04-02T00:00:00Z
72,Germany,,,,,0,0,91159,1275,24575,65309,2020-04-03T00:00:00Z
73,Germany,,,,,0,0,96092,1444,26400,68248,2020-04-04T00:00:00Z
74,Germany,,,,,0,0,100123,1584,28700,69839,2020-04-05T00:00:00Z
75,Germany,,,,,0,0,103374,1810,28700,72864,2020-04-06T00:00:00Z
76,Germany,,,,,0,0,107663,2016,36081,69566,2020-04-07T00:00:00Z
77,Germany,,,,,0,0,113296,2349,46300,64647,2020-04-08T00:00:00Z
78,Germany,,,,,0,0,118181,2607,52407,63167,2020-04-09T00:00:00Z
79,Germany,,,,,0,0,122171,2767,53913,65491,2020-04-10T00:00:00Z
80,Germany,,,,,0,0,124908,2736,57400,64772,2020-04-11T00:00:00Z
81,Germany,,,,,0,0,127854,3022,60300,64532,2020-04-12T00:00:00Z
82,Germany,,,,,0,0,130072,3194,64300,62578,2020-04-13T00:00:00Z
83,Germany,,,,,0,0,131359,3294,68200,59865,2020-04-14T00:00:00Z
84,Germany,,,,,0,0,134753,3804,72600,58349,2020-04-15T00:00:00Z
85,Germany,,,,,0,0,137698,4052,77000,56646,2020-04-16T00:00:00Z
86,Germany,,,,,0,0,141397,4352,83114,53931,2020-04-17T00:00:00Z
87,Germany,,,,,0,0,143342,4459,85400,53483,2020-04-18T00:00:00Z
88,Germany,,,,,0,0,145184,4586,88000,52598,2020-04-19T00:00:00Z
89,Germany,,,,,0,0,147065,4862,91500,50703,2020-04-20T00:00:00Z
90,Germany,,,,,0,0,148291,5033,95200,48058,2020-04-21T00:00:00Z
91,Germany,,,,,0,0,150648,5279,99400,45969,2020-04-22T00:00:00Z
92,Germany,,,,,0,0,153129,5575,103300,44254,2020-04-23T00:00:00Z
93,Germany,,,,,0,0,154999,5760,109800,39439,2020-04-24T00:00:00Z
94,Germany,,,,,0,0,156513,5877,109800,40836,2020-04-25T00:00:00Z
95,Germany,,,,,0,0,157770,5976,112000,39794,2020-04-26T00:00:00Z
96,Germany,,,,,0,0,158758,6126,114500,38132,2020-04-27T00:00:00Z
97,Germany,,,,,0,0,159912,6314,117400,36198,2020-04-28T00:00:00Z
98,Germany,,,,,0,0,161539,6467,120400,34672,2020-04-29T00:00:00Z
99,Germany,,,,,0,0,163009,6623,123500,32886,2020-04-30T00:00:00Z
100,Germany,,,,,0,0,164077,6736,126900,30441,2020-05-01T00:00:00Z
101,Germany,,,,,0,0,164967,6812,129000,29155,2020-05-02T00:00:00Z
102,Germany,,,,,0,0,165664,6866,130600,28198,2020-05-03T00:00:00Z
103,Germany,,,,,0,0,166152,6993,132700,26459,2020-05-04T00:00:00Z
104,Germany,,,,,0,0,167007,6993,135100,24914,2020-05-05T00:00:00Z
105,Germany,,,,,0,0,168162,7275,139900,20987,2020-05-06T00:00:00Z
106,Germany,,,,,0,0,169430,7392,141700,20338,2020-05-07T00:00:00Z
107,Germany,,,,,0,0,170588,7510,141700,21378,2020-05-08T00:00:00Z
108,Germany,,,,,0,0,171324,7549,143300,20475,2020-05-09T00:00:00Z
109,Germany,,,,,0,0,171879,7569,144400,19910,2020-05-10T00:00:00Z
110,Germany,,,,,0,0,172576,7661,145617,19298,2020-05-11T00:00:00Z
111,Germany,,,,,0,0,173171,7738,147200,18233,2020-05-12T00:00:00Z
112,Germany,,,,,0,0,174098,7861,148700,17537,2020-05-13T00:00:00Z
113,Germany,,,,,0,0,174478,7884,150300,16294,2020-05-14T00:00:00Z
114,Germany,,,,,0,0,175233,7897,151597,15739,2020-05-15T00:00:00Z
115,Germany,,,,,0,0,175752,7938,152600,15214,2020-05-16T00:00:00Z
116,Germany,,,,,0,0,176369,7962,154011,14396,2020-05-17T00:00:00Z
117,Germany,,,,,0,0,176551,8003,155041,13507,2020-05-18T00:00:00Z
118,Germany,,,,,0,0,177778,8081,155681,14016,2020-05-19T00:00:00Z
119,Germany,,,,,0,0,178473,8144,156966,13363,2020-05-20T00:00:00Z
120,Germany,,,,,0,0,179021,8203,158087,12731,2020-05-21T00:00:00Z
121,Germany,,,,,0,0,179710,8228,159064,12418,2020-05-22T00:00:00Z
122,Germany,,,,,0,0,179986,8261,159716,12009,2020-05-23T00:00:00Z
123,Germany,,,,,0,0,180328,8283,160281,11764,2020-05-24T00:00:00Z
124,Germany,,,,,0,0,180600,8309,161199,11092,2020-05-25T00:00:00Z
125,Germany,,,,,0,0,181200,8372,161967,10861,2020-05-26T00:00:00Z
126,Germany,,,,,0,0,181524,8428,162820,10276,2020-05-27T00:00:00Z
127,Germany,,,,,0,0,182196,8470,163360,10366,2020-05-28T00:00:00Z
128,Germany,,,,,0,0,182922,8504,164245,10173,2020-05-29T00:00:00Z
129,Germany,,,,,0,0,183189,8530,164908,9751,2020-05-30T00:00:00Z
130,Germany,,,,,0,0,183410,8540,165352,9518,2020-05-31T00:00:00Z
131,Germany,,,,,0,0,183594,8555,165632,9407,2020-06-01T00:00:00Z
132,Germany,,,,,0,0,183879,8563,166609,8707,2020-06-02T00:00:00Z
133,Germany,,,,,0,0,184121,8602,167453,8066,2020-06-03T00:00:00Z
134,Germany,,,,,0,0,184472,8635,167909,7928,2020-06-04T00:00:00Z
135,Germany,,,,,0,0,184924,8658,168480,7786,2020-06-05T00:00:00Z
136,Germany,,,,,0,0,185450,8673,168958,7819,2020-06-06T00:00:00Z
137,Germany,,,,,0,0,185750,8685,169224,7841,2020-06-07T00:00:00Z
138,Germany,,,,,0,0,186109,8695,169556,7858,2020-06-08T00:00:00Z
139,Germany,,,,,0,0,186506,8736,170129,7641,2020-06-09T00:00:00Z
