,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
37,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-28T00:00:00Z
38,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-02-29T00:00:00Z
39,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-03-01T00:00:00Z
40,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-03-02T00:00:00Z
41,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-03-03T00:00:00Z
42,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-03-04T00:00:00Z
43,Holy See (Vatican City State),,,,,0,0,0,0,0,0,2020-03-05T00:00:00Z
44,Holy See (Vatican City State),,,,,0,0,1,0,0,1,2020-03-06T00:00:00Z
45,Holy See (Vatican City State),,,,,0,0,1,0,0,1,2020-03-07T00:00:00Z
46,Holy See (Vatican City State),,,,,0,0,1,0,0,1,2020-03-08T00:00:00Z
47,Holy See (Vatican City State),,,,,0,0,1,0,0,1,2020-03-09T00:00:00Z
48,Holy See (Vatican City State),,,,,0,0,1,0,0,1,2020-03-10T00:00:00Z
49,Holy See (Vatican City State),,,,,0,0,1,0,0,1,2020-03-11T00:00:00Z
50,Holy See (Vatican City State),,,,,0,0,1,0,0,1,2020-03-12T00:00:00Z
51,Holy See (Vatican City State),,,,,0,0,1,0,0,1,2020-03-13T00:00:00Z
52,Holy See (Vatican City State),,,,,0,0,1,0,0,1,2020-03-14T00:00:00Z
53,Holy See (Vatican City State),,,,,0,0,1,0,0,1,2020-03-15T00:00:00Z
54,Holy See (Vatican City State),,,,,0,0,1,0,0,1,2020-03-16T00:00:00Z
55,Holy See (Vatican City State),,,,,0,0,1,0,0,1,2020-03-17T00:00:00Z
56,Holy See (Vatican City State),,,,,0,0,1,0,0,1,2020-03-18T00:00:00Z
57,Holy See (Vatican City State),,,,,0,0,1,0,0,1,2020-03-19T00:00:00Z
58,Holy See (Vatican City State),,,,,0,0,1,0,0,1,2020-03-20T00:00:00Z
59,Holy See (Vatican City State),,,,,0,0,1,0,0,1,2020-03-21T00:00:00Z
