,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,India,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,India,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,India,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,India,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,India,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,India,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,India,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,India,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,India,,,,,0,0,1,0,0,1,2020-01-30T00:00:00Z
9,India,,,,,0,0,1,0,0,1,2020-01-31T00:00:00Z
10,India,,,,,0,0,1,0,0,1,2020-02-01T00:00:00Z
11,India,,,,,0,0,2,0,0,2,2020-02-02T00:00:00Z
12,India,,,,,0,0,3,0,0,3,2020-02-03T00:00:00Z
13,India,,,,,0,0,3,0,0,3,2020-02-04T00:00:00Z
14,India,,,,,0,0,3,0,0,3,2020-02-05T00:00:00Z
15,India,,,,,0,0,3,0,0,3,2020-02-06T00:00:00Z
16,India,,,,,0,0,3,0,0,3,2020-02-07T00:00:00Z
17,India,,,,,0,0,3,0,0,3,2020-02-08T00:00:00Z
18,India,,,,,0,0,3,0,0,3,2020-02-09T00:00:00Z
19,India,,,,,0,0,3,0,0,3,2020-02-10T00:00:00Z
20,India,,,,,0,0,3,0,0,3,2020-02-11T00:00:00Z
21,India,,,,,0,0,3,0,0,3,2020-02-12T00:00:00Z
22,India,,,,,0,0,3,0,0,3,2020-02-13T00:00:00Z
23,India,,,,,0,0,3,0,0,3,2020-02-14T00:00:00Z
24,India,,,,,0,0,3,0,0,3,2020-02-15T00:00:00Z
25,India,,,,,0,0,3,0,3,0,2020-02-16T00:00:00Z
26,India,,,,,0,0,3,0,3,0,2020-02-17T00:00:00Z
27,India,,,,,0,0,3,0,3,0,2020-02-18T00:00:00Z
28,India,,,,,0,0,3,0,3,0,2020-02-19T00:00:00Z
29,India,,,,,0,0,3,0,3,0,2020-02-20T00:00:00Z
30,India,,,,,0,0,3,0,3,0,2020-02-21T00:00:00Z
31,India,,,,,0,0,3,0,3,0,2020-02-22T00:00:00Z
32,India,,,,,0,0,3,0,3,0,2020-02-23T00:00:00Z
33,India,,,,,0,0,3,0,3,0,2020-02-24T00:00:00Z
34,India,,,,,0,0,3,0,3,0,2020-02-25T00:00:00Z
35,India,,,,,0,0,3,0,3,0,2020-02-26T00:00:00Z
36,India,,,,,0,0,3,0,3,0,2020-02-27T00:00:00Z
37,India,,,,,0,0,3,0,3,0,2020-02-28T00:00:00Z
38,India,,,,,0,0,3,0,3,0,2020-02-29T00:00:00Z
39,India,,,,,0,0,3,0,3,0,2020-03-01T00:00:00Z
40,India,,,,,0,0,5,0,3,2,2020-03-02T00:00:00Z
41,India,,,,,0,0,5,0,3,2,2020-03-03T00:00:00Z
42,India,,,,,0,0,28,0,3,25,2020-03-04T00:00:00Z
43,India,,,,,0,0,30,0,3,27,2020-03-05T00:00:00Z
44,India,,,,,0,0,31,0,3,28,2020-03-06T00:00:00Z
45,India,,,,,0,0,34,0,3,31,2020-03-07T00:00:00Z
46,India,,,,,0,0,39,0,3,36,2020-03-08T00:00:00Z
47,India,,,,,0,0,43,0,3,40,2020-03-09T00:00:00Z
48,India,,,,,0,0,56,0,4,52,2020-03-10T00:00:00Z
49,India,,,,,0,0,62,1,4,57,2020-03-11T00:00:00Z
50,India,,,,,0,0,73,1,4,68,2020-03-12T00:00:00Z
