,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Iraq,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Iraq,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Iraq,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Iraq,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Iraq,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Iraq,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Iraq,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Iraq,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Iraq,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Iraq,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Iraq,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Iraq,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Iraq,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Iraq,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Iraq,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Iraq,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Iraq,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Iraq,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Iraq,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Iraq,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Iraq,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Iraq,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Iraq,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Iraq,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Iraq,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Iraq,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Iraq,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Iraq,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Iraq,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Iraq,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Iraq,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Iraq,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Iraq,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
