,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Ireland,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Ireland,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Ireland,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Ireland,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Ireland,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Ireland,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Ireland,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Ireland,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Ireland,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Ireland,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Ireland,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Ireland,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Ireland,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Ireland,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Ireland,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Ireland,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Ireland,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Ireland,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Ireland,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Ireland,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Ireland,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Ireland,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Ireland,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Ireland,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Ireland,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Ireland,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Ireland,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Ireland,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Ireland,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Ireland,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Ireland,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Ireland,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Ireland,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Ireland,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Ireland,,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Ireland,,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Ireland,,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
37,Ireland,,,,,0,0,0,0,0,0,2020-02-28T00:00:00Z
38,Ireland,,,,,0,0,1,0,0,1,2020-02-29T00:00:00Z
39,Ireland,,,,,0,0,1,0,0,1,2020-03-01T00:00:00Z
40,Ireland,,,,,0,0,1,0,0,1,2020-03-02T00:00:00Z
41,Ireland,,,,,0,0,2,0,0,2,2020-03-03T00:00:00Z
42,Ireland,,,,,0,0,6,0,0,6,2020-03-04T00:00:00Z
43,Ireland,,,,,0,0,6,0,0,6,2020-03-05T00:00:00Z
44,Ireland,,,,,0,0,18,0,0,18,2020-03-06T00:00:00Z
45,Ireland,,,,,0,0,18,0,0,18,2020-03-07T00:00:00Z
46,Ireland,,,,,0,0,19,0,0,19,2020-03-08T00:00:00Z
47,Ireland,,,,,0,0,21,0,0,21,2020-03-09T00:00:00Z
48,Ireland,,,,,0,0,34,0,0,34,2020-03-10T00:00:00Z
49,Ireland,,,,,0,0,43,1,0,42,2020-03-11T00:00:00Z
50,Ireland,,,,,0,0,43,1,0,42,2020-03-12T00:00:00Z
51,Ireland,,,,,0,0,90,1,0,89,2020-03-13T00:00:00Z
52,Ireland,,,,,0,0,129,2,0,127,2020-03-14T00:00:00Z
53,Ireland,,,,,0,0,129,2,0,127,2020-03-15T00:00:00Z
54,Ireland,,,,,0,0,169,2,0,167,2020-03-16T00:00:00Z
55,Ireland,,,,,0,0,223,2,5,216,2020-03-17T00:00:00Z
56,Ireland,,,,,0,0,292,2,5,285,2020-03-18T00:00:00Z
57,Ireland,,,,,0,0,557,3,5,549,2020-03-19T00:00:00Z
58,Ireland,,,,,0,0,683,3,5,675,2020-03-20T00:00:00Z
59,Ireland,,,,,0,0,785,3,5,777,2020-03-21T00:00:00Z
60,Ireland,,,,,0,0,906,4,5,897,2020-03-22T00:00:00Z
61,Ireland,,,,,0,0,1125,6,5,1114,2020-03-23T00:00:00Z
62,Ireland,,,,,0,0,1329,7,5,1317,2020-03-24T00:00:00Z
63,Ireland,,,,,0,0,1564,9,5,1550,2020-03-25T00:00:00Z
64,Ireland,,,,,0,0,1819,19,5,1795,2020-03-26T00:00:00Z
65,Ireland,,,,,0,0,2121,22,5,2094,2020-03-27T00:00:00Z
66,Ireland,,,,,0,0,2415,36,5,2374,2020-03-28T00:00:00Z
67,Ireland,,,,,0,0,2615,46,5,2564,2020-03-29T00:00:00Z
68,Ireland,,,,,0,0,2910,54,5,2851,2020-03-30T00:00:00Z
69,Ireland,,,,,0,0,3235,71,5,3159,2020-03-31T00:00:00Z
70,Ireland,,,,,0,0,3447,85,5,3357,2020-04-01T00:00:00Z
71,Ireland,,,,,0,0,3849,98,5,3746,2020-04-02T00:00:00Z
72,Ireland,,,,,0,0,4273,120,5,4148,2020-04-03T00:00:00Z
73,Ireland,,,,,0,0,4604,137,25,4442,2020-04-04T00:00:00Z
74,Ireland,,,,,0,0,4994,158,25,4811,2020-04-05T00:00:00Z
75,Ireland,,,,,0,0,5364,174,25,5165,2020-04-06T00:00:00Z
76,Ireland,,,,,0,0,5709,210,25,5474,2020-04-07T00:00:00Z
77,Ireland,,,,,0,0,6074,235,25,5814,2020-04-08T00:00:00Z
78,Ireland,,,,,0,0,6574,263,25,6286,2020-04-09T00:00:00Z
79,Ireland,,,,,0,0,8089,287,25,7777,2020-04-10T00:00:00Z
80,Ireland,,,,,0,0,8928,320,25,8583,2020-04-11T00:00:00Z
81,Ireland,,,,,0,0,9655,334,25,9296,2020-04-12T00:00:00Z
82,Ireland,,,,,0,0,10647,365,25,10257,2020-04-13T00:00:00Z
83,Ireland,,,,,0,0,11479,406,25,11048,2020-04-14T00:00:00Z
84,Ireland,,,,,0,0,12547,444,77,12026,2020-04-15T00:00:00Z
85,Ireland,,,,,0,0,13271,486,77,12708,2020-04-16T00:00:00Z
86,Ireland,,,,,0,0,13980,530,77,13373,2020-04-17T00:00:00Z
87,Ireland,,,,,0,0,14758,571,77,14110,2020-04-18T00:00:00Z
88,Ireland,,,,,0,0,15251,610,77,14564,2020-04-19T00:00:00Z
89,Ireland,,,,,0,0,15652,687,77,14888,2020-04-20T00:00:00Z
90,Ireland,,,,,0,0,16040,730,9233,6077,2020-04-21T00:00:00Z
91,Ireland,,,,,0,0,16671,769,9233,6669,2020-04-22T00:00:00Z
92,Ireland,,,,,0,0,17607,794,9233,7580,2020-04-23T00:00:00Z
93,Ireland,,,,,0,0,18184,1014,9233,7937,2020-04-24T00:00:00Z
94,Ireland,,,,,0,0,18561,1063,9233,8265,2020-04-25T00:00:00Z
95,Ireland,,,,,0,0,19262,1087,9233,8942,2020-04-26T00:00:00Z
96,Ireland,,,,,0,0,19648,1102,9233,9313,2020-04-27T00:00:00Z
97,Ireland,,,,,0,0,19877,1159,9233,9485,2020-04-28T00:00:00Z
98,Ireland,,,,,0,0,20253,1190,13386,5677,2020-04-29T00:00:00Z
99,Ireland,,,,,0,0,20612,1232,13386,5994,2020-04-30T00:00:00Z
100,Ireland,,,,,0,0,20833,1265,13386,6182,2020-05-01T00:00:00Z
101,Ireland,,,,,0,0,21176,1286,13386,6504,2020-05-02T00:00:00Z
102,Ireland,,,,,0,0,21506,1303,13386,6817,2020-05-03T00:00:00Z
103,Ireland,,,,,0,0,21772,1319,13386,7067,2020-05-04T00:00:00Z
104,Ireland,,,,,0,0,21983,1339,13386,7258,2020-05-05T00:00:00Z
105,Ireland,,,,,0,0,22248,1375,17110,3763,2020-05-06T00:00:00Z
106,Ireland,,,,,0,0,22385,1403,17110,3872,2020-05-07T00:00:00Z
107,Ireland,,,,,0,0,22541,1429,17110,4002,2020-05-08T00:00:00Z
108,Ireland,,,,,0,0,22760,1446,17110,4204,2020-05-09T00:00:00Z
109,Ireland,,,,,0,0,22996,1458,17110,4428,2020-05-10T00:00:00Z
110,Ireland,,,,,0,0,23135,1467,17110,4558,2020-05-11T00:00:00Z
111,Ireland,,,,,0,0,23242,1488,17110,4644,2020-05-12T00:00:00Z
112,Ireland,,,,,0,0,23401,1497,19470,2434,2020-05-13T00:00:00Z
113,Ireland,,,,,0,0,23827,1506,19470,2851,2020-05-14T00:00:00Z
114,Ireland,,,,,0,0,23956,1518,19470,2968,2020-05-15T00:00:00Z
115,Ireland,,,,,0,0,24048,1533,19470,3045,2020-05-16T00:00:00Z
116,Ireland,,,,,0,0,24112,1543,19470,3099,2020-05-17T00:00:00Z
117,Ireland,,,,,0,0,24200,1547,19470,3183,2020-05-18T00:00:00Z
118,Ireland,,,,,0,0,24251,1561,19470,3220,2020-05-19T00:00:00Z
119,Ireland,,,,,0,0,24315,1571,21060,1684,2020-05-20T00:00:00Z
120,Ireland,,,,,0,0,24391,1583,21060,1748,2020-05-21T00:00:00Z
121,Ireland,,,,,0,0,24506,1592,21060,1854,2020-05-22T00:00:00Z
122,Ireland,,,,,0,0,24582,1604,21060,1918,2020-05-23T00:00:00Z
123,Ireland,,,,,0,0,24639,1608,21060,1971,2020-05-24T00:00:00Z
124,Ireland,,,,,0,0,24698,1606,21060,2032,2020-05-25T00:00:00Z
125,Ireland,,,,,0,0,24735,1615,21060,2060,2020-05-26T00:00:00Z
126,Ireland,,,,,0,0,24803,1631,22089,1083,2020-05-27T00:00:00Z
127,Ireland,,,,,0,0,24841,1639,22089,1113,2020-05-28T00:00:00Z
128,Ireland,,,,,0,0,24876,1645,22089,1142,2020-05-29T00:00:00Z
129,Ireland,,,,,0,0,24929,1651,22089,1189,2020-05-30T00:00:00Z
130,Ireland,,,,,0,0,24990,1652,22089,1249,2020-05-31T00:00:00Z
131,Ireland,,,,,0,0,25062,1650,22089,1323,2020-06-01T00:00:00Z
132,Ireland,,,,,0,0,25066,1658,22089,1319,2020-06-02T00:00:00Z
133,Ireland,,,,,0,0,25111,1659,22698,754,2020-06-03T00:00:00Z
134,Ireland,,,,,0,0,25142,1664,22698,780,2020-06-04T00:00:00Z
135,Ireland,,,,,0,0,25163,1670,22698,795,2020-06-05T00:00:00Z
136,Ireland,,,,,0,0,25183,1678,22698,807,2020-06-06T00:00:00Z
137,Ireland,,,,,0,0,25201,1679,22698,824,2020-06-07T00:00:00Z
138,Ireland,,,,,0,0,25207,1683,22698,826,2020-06-08T00:00:00Z
139,Ireland,,,,,0,0,25215,1691,22698,826,2020-06-09T00:00:00Z
140,Ireland,,,,,0,0,25231,1695,22698,838,2020-06-10T00:00:00Z
141,Ireland,,,,,0,0,25238,1703,22698,837,2020-06-11T00:00:00Z
142,Ireland,,,,,0,0,25250,1705,22698,847,2020-06-12T00:00:00Z
143,Ireland,,,,,0,0,25295,1705,22698,892,2020-06-13T00:00:00Z
144,Ireland,,,,,0,0,25303,1706,22698,899,2020-06-14T00:00:00Z
145,Ireland,,,,,0,0,25321,1706,22698,917,2020-06-15T00:00:00Z
146,Ireland,,,,,0,0,25334,1709,22698,927,2020-06-16T00:00:00Z
147,Ireland,,,,,0,0,25341,1710,22698,933,2020-06-17T00:00:00Z
148,Ireland,,,,,0,0,25355,1714,22698,943,2020-06-18T00:00:00Z
149,Ireland,,,,,0,0,25368,1714,22698,956,2020-06-19T00:00:00Z
150,Ireland,,,,,0,0,25374,1715,22698,961,2020-06-20T00:00:00Z
151,Ireland,,,,,0,0,25379,1715,22698,966,2020-06-21T00:00:00Z
152,Ireland,,,,,0,0,25383,1717,22698,968,2020-06-22T00:00:00Z
153,Ireland,,,,,0,0,25391,1720,22698,973,2020-06-23T00:00:00Z
154,Ireland,,,,,0,0,25396,1726,23364,306,2020-06-24T00:00:00Z
