,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Jamaica,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Jamaica,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Jamaica,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Jamaica,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Jamaica,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Jamaica,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Jamaica,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Jamaica,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Jamaica,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Jamaica,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Jamaica,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Jamaica,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Jamaica,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Jamaica,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Jamaica,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Jamaica,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Jamaica,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Jamaica,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Jamaica,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Jamaica,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Jamaica,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Jamaica,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Jamaica,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Jamaica,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Jamaica,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Jamaica,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Jamaica,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Jamaica,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Jamaica,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Jamaica,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Jamaica,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Jamaica,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Jamaica,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Jamaica,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Jamaica,,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Jamaica,,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Jamaica,,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
37,Jamaica,,,,,0,0,0,0,0,0,2020-02-28T00:00:00Z
38,Jamaica,,,,,0,0,0,0,0,0,2020-02-29T00:00:00Z
39,Jamaica,,,,,0,0,0,0,0,0,2020-03-01T00:00:00Z
40,Jamaica,,,,,0,0,0,0,0,0,2020-03-02T00:00:00Z
41,Jamaica,,,,,0,0,0,0,0,0,2020-03-03T00:00:00Z
42,Jamaica,,,,,0,0,0,0,0,0,2020-03-04T00:00:00Z
43,Jamaica,,,,,0,0,0,0,0,0,2020-03-05T00:00:00Z
44,Jamaica,,,,,0,0,0,0,0,0,2020-03-06T00:00:00Z
45,Jamaica,,,,,0,0,0,0,0,0,2020-03-07T00:00:00Z
46,Jamaica,,,,,0,0,0,0,0,0,2020-03-08T00:00:00Z
47,Jamaica,,,,,0,0,0,0,0,0,2020-03-09T00:00:00Z
48,Jamaica,,,,,0,0,0,0,0,0,2020-03-10T00:00:00Z
49,Jamaica,,,,,0,0,1,0,0,1,2020-03-11T00:00:00Z
50,Jamaica,,,,,0,0,2,0,0,2,2020-03-12T00:00:00Z
51,Jamaica,,,,,0,0,8,0,0,8,2020-03-13T00:00:00Z
52,Jamaica,,,,,0,0,8,0,0,8,2020-03-14T00:00:00Z
53,Jamaica,,,,,0,0,10,0,0,10,2020-03-15T00:00:00Z
54,Jamaica,,,,,0,0,10,0,2,8,2020-03-16T00:00:00Z
55,Jamaica,,,,,0,0,12,0,2,10,2020-03-17T00:00:00Z
56,Jamaica,,,,,0,0,13,0,2,11,2020-03-18T00:00:00Z
57,Jamaica,,,,,0,0,15,1,2,12,2020-03-19T00:00:00Z
58,Jamaica,,,,,0,0,16,1,2,13,2020-03-20T00:00:00Z
59,Jamaica,,,,,0,0,16,1,2,13,2020-03-21T00:00:00Z
60,Jamaica,,,,,0,0,19,1,2,16,2020-03-22T00:00:00Z
61,Jamaica,,,,,0,0,19,1,2,16,2020-03-23T00:00:00Z
62,Jamaica,,,,,0,0,21,1,2,18,2020-03-24T00:00:00Z
63,Jamaica,,,,,0,0,26,1,2,23,2020-03-25T00:00:00Z
64,Jamaica,,,,,0,0,26,1,2,23,2020-03-26T00:00:00Z
65,Jamaica,,,,,0,0,26,1,2,23,2020-03-27T00:00:00Z
66,Jamaica,,,,,0,0,30,1,2,27,2020-03-28T00:00:00Z
67,Jamaica,,,,,0,0,32,1,2,29,2020-03-29T00:00:00Z
68,Jamaica,,,,,0,0,36,1,2,33,2020-03-30T00:00:00Z
69,Jamaica,,,,,0,0,36,1,2,33,2020-03-31T00:00:00Z
70,Jamaica,,,,,0,0,44,3,2,39,2020-04-01T00:00:00Z
71,Jamaica,,,,,0,0,47,3,2,42,2020-04-02T00:00:00Z
72,Jamaica,,,,,0,0,47,3,2,42,2020-04-03T00:00:00Z
73,Jamaica,,,,,0,0,53,3,7,43,2020-04-04T00:00:00Z
74,Jamaica,,,,,0,0,58,3,8,47,2020-04-05T00:00:00Z
75,Jamaica,,,,,0,0,58,3,8,47,2020-04-06T00:00:00Z
76,Jamaica,,,,,0,0,63,3,8,52,2020-04-07T00:00:00Z
77,Jamaica,,,,,0,0,63,4,10,49,2020-04-08T00:00:00Z
78,Jamaica,,,,,0,0,63,4,12,47,2020-04-09T00:00:00Z
79,Jamaica,,,,,0,0,63,4,13,46,2020-04-10T00:00:00Z
80,Jamaica,,,,,0,0,65,4,13,48,2020-04-11T00:00:00Z
81,Jamaica,,,,,0,0,69,4,13,52,2020-04-12T00:00:00Z
82,Jamaica,,,,,0,0,73,4,19,50,2020-04-13T00:00:00Z
83,Jamaica,,,,,0,0,73,4,19,50,2020-04-14T00:00:00Z
84,Jamaica,,,,,0,0,125,5,21,99,2020-04-15T00:00:00Z
85,Jamaica,,,,,0,0,143,5,21,117,2020-04-16T00:00:00Z
86,Jamaica,,,,,0,0,143,5,25,113,2020-04-17T00:00:00Z
87,Jamaica,,,,,0,0,163,5,25,133,2020-04-18T00:00:00Z
88,Jamaica,,,,,0,0,173,5,27,141,2020-04-19T00:00:00Z
89,Jamaica,,,,,0,0,223,5,27,191,2020-04-20T00:00:00Z
90,Jamaica,,,,,0,0,223,6,27,190,2020-04-21T00:00:00Z
91,Jamaica,,,,,0,0,233,6,27,200,2020-04-22T00:00:00Z
92,Jamaica,,,,,0,0,257,6,28,223,2020-04-23T00:00:00Z
93,Jamaica,,,,,0,0,288,7,28,253,2020-04-24T00:00:00Z
94,Jamaica,,,,,0,0,305,7,28,270,2020-04-25T00:00:00Z
95,Jamaica,,,,,0,0,350,7,28,315,2020-04-26T00:00:00Z
96,Jamaica,,,,,0,0,364,7,29,328,2020-04-27T00:00:00Z
97,Jamaica,,,,,0,0,364,7,29,328,2020-04-28T00:00:00Z
98,Jamaica,,,,,0,0,396,7,29,360,2020-04-29T00:00:00Z
99,Jamaica,,,,,0,0,422,8,29,385,2020-04-30T00:00:00Z
100,Jamaica,,,,,0,0,432,8,31,393,2020-05-01T00:00:00Z
101,Jamaica,,,,,0,0,463,8,33,422,2020-05-02T00:00:00Z
