,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Japan,,,,,0,0,2,0,0,2,2020-01-22T00:00:00Z
1,Japan,,,,,0,0,2,0,0,2,2020-01-23T00:00:00Z
2,Japan,,,,,0,0,2,0,0,2,2020-01-24T00:00:00Z
3,Japan,,,,,0,0,2,0,0,2,2020-01-25T00:00:00Z
4,Japan,,,,,0,0,4,0,1,3,2020-01-26T00:00:00Z
5,Japan,,,,,0,0,4,0,1,3,2020-01-27T00:00:00Z
6,Japan,,,,,0,0,7,0,1,6,2020-01-28T00:00:00Z
7,Japan,,,,,0,0,7,0,1,6,2020-01-29T00:00:00Z
8,Japan,,,,,0,0,11,0,1,10,2020-01-30T00:00:00Z
9,Japan,,,,,0,0,15,0,1,14,2020-01-31T00:00:00Z
10,Japan,,,,,0,0,20,0,1,19,2020-02-01T00:00:00Z
11,Japan,,,,,0,0,20,0,1,19,2020-02-02T00:00:00Z
12,Japan,,,,,0,0,20,0,1,19,2020-02-03T00:00:00Z
13,Japan,,,,,0,0,22,0,1,21,2020-02-04T00:00:00Z
14,Japan,,,,,0,0,23,0,1,22,2020-02-05T00:00:00Z
15,Japan,,,,,0,0,23,0,1,22,2020-02-06T00:00:00Z
16,Japan,,,,,0,0,23,0,1,22,2020-02-07T00:00:00Z
17,Japan,,,,,0,0,24,0,1,23,2020-02-08T00:00:00Z
18,Japan,,,,,0,0,24,0,1,23,2020-02-09T00:00:00Z
19,Japan,,,,,0,0,26,0,4,22,2020-02-10T00:00:00Z
20,Japan,,,,,0,0,27,0,9,18,2020-02-11T00:00:00Z
21,Japan,,,,,0,0,28,0,9,19,2020-02-12T00:00:00Z
22,Japan,,,,,0,0,33,1,9,23,2020-02-13T00:00:00Z
23,Japan,,,,,0,0,43,1,9,33,2020-02-14T00:00:00Z
24,Japan,,,,,0,0,54,1,12,41,2020-02-15T00:00:00Z
25,Japan,,,,,0,0,60,1,12,47,2020-02-16T00:00:00Z
26,Japan,,,,,0,0,67,1,12,54,2020-02-17T00:00:00Z
27,Japan,,,,,0,0,79,2,13,64,2020-02-18T00:00:00Z
28,Japan,,,,,0,0,85,2,18,65,2020-02-19T00:00:00Z
29,Japan,,,,,0,0,95,2,18,75,2020-02-20T00:00:00Z
30,Japan,,,,,0,0,112,2,22,88,2020-02-21T00:00:00Z
31,Japan,,,,,0,0,137,2,22,113,2020-02-22T00:00:00Z
32,Japan,,,,,0,0,149,2,22,125,2020-02-23T00:00:00Z
33,Japan,,,,,0,0,160,2,22,136,2020-02-24T00:00:00Z
34,Japan,,,,,0,0,173,3,22,148,2020-02-25T00:00:00Z
35,Japan,,,,,0,0,192,3,22,167,2020-02-26T00:00:00Z
36,Japan,,,,,0,0,218,4,22,192,2020-02-27T00:00:00Z
37,Japan,,,,,0,0,236,5,22,209,2020-02-28T00:00:00Z
38,Japan,,,,,0,0,245,6,32,207,2020-02-29T00:00:00Z
39,Japan,,,,,0,0,259,6,32,221,2020-03-01T00:00:00Z
40,Japan,,,,,0,0,278,6,32,240,2020-03-02T00:00:00Z
41,Japan,,,,,0,0,298,6,43,249,2020-03-03T00:00:00Z
42,Japan,,,,,0,0,333,7,43,283,2020-03-04T00:00:00Z
43,Japan,,,,,0,0,365,7,43,315,2020-03-05T00:00:00Z
44,Japan,,,,,0,0,420,7,46,367,2020-03-06T00:00:00Z
45,Japan,,,,,0,0,466,7,76,383,2020-03-07T00:00:00Z
46,Japan,,,,,0,0,499,8,76,415,2020-03-08T00:00:00Z
47,Japan,,,,,0,0,527,10,76,441,2020-03-09T00:00:00Z
48,Japan,,,,,0,0,585,13,101,471,2020-03-10T00:00:00Z
49,Japan,,,,,0,0,640,15,118,507,2020-03-11T00:00:00Z
50,Japan,,,,,0,0,696,19,118,559,2020-03-12T00:00:00Z
51,Japan,,,,,0,0,733,21,118,594,2020-03-13T00:00:00Z
52,Japan,,,,,0,0,795,22,118,655,2020-03-14T00:00:00Z
53,Japan,,,,,0,0,826,24,118,684,2020-03-15T00:00:00Z
54,Japan,,,,,0,0,843,30,144,669,2020-03-16T00:00:00Z
55,Japan,,,,,0,0,893,30,144,719,2020-03-17T00:00:00Z
56,Japan,,,,,0,0,928,32,144,752,2020-03-18T00:00:00Z
57,Japan,,,,,0,0,968,33,150,785,2020-03-19T00:00:00Z
58,Japan,,,,,0,0,1022,34,191,797,2020-03-20T00:00:00Z
59,Japan,,,,,0,0,1059,36,232,791,2020-03-21T00:00:00Z
60,Japan,,,,,0,0,1104,40,235,829,2020-03-22T00:00:00Z
61,Japan,,,,,0,0,1144,41,235,868,2020-03-23T00:00:00Z
62,Japan,,,,,0,0,1217,42,285,890,2020-03-24T00:00:00Z
63,Japan,,,,,0,0,1314,45,310,959,2020-03-25T00:00:00Z
64,Japan,,,,,0,0,1416,47,359,1010,2020-03-26T00:00:00Z
65,Japan,,,,,0,0,1530,53,372,1105,2020-03-27T00:00:00Z
66,Japan,,,,,0,0,1728,56,404,1268,2020-03-28T00:00:00Z
67,Japan,,,,,0,0,1907,63,424,1420,2020-03-29T00:00:00Z
68,Japan,,,,,0,0,2001,65,424,1512,2020-03-30T00:00:00Z
69,Japan,,,,,0,0,2255,67,424,1764,2020-03-31T00:00:00Z
70,Japan,,,,,0,0,2535,72,472,1991,2020-04-01T00:00:00Z
71,Japan,,,,,0,0,2818,75,472,2271,2020-04-02T00:00:00Z
