,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Kazakhstan,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Kazakhstan,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Kazakhstan,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Kazakhstan,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Kazakhstan,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Kazakhstan,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Kazakhstan,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Kazakhstan,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Kazakhstan,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Kazakhstan,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
37,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-28T00:00:00Z
38,Kazakhstan,,,,,0,0,0,0,0,0,2020-02-29T00:00:00Z
