,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Kenya,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Kenya,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Kenya,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Kenya,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Kenya,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Kenya,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Kenya,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Kenya,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Kenya,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Kenya,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Kenya,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Kenya,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Kenya,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Kenya,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Kenya,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Kenya,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Kenya,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Kenya,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Kenya,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Kenya,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Kenya,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Kenya,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Kenya,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Kenya,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Kenya,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Kenya,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Kenya,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Kenya,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Kenya,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Kenya,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Kenya,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Kenya,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Kenya,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Kenya,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Kenya,,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Kenya,,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Kenya,,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
37,Kenya,,,,,0,0,0,0,0,0,2020-02-28T00:00:00Z
38,Kenya,,,,,0,0,0,0,0,0,2020-02-29T00:00:00Z
39,Kenya,,,,,0,0,0,0,0,0,2020-03-01T00:00:00Z
40,Kenya,,,,,0,0,0,0,0,0,2020-03-02T00:00:00Z
41,Kenya,,,,,0,0,0,0,0,0,2020-03-03T00:00:00Z
42,Kenya,,,,,0,0,0,0,0,0,2020-03-04T00:00:00Z
43,Kenya,,,,,0,0,0,0,0,0,2020-03-05T00:00:00Z
44,Kenya,,,,,0,0,0,0,0,0,2020-03-06T00:00:00Z
45,Kenya,,,,,0,0,0,0,0,0,2020-03-07T00:00:00Z
46,Kenya,,,,,0,0,0,0,0,0,2020-03-08T00:00:00Z
47,Kenya,,,,,0,0,0,0,0,0,2020-03-09T00:00:00Z
48,Kenya,,,,,0,0,0,0,0,0,2020-03-10T00:00:00Z
49,Kenya,,,,,0,0,0,0,0,0,2020-03-11T00:00:00Z
50,Kenya,,,,,0,0,0,0,0,0,2020-03-12T00:00:00Z
51,Kenya,,,,,0,0,1,0,0,1,2020-03-13T00:00:00Z
52,Kenya,,,,,0,0,1,0,0,1,2020-03-14T00:00:00Z
53,Kenya,,,,,0,0,3,0,0,3,2020-03-15T00:00:00Z
54,Kenya,,,,,0,0,3,0,0,3,2020-03-16T00:00:00Z
55,Kenya,,,,,0,0,3,0,0,3,2020-03-17T00:00:00Z
56,Kenya,,,,,0,0,3,0,0,3,2020-03-18T00:00:00Z
57,Kenya,,,,,0,0,7,0,0,7,2020-03-19T00:00:00Z
58,Kenya,,,,,0,0,7,0,0,7,2020-03-20T00:00:00Z
59,Kenya,,,,,0,0,7,0,0,7,2020-03-21T00:00:00Z
60,Kenya,,,,,0,0,15,0,0,15,2020-03-22T00:00:00Z
61,Kenya,,,,,0,0,16,0,0,16,2020-03-23T00:00:00Z
62,Kenya,,,,,0,0,25,0,0,25,2020-03-24T00:00:00Z
63,Kenya,,,,,0,0,28,0,1,27,2020-03-25T00:00:00Z
64,Kenya,,,,,0,0,31,1,1,29,2020-03-26T00:00:00Z
65,Kenya,,,,,0,0,31,1,1,29,2020-03-27T00:00:00Z
66,Kenya,,,,,0,0,38,1,1,36,2020-03-28T00:00:00Z
67,Kenya,,,,,0,0,42,1,1,40,2020-03-29T00:00:00Z
68,Kenya,,,,,0,0,50,1,1,48,2020-03-30T00:00:00Z
69,Kenya,,,,,0,0,59,1,1,57,2020-03-31T00:00:00Z
70,Kenya,,,,,0,0,81,1,3,77,2020-04-01T00:00:00Z
71,Kenya,,,,,0,0,110,3,4,103,2020-04-02T00:00:00Z
72,Kenya,,,,,0,0,122,4,4,114,2020-04-03T00:00:00Z
73,Kenya,,,,,0,0,126,4,4,118,2020-04-04T00:00:00Z
74,Kenya,,,,,0,0,142,4,4,134,2020-04-05T00:00:00Z
75,Kenya,,,,,0,0,158,6,4,148,2020-04-06T00:00:00Z
