,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Korea (South),,,,,0,0,1,0,0,1,2020-01-22T00:00:00Z
1,Korea (South),,,,,0,0,1,0,0,1,2020-01-23T00:00:00Z
2,Korea (South),,,,,0,0,2,0,0,2,2020-01-24T00:00:00Z
3,Korea (South),,,,,0,0,2,0,0,2,2020-01-25T00:00:00Z
4,Korea (South),,,,,0,0,3,0,0,3,2020-01-26T00:00:00Z
5,Korea (South),,,,,0,0,4,0,0,4,2020-01-27T00:00:00Z
6,Korea (South),,,,,0,0,4,0,0,4,2020-01-28T00:00:00Z
7,Korea (South),,,,,0,0,4,0,0,4,2020-01-29T00:00:00Z
8,Korea (South),,,,,0,0,4,0,0,4,2020-01-30T00:00:00Z
9,Korea (South),,,,,0,0,11,0,0,11,2020-01-31T00:00:00Z
10,Korea (South),,,,,0,0,12,0,0,12,2020-02-01T00:00:00Z
11,Korea (South),,,,,0,0,15,0,0,15,2020-02-02T00:00:00Z
12,Korea (South),,,,,0,0,15,0,0,15,2020-02-03T00:00:00Z
13,Korea (South),,,,,0,0,16,0,0,16,2020-02-04T00:00:00Z
14,Korea (South),,,,,0,0,19,0,0,19,2020-02-05T00:00:00Z
15,Korea (South),,,,,0,0,23,0,0,23,2020-02-06T00:00:00Z
16,Korea (South),,,,,0,0,24,0,1,23,2020-02-07T00:00:00Z
17,Korea (South),,,,,0,0,24,0,1,23,2020-02-08T00:00:00Z
18,Korea (South),,,,,0,0,25,0,3,22,2020-02-09T00:00:00Z
19,Korea (South),,,,,0,0,27,0,3,24,2020-02-10T00:00:00Z
20,Korea (South),,,,,0,0,28,0,3,25,2020-02-11T00:00:00Z
21,Korea (South),,,,,0,0,28,0,7,21,2020-02-12T00:00:00Z
22,Korea (South),,,,,0,0,28,0,7,21,2020-02-13T00:00:00Z
23,Korea (South),,,,,0,0,28,0,7,21,2020-02-14T00:00:00Z
24,Korea (South),,,,,0,0,28,0,9,19,2020-02-15T00:00:00Z
25,Korea (South),,,,,0,0,29,0,9,20,2020-02-16T00:00:00Z
26,Korea (South),,,,,0,0,30,0,10,20,2020-02-17T00:00:00Z
27,Korea (South),,,,,0,0,31,0,12,19,2020-02-18T00:00:00Z
28,Korea (South),,,,,0,0,31,0,12,19,2020-02-19T00:00:00Z
29,Korea (South),,,,,0,0,104,1,16,87,2020-02-20T00:00:00Z
30,Korea (South),,,,,0,0,204,2,16,186,2020-02-21T00:00:00Z
31,Korea (South),,,,,0,0,433,2,16,415,2020-02-22T00:00:00Z
32,Korea (South),,,,,0,0,602,6,18,578,2020-02-23T00:00:00Z
33,Korea (South),,,,,0,0,833,8,18,807,2020-02-24T00:00:00Z
34,Korea (South),,,,,0,0,977,10,22,945,2020-02-25T00:00:00Z
35,Korea (South),,,,,0,0,1261,12,22,1227,2020-02-26T00:00:00Z
36,Korea (South),,,,,0,0,1766,13,22,1731,2020-02-27T00:00:00Z
37,Korea (South),,,,,0,0,2337,13,22,2302,2020-02-28T00:00:00Z
38,Korea (South),,,,,0,0,3150,16,27,3107,2020-02-29T00:00:00Z
39,Korea (South),,,,,0,0,3736,17,30,3689,2020-03-01T00:00:00Z
40,Korea (South),,,,,0,0,4335,28,30,4277,2020-03-02T00:00:00Z
41,Korea (South),,,,,0,0,5186,28,30,5128,2020-03-03T00:00:00Z
42,Korea (South),,,,,0,0,5621,35,41,5545,2020-03-04T00:00:00Z
43,Korea (South),,,,,0,0,6088,35,41,6012,2020-03-05T00:00:00Z
44,Korea (South),,,,,0,0,6593,42,135,6416,2020-03-06T00:00:00Z
45,Korea (South),,,,,0,0,7041,44,135,6862,2020-03-07T00:00:00Z
46,Korea (South),,,,,0,0,7314,50,118,7146,2020-03-08T00:00:00Z
47,Korea (South),,,,,0,0,7478,53,118,7307,2020-03-09T00:00:00Z
48,Korea (South),,,,,0,0,7513,54,247,7212,2020-03-10T00:00:00Z
49,Korea (South),,,,,0,0,7755,60,288,7407,2020-03-11T00:00:00Z
50,Korea (South),,,,,0,0,7869,66,333,7470,2020-03-12T00:00:00Z
51,Korea (South),,,,,0,0,7979,66,510,7403,2020-03-13T00:00:00Z
52,Korea (South),,,,,0,0,8086,72,510,7504,2020-03-14T00:00:00Z
53,Korea (South),,,,,0,0,8162,75,510,7577,2020-03-15T00:00:00Z
54,Korea (South),,,,,0,0,8236,75,1137,7024,2020-03-16T00:00:00Z
55,Korea (South),,,,,0,0,8320,81,1407,6832,2020-03-17T00:00:00Z
56,Korea (South),,,,,0,0,8413,84,1540,6789,2020-03-18T00:00:00Z
57,Korea (South),,,,,0,0,8565,91,1540,6934,2020-03-19T00:00:00Z
58,Korea (South),,,,,0,0,8652,94,1540,7018,2020-03-20T00:00:00Z
59,Korea (South),,,,,0,0,8799,102,1540,7157,2020-03-21T00:00:00Z
