,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Latvia,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Latvia,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Latvia,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Latvia,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Latvia,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Latvia,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Latvia,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Latvia,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Latvia,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Latvia,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Latvia,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Latvia,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Latvia,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Latvia,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Latvia,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Latvia,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Latvia,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Latvia,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Latvia,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Latvia,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Latvia,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Latvia,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Latvia,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Latvia,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Latvia,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Latvia,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Latvia,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Latvia,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Latvia,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Latvia,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Latvia,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Latvia,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Latvia,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Latvia,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Latvia,,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Latvia,,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Latvia,,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
37,Latvia,,,,,0,0,0,0,0,0,2020-02-28T00:00:00Z
38,Latvia,,,,,0,0,0,0,0,0,2020-02-29T00:00:00Z
39,Latvia,,,,,0,0,0,0,0,0,2020-03-01T00:00:00Z
40,Latvia,,,,,0,0,1,0,0,1,2020-03-02T00:00:00Z
41,Latvia,,,,,0,0,1,0,0,1,2020-03-03T00:00:00Z
42,Latvia,,,,,0,0,1,0,0,1,2020-03-04T00:00:00Z
43,Latvia,,,,,0,0,1,0,0,1,2020-03-05T00:00:00Z
44,Latvia,,,,,0,0,1,0,0,1,2020-03-06T00:00:00Z
45,Latvia,,,,,0,0,1,0,0,1,2020-03-07T00:00:00Z
46,Latvia,,,,,0,0,2,0,0,2,2020-03-08T00:00:00Z
47,Latvia,,,,,0,0,6,0,0,6,2020-03-09T00:00:00Z
48,Latvia,,,,,0,0,8,0,1,7,2020-03-10T00:00:00Z
49,Latvia,,,,,0,0,10,0,1,9,2020-03-11T00:00:00Z
50,Latvia,,,,,0,0,10,0,1,9,2020-03-12T00:00:00Z
51,Latvia,,,,,0,0,17,0,1,16,2020-03-13T00:00:00Z
52,Latvia,,,,,0,0,26,0,1,25,2020-03-14T00:00:00Z
53,Latvia,,,,,0,0,30,0,1,29,2020-03-15T00:00:00Z
54,Latvia,,,,,0,0,34,0,1,33,2020-03-16T00:00:00Z
55,Latvia,,,,,0,0,49,0,1,48,2020-03-17T00:00:00Z
56,Latvia,,,,,0,0,71,0,1,70,2020-03-18T00:00:00Z
57,Latvia,,,,,0,0,86,0,1,85,2020-03-19T00:00:00Z
58,Latvia,,,,,0,0,111,0,1,110,2020-03-20T00:00:00Z
59,Latvia,,,,,0,0,124,0,1,123,2020-03-21T00:00:00Z
60,Latvia,,,,,0,0,139,0,1,138,2020-03-22T00:00:00Z
61,Latvia,,,,,0,0,180,0,1,179,2020-03-23T00:00:00Z
62,Latvia,,,,,0,0,197,0,1,196,2020-03-24T00:00:00Z
63,Latvia,,,,,0,0,221,0,1,220,2020-03-25T00:00:00Z
64,Latvia,,,,,0,0,244,0,1,243,2020-03-26T00:00:00Z
65,Latvia,,,,,0,0,280,0,1,279,2020-03-27T00:00:00Z
66,Latvia,,,,,0,0,305,0,1,304,2020-03-28T00:00:00Z
67,Latvia,,,,,0,0,347,0,1,346,2020-03-29T00:00:00Z
68,Latvia,,,,,0,0,376,0,1,375,2020-03-30T00:00:00Z
69,Latvia,,,,,0,0,398,0,1,397,2020-03-31T00:00:00Z
70,Latvia,,,,,0,0,446,0,1,445,2020-04-01T00:00:00Z
71,Latvia,,,,,0,0,458,0,31,427,2020-04-02T00:00:00Z
72,Latvia,,,,,0,0,493,1,1,491,2020-04-03T00:00:00Z
73,Latvia,,,,,0,0,509,1,1,507,2020-04-04T00:00:00Z
74,Latvia,,,,,0,0,533,1,1,531,2020-04-05T00:00:00Z
75,Latvia,,,,,0,0,542,1,16,525,2020-04-06T00:00:00Z
76,Latvia,,,,,0,0,548,2,16,530,2020-04-07T00:00:00Z
77,Latvia,,,,,0,0,577,2,16,559,2020-04-08T00:00:00Z
78,Latvia,,,,,0,0,589,3,16,570,2020-04-09T00:00:00Z
79,Latvia,,,,,0,0,612,3,16,593,2020-04-10T00:00:00Z
80,Latvia,,,,,0,0,630,3,16,611,2020-04-11T00:00:00Z
81,Latvia,,,,,0,0,651,5,16,630,2020-04-12T00:00:00Z
82,Latvia,,,,,0,0,655,5,16,634,2020-04-13T00:00:00Z
83,Latvia,,,,,0,0,657,5,16,636,2020-04-14T00:00:00Z
84,Latvia,,,,,0,0,666,5,44,617,2020-04-15T00:00:00Z
85,Latvia,,,,,0,0,675,5,57,613,2020-04-16T00:00:00Z
86,Latvia,,,,,0,0,682,5,88,589,2020-04-17T00:00:00Z
87,Latvia,,,,,0,0,712,5,88,619,2020-04-18T00:00:00Z
88,Latvia,,,,,0,0,727,5,88,634,2020-04-19T00:00:00Z
89,Latvia,,,,,0,0,739,5,88,646,2020-04-20T00:00:00Z
90,Latvia,,,,,0,0,748,9,133,606,2020-04-21T00:00:00Z
91,Latvia,,,,,0,0,761,11,133,617,2020-04-22T00:00:00Z
92,Latvia,,,,,0,0,778,11,133,634,2020-04-23T00:00:00Z
93,Latvia,,,,,0,0,784,12,267,505,2020-04-24T00:00:00Z
94,Latvia,,,,,0,0,804,12,267,525,2020-04-25T00:00:00Z
95,Latvia,,,,,0,0,812,12,267,533,2020-04-26T00:00:00Z
96,Latvia,,,,,0,0,818,13,267,538,2020-04-27T00:00:00Z
97,Latvia,,,,,0,0,836,13,267,556,2020-04-28T00:00:00Z
98,Latvia,,,,,0,0,849,15,348,486,2020-04-29T00:00:00Z
99,Latvia,,,,,0,0,858,15,348,495,2020-04-30T00:00:00Z
100,Latvia,,,,,0,0,870,16,348,506,2020-05-01T00:00:00Z
101,Latvia,,,,,0,0,871,16,348,507,2020-05-02T00:00:00Z
102,Latvia,,,,,0,0,879,16,348,515,2020-05-03T00:00:00Z
103,Latvia,,,,,0,0,896,16,348,532,2020-05-04T00:00:00Z
104,Latvia,,,,,0,0,896,17,348,531,2020-05-05T00:00:00Z
105,Latvia,,,,,0,0,900,17,464,419,2020-05-06T00:00:00Z
106,Latvia,,,,,0,0,909,18,464,427,2020-05-07T00:00:00Z
