,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Lebanon,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Lebanon,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Lebanon,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Lebanon,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Lebanon,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Lebanon,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Lebanon,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Lebanon,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Lebanon,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Lebanon,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Lebanon,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Lebanon,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Lebanon,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Lebanon,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Lebanon,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Lebanon,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Lebanon,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Lebanon,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Lebanon,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Lebanon,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Lebanon,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Lebanon,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Lebanon,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Lebanon,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Lebanon,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Lebanon,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Lebanon,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Lebanon,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Lebanon,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Lebanon,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Lebanon,,,,,0,0,1,0,0,1,2020-02-21T00:00:00Z
31,Lebanon,,,,,0,0,1,0,0,1,2020-02-22T00:00:00Z
32,Lebanon,,,,,0,0,1,0,0,1,2020-02-23T00:00:00Z
33,Lebanon,,,,,0,0,1,0,0,1,2020-02-24T00:00:00Z
34,Lebanon,,,,,0,0,1,0,0,1,2020-02-25T00:00:00Z
35,Lebanon,,,,,0,0,2,0,0,2,2020-02-26T00:00:00Z
36,Lebanon,,,,,0,0,2,0,0,2,2020-02-27T00:00:00Z
37,Lebanon,,,,,0,0,2,0,0,2,2020-02-28T00:00:00Z
38,Lebanon,,,,,0,0,4,0,0,4,2020-02-29T00:00:00Z
39,Lebanon,,,,,0,0,10,0,0,10,2020-03-01T00:00:00Z
40,Lebanon,,,,,0,0,13,0,0,13,2020-03-02T00:00:00Z
41,Lebanon,,,,,0,0,13,0,0,13,2020-03-03T00:00:00Z
42,Lebanon,,,,,0,0,13,0,1,12,2020-03-04T00:00:00Z
43,Lebanon,,,,,0,0,16,0,1,15,2020-03-05T00:00:00Z
44,Lebanon,,,,,0,0,22,0,1,21,2020-03-06T00:00:00Z
45,Lebanon,,,,,0,0,22,0,1,21,2020-03-07T00:00:00Z
46,Lebanon,,,,,0,0,32,0,1,31,2020-03-08T00:00:00Z
47,Lebanon,,,,,0,0,32,0,1,31,2020-03-09T00:00:00Z
48,Lebanon,,,,,0,0,41,1,1,39,2020-03-10T00:00:00Z
49,Lebanon,,,,,0,0,61,3,1,57,2020-03-11T00:00:00Z
50,Lebanon,,,,,0,0,61,3,1,57,2020-03-12T00:00:00Z
51,Lebanon,,,,,0,0,77,3,1,73,2020-03-13T00:00:00Z
52,Lebanon,,,,,0,0,93,3,1,89,2020-03-14T00:00:00Z
53,Lebanon,,,,,0,0,110,3,1,106,2020-03-15T00:00:00Z
54,Lebanon,,,,,0,0,110,3,1,106,2020-03-16T00:00:00Z
55,Lebanon,,,,,0,0,120,3,3,114,2020-03-17T00:00:00Z
56,Lebanon,,,,,0,0,133,3,3,127,2020-03-18T00:00:00Z
57,Lebanon,,,,,0,0,157,4,4,149,2020-03-19T00:00:00Z
