,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Moldova,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Moldova,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Moldova,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Moldova,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Moldova,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Moldova,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Moldova,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Moldova,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Moldova,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Moldova,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Moldova,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Moldova,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Moldova,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Moldova,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Moldova,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Moldova,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Moldova,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Moldova,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Moldova,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Moldova,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Moldova,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Moldova,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Moldova,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Moldova,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Moldova,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Moldova,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Moldova,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Moldova,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Moldova,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Moldova,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Moldova,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Moldova,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Moldova,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Moldova,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Moldova,,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Moldova,,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Moldova,,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
37,Moldova,,,,,0,0,0,0,0,0,2020-02-28T00:00:00Z
38,Moldova,,,,,0,0,0,0,0,0,2020-02-29T00:00:00Z
39,Moldova,,,,,0,0,0,0,0,0,2020-03-01T00:00:00Z
40,Moldova,,,,,0,0,0,0,0,0,2020-03-02T00:00:00Z
41,Moldova,,,,,0,0,0,0,0,0,2020-03-03T00:00:00Z
42,Moldova,,,,,0,0,0,0,0,0,2020-03-04T00:00:00Z
43,Moldova,,,,,0,0,0,0,0,0,2020-03-05T00:00:00Z
44,Moldova,,,,,0,0,0,0,0,0,2020-03-06T00:00:00Z
45,Moldova,,,,,0,0,0,0,0,0,2020-03-07T00:00:00Z
46,Moldova,,,,,0,0,1,0,0,1,2020-03-08T00:00:00Z
47,Moldova,,,,,0,0,1,0,0,1,2020-03-09T00:00:00Z
48,Moldova,,,,,0,0,3,0,0,3,2020-03-10T00:00:00Z
49,Moldova,,,,,0,0,3,0,0,3,2020-03-11T00:00:00Z
50,Moldova,,,,,0,0,3,0,0,3,2020-03-12T00:00:00Z
51,Moldova,,,,,0,0,6,0,0,6,2020-03-13T00:00:00Z
52,Moldova,,,,,0,0,12,0,0,12,2020-03-14T00:00:00Z
53,Moldova,,,,,0,0,23,0,0,23,2020-03-15T00:00:00Z
54,Moldova,,,,,0,0,23,0,0,23,2020-03-16T00:00:00Z
55,Moldova,,,,,0,0,30,0,1,29,2020-03-17T00:00:00Z
