,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Morocco,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Morocco,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Morocco,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Morocco,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Morocco,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Morocco,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Morocco,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Morocco,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Morocco,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Morocco,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Morocco,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Morocco,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Morocco,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Morocco,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Morocco,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Morocco,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Morocco,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Morocco,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Morocco,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Morocco,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Morocco,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Morocco,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Morocco,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Morocco,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Morocco,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Morocco,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Morocco,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Morocco,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Morocco,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Morocco,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Morocco,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Morocco,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Morocco,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Morocco,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Morocco,,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Morocco,,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Morocco,,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
37,Morocco,,,,,0,0,0,0,0,0,2020-02-28T00:00:00Z
38,Morocco,,,,,0,0,0,0,0,0,2020-02-29T00:00:00Z
39,Morocco,,,,,0,0,0,0,0,0,2020-03-01T00:00:00Z
40,Morocco,,,,,0,0,1,0,0,1,2020-03-02T00:00:00Z
41,Morocco,,,,,0,0,1,0,0,1,2020-03-03T00:00:00Z
42,Morocco,,,,,0,0,1,0,0,1,2020-03-04T00:00:00Z
43,Morocco,,,,,0,0,2,0,0,2,2020-03-05T00:00:00Z
44,Morocco,,,,,0,0,2,0,0,2,2020-03-06T00:00:00Z
45,Morocco,,,,,0,0,2,0,0,2,2020-03-07T00:00:00Z
46,Morocco,,,,,0,0,2,0,0,2,2020-03-08T00:00:00Z
47,Morocco,,,,,0,0,2,0,0,2,2020-03-09T00:00:00Z
48,Morocco,,,,,0,0,3,1,0,2,2020-03-10T00:00:00Z
49,Morocco,,,,,0,0,5,1,0,4,2020-03-11T00:00:00Z
50,Morocco,,,,,0,0,6,1,0,5,2020-03-12T00:00:00Z
51,Morocco,,,,,0,0,7,1,1,5,2020-03-13T00:00:00Z
52,Morocco,,,,,0,0,17,1,1,15,2020-03-14T00:00:00Z
53,Morocco,,,,,0,0,28,1,1,26,2020-03-15T00:00:00Z
54,Morocco,,,,,0,0,29,1,1,27,2020-03-16T00:00:00Z
55,Morocco,,,,,0,0,38,2,1,35,2020-03-17T00:00:00Z
56,Morocco,,,,,0,0,49,2,1,46,2020-03-18T00:00:00Z
57,Morocco,,,,,0,0,63,2,1,60,2020-03-19T00:00:00Z
58,Morocco,,,,,0,0,77,3,1,73,2020-03-20T00:00:00Z
59,Morocco,,,,,0,0,96,3,3,90,2020-03-21T00:00:00Z
60,Morocco,,,,,0,0,115,4,3,108,2020-03-22T00:00:00Z
61,Morocco,,,,,0,0,143,4,3,136,2020-03-23T00:00:00Z
62,Morocco,,,,,0,0,170,5,6,159,2020-03-24T00:00:00Z
63,Morocco,,,,,0,0,225,6,7,212,2020-03-25T00:00:00Z
64,Morocco,,,,,0,0,275,11,8,256,2020-03-26T00:00:00Z
65,Morocco,,,,,0,0,345,23,11,311,2020-03-27T00:00:00Z
66,Morocco,,,,,0,0,402,25,11,366,2020-03-28T00:00:00Z
67,Morocco,,,,,0,0,479,26,13,440,2020-03-29T00:00:00Z
68,Morocco,,,,,0,0,556,33,15,508,2020-03-30T00:00:00Z
69,Morocco,,,,,0,0,617,36,24,557,2020-03-31T00:00:00Z
70,Morocco,,,,,0,0,654,39,29,586,2020-04-01T00:00:00Z
71,Morocco,,,,,0,0,708,44,31,633,2020-04-02T00:00:00Z
72,Morocco,,,,,0,0,791,48,57,686,2020-04-03T00:00:00Z
73,Morocco,,,,,0,0,919,59,66,794,2020-04-04T00:00:00Z
74,Morocco,,,,,0,0,1021,70,76,875,2020-04-05T00:00:00Z
75,Morocco,,,,,0,0,1120,80,81,959,2020-04-06T00:00:00Z
76,Morocco,,,,,0,0,1184,90,93,1001,2020-04-07T00:00:00Z
77,Morocco,,,,,0,0,1275,93,97,1085,2020-04-08T00:00:00Z
78,Morocco,,,,,0,0,1374,97,109,1168,2020-04-09T00:00:00Z
79,Morocco,,,,,0,0,1448,107,122,1219,2020-04-10T00:00:00Z
80,Morocco,,,,,0,0,1545,111,146,1288,2020-04-11T00:00:00Z
81,Morocco,,,,,0,0,1661,118,177,1366,2020-04-12T00:00:00Z
82,Morocco,,,,,0,0,1763,126,203,1434,2020-04-13T00:00:00Z
83,Morocco,,,,,0,0,1888,126,217,1545,2020-04-14T00:00:00Z
84,Morocco,,,,,0,0,2024,127,229,1668,2020-04-15T00:00:00Z
85,Morocco,,,,,0,0,2283,130,249,1904,2020-04-16T00:00:00Z
86,Morocco,,,,,0,0,2564,135,281,2148,2020-04-17T00:00:00Z
87,Morocco,,,,,0,0,2685,137,314,2234,2020-04-18T00:00:00Z
88,Morocco,,,,,0,0,2855,141,327,2387,2020-04-19T00:00:00Z
89,Morocco,,,,,0,0,3046,143,350,2553,2020-04-20T00:00:00Z
90,Morocco,,,,,0,0,3209,145,393,2671,2020-04-21T00:00:00Z
91,Morocco,,,,,0,0,3446,149,417,2880,2020-04-22T00:00:00Z
92,Morocco,,,,,0,0,3568,155,456,2957,2020-04-23T00:00:00Z
93,Morocco,,,,,0,0,3758,158,486,3114,2020-04-24T00:00:00Z
94,Morocco,,,,,0,0,3897,159,537,3201,2020-04-25T00:00:00Z
95,Morocco,,,,,0,0,4065,161,593,3311,2020-04-26T00:00:00Z
96,Morocco,,,,,0,0,4120,162,695,3263,2020-04-27T00:00:00Z
97,Morocco,,,,,0,0,4252,165,778,3309,2020-04-28T00:00:00Z
98,Morocco,,,,,0,0,4321,168,928,3225,2020-04-29T00:00:00Z
99,Morocco,,,,,0,0,4423,170,984,3269,2020-04-30T00:00:00Z
100,Morocco,,,,,0,0,4569,171,1083,3315,2020-05-01T00:00:00Z
101,Morocco,,,,,0,0,4729,173,1256,3300,2020-05-02T00:00:00Z
102,Morocco,,,,,0,0,4903,174,1438,3291,2020-05-03T00:00:00Z
103,Morocco,,,,,0,0,5053,179,1653,3221,2020-05-04T00:00:00Z
104,Morocco,,,,,0,0,5219,181,1838,3200,2020-05-05T00:00:00Z
105,Morocco,,,,,0,0,5408,183,2017,3208,2020-05-06T00:00:00Z
106,Morocco,,,,,0,0,5548,183,2179,3186,2020-05-07T00:00:00Z
107,Morocco,,,,,0,0,5711,186,2324,3201,2020-05-08T00:00:00Z
108,Morocco,,,,,0,0,5910,186,2461,3263,2020-05-09T00:00:00Z
109,Morocco,,,,,0,0,6063,188,2554,3321,2020-05-10T00:00:00Z
110,Morocco,,,,,0,0,6281,188,2811,3282,2020-05-11T00:00:00Z
111,Morocco,,,,,0,0,6418,188,2991,3239,2020-05-12T00:00:00Z
112,Morocco,,,,,0,0,6512,188,3131,3193,2020-05-13T00:00:00Z
113,Morocco,,,,,0,0,6607,190,3310,3107,2020-05-14T00:00:00Z
114,Morocco,,,,,0,0,6652,190,3400,3062,2020-05-15T00:00:00Z
115,Morocco,,,,,0,0,6741,192,3487,3062,2020-05-16T00:00:00Z
116,Morocco,,,,,0,0,6870,192,3660,3018,2020-05-17T00:00:00Z
117,Morocco,,,,,0,0,6952,192,3758,3002,2020-05-18T00:00:00Z
118,Morocco,,,,,0,0,7023,193,3901,2929,2020-05-19T00:00:00Z
119,Morocco,,,,,0,0,7133,194,4098,2841,2020-05-20T00:00:00Z
120,Morocco,,,,,0,0,7211,196,4280,2735,2020-05-21T00:00:00Z
121,Morocco,,,,,0,0,7332,197,4377,2758,2020-05-22T00:00:00Z
122,Morocco,,,,,0,0,7406,198,4638,2570,2020-05-23T00:00:00Z
123,Morocco,,,,,0,0,7433,199,4703,2531,2020-05-24T00:00:00Z
124,Morocco,,,,,0,0,7532,200,4774,2558,2020-05-25T00:00:00Z
125,Morocco,,,,,0,0,7577,202,4881,2494,2020-05-26T00:00:00Z
126,Morocco,,,,,0,0,7601,202,4978,2421,2020-05-27T00:00:00Z
127,Morocco,,,,,0,0,7643,202,5195,2246,2020-05-28T00:00:00Z
128,Morocco,,,,,0,0,7714,202,5271,2241,2020-05-29T00:00:00Z
129,Morocco,,,,,0,0,7780,204,5401,2175,2020-05-30T00:00:00Z
130,Morocco,,,,,0,0,7807,205,5459,2143,2020-05-31T00:00:00Z
131,Morocco,,,,,0,0,7833,205,5893,1735,2020-06-01T00:00:00Z
132,Morocco,,,,,0,0,7866,206,6410,1250,2020-06-02T00:00:00Z
133,Morocco,,,,,0,0,7922,206,6866,850,2020-06-03T00:00:00Z
