,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Netherlands,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Netherlands,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Netherlands,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Netherlands,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Netherlands,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Netherlands,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Netherlands,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Netherlands,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Netherlands,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Netherlands,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Netherlands,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Netherlands,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Netherlands,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Netherlands,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Netherlands,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Netherlands,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Netherlands,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Netherlands,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Netherlands,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Netherlands,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Netherlands,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Netherlands,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Netherlands,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Netherlands,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Netherlands,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Netherlands,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Netherlands,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Netherlands,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Netherlands,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Netherlands,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Netherlands,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Netherlands,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Netherlands,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Netherlands,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Netherlands,,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Netherlands,,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Netherlands,,,,,0,0,1,0,0,1,2020-02-27T00:00:00Z
37,Netherlands,,,,,0,0,1,0,0,1,2020-02-28T00:00:00Z
38,Netherlands,,,,,0,0,6,0,0,6,2020-02-29T00:00:00Z
39,Netherlands,,,,,0,0,10,0,0,10,2020-03-01T00:00:00Z
40,Netherlands,,,,,0,0,18,0,0,18,2020-03-02T00:00:00Z
41,Netherlands,,,,,0,0,24,0,0,24,2020-03-03T00:00:00Z
42,Netherlands,,,,,0,0,38,0,0,38,2020-03-04T00:00:00Z
43,Netherlands,,,,,0,0,82,0,0,82,2020-03-05T00:00:00Z
44,Netherlands,,,,,0,0,128,1,0,127,2020-03-06T00:00:00Z
45,Netherlands,,,,,0,0,188,1,0,187,2020-03-07T00:00:00Z
46,Netherlands,,,,,0,0,265,3,0,262,2020-03-08T00:00:00Z
47,Netherlands,,,,,0,0,321,3,0,318,2020-03-09T00:00:00Z
48,Netherlands,,,,,0,0,382,4,0,378,2020-03-10T00:00:00Z
49,Netherlands,,,,,0,0,503,5,0,498,2020-03-11T00:00:00Z
50,Netherlands,,,,,0,0,503,5,0,498,2020-03-12T00:00:00Z
51,Netherlands,,,,,0,0,806,10,0,796,2020-03-13T00:00:00Z
52,Netherlands,,,,,0,0,962,12,0,950,2020-03-14T00:00:00Z
53,Netherlands,,,,,0,0,1138,20,0,1118,2020-03-15T00:00:00Z
54,Netherlands,,,,,0,0,1416,24,0,1392,2020-03-16T00:00:00Z
55,Netherlands,,,,,0,0,1711,43,0,1668,2020-03-17T00:00:00Z
56,Netherlands,,,,,0,0,2058,58,0,2000,2020-03-18T00:00:00Z
57,Netherlands,,,,,0,0,2467,77,0,2390,2020-03-19T00:00:00Z
58,Netherlands,,,,,0,0,3003,107,0,2896,2020-03-20T00:00:00Z
59,Netherlands,,,,,0,0,3640,137,0,3503,2020-03-21T00:00:00Z
60,Netherlands,,,,,0,0,4217,180,0,4037,2020-03-22T00:00:00Z
61,Netherlands,,,,,0,0,4764,214,0,4550,2020-03-23T00:00:00Z
62,Netherlands,,,,,0,0,5580,277,1,5302,2020-03-24T00:00:00Z
63,Netherlands,,,,,0,0,6438,357,1,6080,2020-03-25T00:00:00Z
64,Netherlands,,,,,0,0,7468,435,3,7030,2020-03-26T00:00:00Z
65,Netherlands,,,,,0,0,8647,547,3,8097,2020-03-27T00:00:00Z
66,Netherlands,,,,,0,0,9819,640,3,9176,2020-03-28T00:00:00Z
67,Netherlands,,,,,0,0,10930,772,3,10155,2020-03-29T00:00:00Z
68,Netherlands,,,,,0,0,11817,865,3,10949,2020-03-30T00:00:00Z
69,Netherlands,,,,,0,0,12667,1040,3,11624,2020-03-31T00:00:00Z
70,Netherlands,,,,,0,0,13696,1175,10,12511,2020-04-01T00:00:00Z
71,Netherlands,,,,,0,0,14788,1341,10,13437,2020-04-02T00:00:00Z
72,Netherlands,,,,,0,0,15821,1490,10,14321,2020-04-03T00:00:00Z
73,Netherlands,,,,,0,0,16727,1656,12,15059,2020-04-04T00:00:00Z
74,Netherlands,,,,,0,0,17953,1771,7,16175,2020-04-05T00:00:00Z
75,Netherlands,,,,,0,0,18926,1874,8,17044,2020-04-06T00:00:00Z
76,Netherlands,,,,,0,0,19709,2108,22,17579,2020-04-07T00:00:00Z
77,Netherlands,,,,,0,0,20682,2255,22,18405,2020-04-08T00:00:00Z
78,Netherlands,,,,,0,0,21903,2403,28,19472,2020-04-09T00:00:00Z
79,Netherlands,,,,,0,0,23249,2520,37,20692,2020-04-10T00:00:00Z
80,Netherlands,,,,,0,0,24571,2653,41,21877,2020-04-11T00:00:00Z
81,Netherlands,,,,,0,0,25746,2747,45,22954,2020-04-12T00:00:00Z
82,Netherlands,,,,,0,0,26710,2833,45,23832,2020-04-13T00:00:00Z
83,Netherlands,,,,,0,0,27580,2955,47,24578,2020-04-14T00:00:00Z
84,Netherlands,,,,,0,0,28316,3145,54,25117,2020-04-15T00:00:00Z
85,Netherlands,,,,,0,0,29383,3327,61,25995,2020-04-16T00:00:00Z
86,Netherlands,,,,,0,0,30619,3471,65,27083,2020-04-17T00:00:00Z
87,Netherlands,,,,,0,0,31766,3613,67,28086,2020-04-18T00:00:00Z
88,Netherlands,,,,,0,0,32838,3697,72,29069,2020-04-19T00:00:00Z
89,Netherlands,,,,,0,0,33588,3764,72,29752,2020-04-20T00:00:00Z
90,Netherlands,,,,,0,0,34317,3929,74,30314,2020-04-21T00:00:00Z
91,Netherlands,,,,,0,0,35032,4068,101,30863,2020-04-22T00:00:00Z
92,Netherlands,,,,,0,0,35921,4192,101,31628,2020-04-23T00:00:00Z
93,Netherlands,,,,,0,0,36729,4304,102,32323,2020-04-24T00:00:00Z
94,Netherlands,,,,,0,0,37384,4424,102,32858,2020-04-25T00:00:00Z
95,Netherlands,,,,,0,0,38040,4491,117,33432,2020-04-26T00:00:00Z
96,Netherlands,,,,,0,0,38440,4534,117,33789,2020-04-27T00:00:00Z
97,Netherlands,,,,,0,0,38612,4582,117,33913,2020-04-28T00:00:00Z
98,Netherlands,,,,,0,0,38998,4727,119,34152,2020-04-29T00:00:00Z
99,Netherlands,,,,,0,0,39512,4811,125,34576,2020-04-30T00:00:00Z
100,Netherlands,,,,,0,0,39989,4909,138,34942,2020-05-01T00:00:00Z
101,Netherlands,,,,,0,0,40434,5003,138,35293,2020-05-02T00:00:00Z
102,Netherlands,,,,,0,0,40769,5072,138,35559,2020-05-03T00:00:00Z
103,Netherlands,,,,,0,0,40968,5098,138,35732,2020-05-04T00:00:00Z
104,Netherlands,,,,,0,0,41286,5185,139,35962,2020-05-05T00:00:00Z
105,Netherlands,,,,,0,0,41518,5221,146,36151,2020-05-06T00:00:00Z
106,Netherlands,,,,,0,0,41973,5306,147,36520,2020-05-07T00:00:00Z
107,Netherlands,,,,,0,0,42292,5377,147,36768,2020-05-08T00:00:00Z
108,Netherlands,,,,,0,0,42581,5441,149,36991,2020-05-09T00:00:00Z
109,Netherlands,,,,,0,0,42826,5459,149,37218,2020-05-10T00:00:00Z
110,Netherlands,,,,,0,0,42987,5475,149,37363,2020-05-11T00:00:00Z
111,Netherlands,,,,,0,0,43183,5529,149,37505,2020-05-12T00:00:00Z
112,Netherlands,,,,,0,0,43410,5581,157,37672,2020-05-13T00:00:00Z
113,Netherlands,,,,,0,0,43680,5609,159,37912,2020-05-14T00:00:00Z
114,Netherlands,,,,,0,0,43880,5662,159,38059,2020-05-15T00:00:00Z
115,Netherlands,,,,,0,0,44070,5689,167,38214,2020-05-16T00:00:00Z
116,Netherlands,,,,,0,0,44195,5699,167,38329,2020-05-17T00:00:00Z
117,Netherlands,,,,,0,0,44341,5713,167,38461,2020-05-18T00:00:00Z
118,Netherlands,,,,,0,0,44449,5734,167,38548,2020-05-19T00:00:00Z
