,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Pakistan,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Pakistan,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Pakistan,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Pakistan,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Pakistan,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Pakistan,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Pakistan,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Pakistan,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Pakistan,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Pakistan,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Pakistan,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Pakistan,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Pakistan,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Pakistan,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Pakistan,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Pakistan,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Pakistan,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Pakistan,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Pakistan,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Pakistan,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Pakistan,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Pakistan,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Pakistan,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Pakistan,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Pakistan,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Pakistan,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Pakistan,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Pakistan,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Pakistan,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Pakistan,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Pakistan,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Pakistan,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Pakistan,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Pakistan,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Pakistan,,,,,0,0,2,0,0,2,2020-02-25T00:00:00Z
35,Pakistan,,,,,0,0,2,0,0,2,2020-02-26T00:00:00Z
36,Pakistan,,,,,0,0,2,0,0,2,2020-02-27T00:00:00Z
37,Pakistan,,,,,0,0,4,0,0,4,2020-02-28T00:00:00Z
38,Pakistan,,,,,0,0,4,0,0,4,2020-02-29T00:00:00Z
39,Pakistan,,,,,0,0,4,0,0,4,2020-03-01T00:00:00Z
40,Pakistan,,,,,0,0,5,0,0,5,2020-03-02T00:00:00Z
41,Pakistan,,,,,0,0,5,0,0,5,2020-03-03T00:00:00Z
42,Pakistan,,,,,0,0,5,0,0,5,2020-03-04T00:00:00Z
43,Pakistan,,,,,0,0,6,0,0,6,2020-03-05T00:00:00Z
44,Pakistan,,,,,0,0,6,0,0,6,2020-03-06T00:00:00Z
45,Pakistan,,,,,0,0,6,0,1,5,2020-03-07T00:00:00Z
46,Pakistan,,,,,0,0,6,0,1,5,2020-03-08T00:00:00Z
47,Pakistan,,,,,0,0,16,0,1,15,2020-03-09T00:00:00Z
48,Pakistan,,,,,0,0,19,0,2,17,2020-03-10T00:00:00Z
49,Pakistan,,,,,0,0,20,0,2,18,2020-03-11T00:00:00Z
50,Pakistan,,,,,0,0,28,0,2,26,2020-03-12T00:00:00Z
51,Pakistan,,,,,0,0,31,0,2,29,2020-03-13T00:00:00Z
52,Pakistan,,,,,0,0,53,0,2,51,2020-03-14T00:00:00Z
53,Pakistan,,,,,0,0,136,0,2,134,2020-03-15T00:00:00Z
54,Pakistan,,,,,0,0,236,0,2,234,2020-03-16T00:00:00Z
55,Pakistan,,,,,0,0,299,0,2,297,2020-03-17T00:00:00Z
56,Pakistan,,,,,0,0,454,2,13,439,2020-03-18T00:00:00Z
57,Pakistan,,,,,0,0,501,3,13,485,2020-03-19T00:00:00Z
58,Pakistan,,,,,0,0,730,3,13,714,2020-03-20T00:00:00Z
59,Pakistan,,,,,0,0,776,5,5,766,2020-03-21T00:00:00Z
60,Pakistan,,,,,0,0,875,6,5,864,2020-03-22T00:00:00Z
61,Pakistan,,,,,0,0,972,7,18,947,2020-03-23T00:00:00Z
62,Pakistan,,,,,0,0,1063,8,21,1034,2020-03-24T00:00:00Z
63,Pakistan,,,,,0,0,1201,9,21,1171,2020-03-25T00:00:00Z
64,Pakistan,,,,,0,0,1373,11,23,1339,2020-03-26T00:00:00Z
65,Pakistan,,,,,0,0,1495,12,29,1454,2020-03-27T00:00:00Z
66,Pakistan,,,,,0,0,1597,14,29,1554,2020-03-28T00:00:00Z
