,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Peru,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Peru,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Peru,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Peru,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Peru,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Peru,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Peru,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Peru,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Peru,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Peru,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Peru,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Peru,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Peru,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Peru,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Peru,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Peru,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Peru,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Peru,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Peru,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Peru,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Peru,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Peru,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Peru,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Peru,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Peru,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Peru,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Peru,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Peru,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Peru,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Peru,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Peru,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Peru,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Peru,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Peru,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Peru,,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Peru,,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Peru,,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
37,Peru,,,,,0,0,0,0,0,0,2020-02-28T00:00:00Z
38,Peru,,,,,0,0,0,0,0,0,2020-02-29T00:00:00Z
39,Peru,,,,,0,0,0,0,0,0,2020-03-01T00:00:00Z
40,Peru,,,,,0,0,0,0,0,0,2020-03-02T00:00:00Z
41,Peru,,,,,0,0,0,0,0,0,2020-03-03T00:00:00Z
42,Peru,,,,,0,0,0,0,0,0,2020-03-04T00:00:00Z
43,Peru,,,,,0,0,0,0,0,0,2020-03-05T00:00:00Z
44,Peru,,,,,0,0,1,0,0,1,2020-03-06T00:00:00Z
45,Peru,,,,,0,0,1,0,0,1,2020-03-07T00:00:00Z
46,Peru,,,,,0,0,6,0,0,6,2020-03-08T00:00:00Z
47,Peru,,,,,0,0,7,0,0,7,2020-03-09T00:00:00Z
48,Peru,,,,,0,0,11,0,0,11,2020-03-10T00:00:00Z
49,Peru,,,,,0,0,11,0,0,11,2020-03-11T00:00:00Z
50,Peru,,,,,0,0,15,0,0,15,2020-03-12T00:00:00Z
51,Peru,,,,,0,0,28,0,0,28,2020-03-13T00:00:00Z
52,Peru,,,,,0,0,38,0,0,38,2020-03-14T00:00:00Z
53,Peru,,,,,0,0,43,0,0,43,2020-03-15T00:00:00Z
54,Peru,,,,,0,0,86,0,0,86,2020-03-16T00:00:00Z
55,Peru,,,,,0,0,117,0,1,116,2020-03-17T00:00:00Z
56,Peru,,,,,0,0,145,0,1,144,2020-03-18T00:00:00Z
57,Peru,,,,,0,0,234,0,1,233,2020-03-19T00:00:00Z
58,Peru,,,,,0,0,234,3,1,230,2020-03-20T00:00:00Z
59,Peru,,,,,0,0,318,5,1,312,2020-03-21T00:00:00Z
60,Peru,,,,,0,0,363,5,1,357,2020-03-22T00:00:00Z
61,Peru,,,,,0,0,395,5,1,389,2020-03-23T00:00:00Z
62,Peru,,,,,0,0,416,7,1,408,2020-03-24T00:00:00Z
63,Peru,,,,,0,0,480,9,1,470,2020-03-25T00:00:00Z
64,Peru,,,,,0,0,580,9,14,557,2020-03-26T00:00:00Z
65,Peru,,,,,0,0,635,11,16,608,2020-03-27T00:00:00Z
66,Peru,,,,,0,0,671,16,16,639,2020-03-28T00:00:00Z
67,Peru,,,,,0,0,852,18,16,818,2020-03-29T00:00:00Z
68,Peru,,,,,0,0,950,24,53,873,2020-03-30T00:00:00Z
69,Peru,,,,,0,0,1065,30,394,641,2020-03-31T00:00:00Z
70,Peru,,,,,0,0,1323,38,394,891,2020-04-01T00:00:00Z
71,Peru,,,,,0,0,1414,55,537,822,2020-04-02T00:00:00Z
72,Peru,,,,,0,0,1595,61,537,997,2020-04-03T00:00:00Z
73,Peru,,,,,0,0,1746,73,914,759,2020-04-04T00:00:00Z
74,Peru,,,,,0,0,2281,83,989,1209,2020-04-05T00:00:00Z
75,Peru,,,,,0,0,2561,92,997,1472,2020-04-06T00:00:00Z
76,Peru,,,,,0,0,2954,107,1301,1546,2020-04-07T00:00:00Z
77,Peru,,,,,0,0,4342,121,1333,2888,2020-04-08T00:00:00Z
78,Peru,,,,,0,0,5256,138,1438,3680,2020-04-09T00:00:00Z
79,Peru,,,,,0,0,5897,169,1569,4159,2020-04-10T00:00:00Z
80,Peru,,,,,0,0,6848,181,1739,4928,2020-04-11T00:00:00Z
81,Peru,,,,,0,0,7519,193,1798,5528,2020-04-12T00:00:00Z
82,Peru,,,,,0,0,9784,216,2642,6926,2020-04-13T00:00:00Z
83,Peru,,,,,0,0,10303,230,2869,7204,2020-04-14T00:00:00Z
84,Peru,,,,,0,0,11475,254,3108,8113,2020-04-15T00:00:00Z
85,Peru,,,,,0,0,12491,274,6120,6097,2020-04-16T00:00:00Z
86,Peru,,,,,0,0,13489,300,6541,6648,2020-04-17T00:00:00Z
87,Peru,,,,,0,0,14420,348,6684,7388,2020-04-18T00:00:00Z
88,Peru,,,,,0,0,15628,400,6811,8417,2020-04-19T00:00:00Z
89,Peru,,,,,0,0,16325,445,6968,8912,2020-04-20T00:00:00Z
90,Peru,,,,,0,0,17837,484,6982,10371,2020-04-21T00:00:00Z
91,Peru,,,,,0,0,19250,530,7027,11693,2020-04-22T00:00:00Z
92,Peru,,,,,0,0,20914,572,7422,12920,2020-04-23T00:00:00Z
93,Peru,,,,,0,0,21648,634,7496,13518,2020-04-24T00:00:00Z
94,Peru,,,,,0,0,25331,700,7797,16834,2020-04-25T00:00:00Z
95,Peru,,,,,0,0,27517,728,8088,18701,2020-04-26T00:00:00Z
96,Peru,,,,,0,0,28699,782,8425,19492,2020-04-27T00:00:00Z
97,Peru,,,,,0,0,31190,854,9179,21157,2020-04-28T00:00:00Z
98,Peru,,,,,0,0,33931,943,10037,22951,2020-04-29T00:00:00Z
99,Peru,,,,,0,0,36976,1051,10405,25520,2020-04-30T00:00:00Z
100,Peru,,,,,0,0,40459,1124,11129,28206,2020-05-01T00:00:00Z
101,Peru,,,,,0,0,42534,1200,12434,28900,2020-05-02T00:00:00Z
102,Peru,,,,,0,0,45928,1286,13550,31092,2020-05-03T00:00:00Z
103,Peru,,,,,0,0,47372,1344,14427,31601,2020-05-04T00:00:00Z
104,Peru,,,,,0,0,51189,1444,15413,34332,2020-05-05T00:00:00Z
105,Peru,,,,,0,0,54817,1533,17527,35757,2020-05-06T00:00:00Z
106,Peru,,,,,0,0,58526,1627,18388,38511,2020-05-07T00:00:00Z
107,Peru,,,,,0,0,61847,1714,19012,41121,2020-05-08T00:00:00Z
108,Peru,,,,,0,0,65015,1814,20246,42955,2020-05-09T00:00:00Z
109,Peru,,,,,0,0,67307,1889,21349,44069,2020-05-10T00:00:00Z
110,Peru,,,,,0,0,68822,1961,22406,44455,2020-05-11T00:00:00Z
111,Peru,,,,,0,0,72059,2057,23324,46678,2020-05-12T00:00:00Z
112,Peru,,,,,0,0,76306,2169,24324,49813,2020-05-13T00:00:00Z
113,Peru,,,,,0,0,80604,2267,25151,53186,2020-05-14T00:00:00Z
114,Peru,,,,,0,0,84495,2392,27147,54956,2020-05-15T00:00:00Z
115,Peru,,,,,0,0,88541,2523,28272,57746,2020-05-16T00:00:00Z
116,Peru,,,,,0,0,92273,2648,28621,61004,2020-05-17T00:00:00Z
117,Peru,,,,,0,0,94933,2789,30306,61838,2020-05-18T00:00:00Z
118,Peru,,,,,0,0,99483,2914,36524,60045,2020-05-19T00:00:00Z
119,Peru,,,,,0,0,104020,3024,41968,59028,2020-05-20T00:00:00Z
120,Peru,,,,,0,0,108769,3148,43587,62034,2020-05-21T00:00:00Z
121,Peru,,,,,0,0,111698,3244,44848,63606,2020-05-22T00:00:00Z
122,Peru,,,,,0,0,115754,3373,47915,64466,2020-05-23T00:00:00Z
123,Peru,,,,,0,0,119959,3456,49795,66708,2020-05-24T00:00:00Z
124,Peru,,,,,0,0,123979,3629,50949,69401,2020-05-25T00:00:00Z
125,Peru,,,,,0,0,129751,3788,52906,73057,2020-05-26T00:00:00Z
