,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Russian Federation,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Russian Federation,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Russian Federation,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Russian Federation,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Russian Federation,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Russian Federation,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Russian Federation,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Russian Federation,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Russian Federation,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Russian Federation,,,,,0,0,2,0,0,2,2020-01-31T00:00:00Z
10,Russian Federation,,,,,0,0,2,0,0,2,2020-02-01T00:00:00Z
11,Russian Federation,,,,,0,0,2,0,0,2,2020-02-02T00:00:00Z
12,Russian Federation,,,,,0,0,2,0,0,2,2020-02-03T00:00:00Z
13,Russian Federation,,,,,0,0,2,0,0,2,2020-02-04T00:00:00Z
14,Russian Federation,,,,,0,0,2,0,0,2,2020-02-05T00:00:00Z
15,Russian Federation,,,,,0,0,2,0,0,2,2020-02-06T00:00:00Z
16,Russian Federation,,,,,0,0,2,0,0,2,2020-02-07T00:00:00Z
17,Russian Federation,,,,,0,0,2,0,0,2,2020-02-08T00:00:00Z
18,Russian Federation,,,,,0,0,2,0,0,2,2020-02-09T00:00:00Z
19,Russian Federation,,,,,0,0,2,0,0,2,2020-02-10T00:00:00Z
20,Russian Federation,,,,,0,0,2,0,0,2,2020-02-11T00:00:00Z
21,Russian Federation,,,,,0,0,2,0,2,0,2020-02-12T00:00:00Z
22,Russian Federation,,,,,0,0,2,0,2,0,2020-02-13T00:00:00Z
23,Russian Federation,,,,,0,0,2,0,2,0,2020-02-14T00:00:00Z
24,Russian Federation,,,,,0,0,2,0,2,0,2020-02-15T00:00:00Z
25,Russian Federation,,,,,0,0,2,0,2,0,2020-02-16T00:00:00Z
26,Russian Federation,,,,,0,0,2,0,2,0,2020-02-17T00:00:00Z
27,Russian Federation,,,,,0,0,2,0,2,0,2020-02-18T00:00:00Z
28,Russian Federation,,,,,0,0,2,0,2,0,2020-02-19T00:00:00Z
29,Russian Federation,,,,,0,0,2,0,2,0,2020-02-20T00:00:00Z
30,Russian Federation,,,,,0,0,2,0,2,0,2020-02-21T00:00:00Z
31,Russian Federation,,,,,0,0,2,0,2,0,2020-02-22T00:00:00Z
32,Russian Federation,,,,,0,0,2,0,2,0,2020-02-23T00:00:00Z
33,Russian Federation,,,,,0,0,2,0,2,0,2020-02-24T00:00:00Z
34,Russian Federation,,,,,0,0,2,0,2,0,2020-02-25T00:00:00Z
35,Russian Federation,,,,,0,0,2,0,2,0,2020-02-26T00:00:00Z
36,Russian Federation,,,,,0,0,2,0,2,0,2020-02-27T00:00:00Z
37,Russian Federation,,,,,0,0,2,0,2,0,2020-02-28T00:00:00Z
38,Russian Federation,,,,,0,0,2,0,2,0,2020-02-29T00:00:00Z
39,Russian Federation,,,,,0,0,2,0,2,0,2020-03-01T00:00:00Z
40,Russian Federation,,,,,0,0,3,0,2,1,2020-03-02T00:00:00Z
41,Russian Federation,,,,,0,0,3,0,2,1,2020-03-03T00:00:00Z
42,Russian Federation,,,,,0,0,3,0,2,1,2020-03-04T00:00:00Z
43,Russian Federation,,,,,0,0,4,0,2,2,2020-03-05T00:00:00Z
44,Russian Federation,,,,,0,0,13,0,2,11,2020-03-06T00:00:00Z
45,Russian Federation,,,,,0,0,13,0,2,11,2020-03-07T00:00:00Z
46,Russian Federation,,,,,0,0,17,0,3,14,2020-03-08T00:00:00Z
47,Russian Federation,,,,,0,0,17,0,3,14,2020-03-09T00:00:00Z
48,Russian Federation,,,,,0,0,20,0,3,17,2020-03-10T00:00:00Z
49,Russian Federation,,,,,0,0,20,0,3,17,2020-03-11T00:00:00Z
50,Russian Federation,,,,,0,0,28,0,3,25,2020-03-12T00:00:00Z
51,Russian Federation,,,,,0,0,45,0,3,42,2020-03-13T00:00:00Z
52,Russian Federation,,,,,0,0,59,0,8,51,2020-03-14T00:00:00Z
53,Russian Federation,,,,,0,0,63,0,8,55,2020-03-15T00:00:00Z
54,Russian Federation,,,,,0,0,90,0,8,82,2020-03-16T00:00:00Z
55,Russian Federation,,,,,0,0,114,0,8,106,2020-03-17T00:00:00Z
56,Russian Federation,,,,,0,0,147,0,8,139,2020-03-18T00:00:00Z
57,Russian Federation,,,,,0,0,199,1,9,189,2020-03-19T00:00:00Z
58,Russian Federation,,,,,0,0,253,1,9,243,2020-03-20T00:00:00Z
59,Russian Federation,,,,,0,0,306,1,12,293,2020-03-21T00:00:00Z
60,Russian Federation,,,,,0,0,367,1,16,350,2020-03-22T00:00:00Z
61,Russian Federation,,,,,0,0,438,1,16,421,2020-03-23T00:00:00Z
62,Russian Federation,,,,,0,0,495,1,22,472,2020-03-24T00:00:00Z
63,Russian Federation,,,,,0,0,658,3,29,626,2020-03-25T00:00:00Z
64,Russian Federation,,,,,0,0,840,3,38,799,2020-03-26T00:00:00Z
65,Russian Federation,,,,,0,0,1036,4,45,987,2020-03-27T00:00:00Z
66,Russian Federation,,,,,0,0,1264,4,49,1211,2020-03-28T00:00:00Z
67,Russian Federation,,,,,0,0,1534,8,64,1462,2020-03-29T00:00:00Z
68,Russian Federation,,,,,0,0,1836,9,66,1761,2020-03-30T00:00:00Z
69,Russian Federation,,,,,0,0,2337,17,121,2199,2020-03-31T00:00:00Z
70,Russian Federation,,,,,0,0,2777,24,190,2563,2020-04-01T00:00:00Z
71,Russian Federation,,,,,0,0,3548,30,235,3283,2020-04-02T00:00:00Z
72,Russian Federation,,,,,0,0,4149,34,281,3834,2020-04-03T00:00:00Z
73,Russian Federation,,,,,0,0,4731,43,333,4355,2020-04-04T00:00:00Z
74,Russian Federation,,,,,0,0,5389,45,355,4989,2020-04-05T00:00:00Z
75,Russian Federation,,,,,0,0,6343,47,406,5890,2020-04-06T00:00:00Z
76,Russian Federation,,,,,0,0,7497,58,494,6945,2020-04-07T00:00:00Z
77,Russian Federation,,,,,0,0,8672,63,580,8029,2020-04-08T00:00:00Z
78,Russian Federation,,,,,0,0,10131,76,698,9357,2020-04-09T00:00:00Z
79,Russian Federation,,,,,0,0,11917,94,795,11028,2020-04-10T00:00:00Z
80,Russian Federation,,,,,0,0,13584,106,1045,12433,2020-04-11T00:00:00Z
81,Russian Federation,,,,,0,0,15770,130,1291,14349,2020-04-12T00:00:00Z
82,Russian Federation,,,,,0,0,18328,148,1470,16710,2020-04-13T00:00:00Z
83,Russian Federation,,,,,0,0,21102,170,1694,19238,2020-04-14T00:00:00Z
84,Russian Federation,,,,,0,0,24490,198,1986,22306,2020-04-15T00:00:00Z
85,Russian Federation,,,,,0,0,27938,232,2304,25402,2020-04-16T00:00:00Z
