,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
37,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-28T00:00:00Z
38,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-02-29T00:00:00Z
39,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-03-01T00:00:00Z
40,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-03-02T00:00:00Z
41,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-03-03T00:00:00Z
42,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-03-04T00:00:00Z
43,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-03-05T00:00:00Z
44,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-03-06T00:00:00Z
45,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-03-07T00:00:00Z
46,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-03-08T00:00:00Z
47,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-03-09T00:00:00Z
48,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-03-10T00:00:00Z
49,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-03-11T00:00:00Z
50,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-03-12T00:00:00Z
51,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-03-13T00:00:00Z
52,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-03-14T00:00:00Z
53,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-03-15T00:00:00Z
54,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-03-16T00:00:00Z
55,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-03-17T00:00:00Z
56,Sao Tome and Principe,,,,,0,0,0,0,0,0,2020-03-18T00:00:00Z
