,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Saudi Arabia,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Saudi Arabia,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Saudi Arabia,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Saudi Arabia,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Saudi Arabia,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Saudi Arabia,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Saudi Arabia,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Saudi Arabia,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Saudi Arabia,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Saudi Arabia,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
37,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-28T00:00:00Z
38,Saudi Arabia,,,,,0,0,0,0,0,0,2020-02-29T00:00:00Z
39,Saudi Arabia,,,,,0,0,0,0,0,0,2020-03-01T00:00:00Z
40,Saudi Arabia,,,,,0,0,1,0,0,1,2020-03-02T00:00:00Z
41,Saudi Arabia,,,,,0,0,1,0,0,1,2020-03-03T00:00:00Z
42,Saudi Arabia,,,,,0,0,1,0,0,1,2020-03-04T00:00:00Z
43,Saudi Arabia,,,,,0,0,5,0,0,5,2020-03-05T00:00:00Z
44,Saudi Arabia,,,,,0,0,5,0,0,5,2020-03-06T00:00:00Z
45,Saudi Arabia,,,,,0,0,5,0,0,5,2020-03-07T00:00:00Z
46,Saudi Arabia,,,,,0,0,11,0,0,11,2020-03-08T00:00:00Z
47,Saudi Arabia,,,,,0,0,15,0,0,15,2020-03-09T00:00:00Z
48,Saudi Arabia,,,,,0,0,20,0,1,19,2020-03-10T00:00:00Z
