,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Serbia,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Serbia,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Serbia,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Serbia,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Serbia,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Serbia,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Serbia,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Serbia,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Serbia,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Serbia,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Serbia,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Serbia,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Serbia,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Serbia,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Serbia,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Serbia,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Serbia,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Serbia,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Serbia,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Serbia,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Serbia,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Serbia,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Serbia,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Serbia,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Serbia,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Serbia,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Serbia,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Serbia,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Serbia,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Serbia,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Serbia,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Serbia,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Serbia,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Serbia,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Serbia,,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Serbia,,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Serbia,,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
37,Serbia,,,,,0,0,0,0,0,0,2020-02-28T00:00:00Z
38,Serbia,,,,,0,0,0,0,0,0,2020-02-29T00:00:00Z
39,Serbia,,,,,0,0,0,0,0,0,2020-03-01T00:00:00Z
40,Serbia,,,,,0,0,0,0,0,0,2020-03-02T00:00:00Z
41,Serbia,,,,,0,0,0,0,0,0,2020-03-03T00:00:00Z
42,Serbia,,,,,0,0,0,0,0,0,2020-03-04T00:00:00Z
43,Serbia,,,,,0,0,0,0,0,0,2020-03-05T00:00:00Z
44,Serbia,,,,,0,0,1,0,0,1,2020-03-06T00:00:00Z
45,Serbia,,,,,0,0,1,0,0,1,2020-03-07T00:00:00Z
46,Serbia,,,,,0,0,1,0,0,1,2020-03-08T00:00:00Z
47,Serbia,,,,,0,0,1,0,0,1,2020-03-09T00:00:00Z
48,Serbia,,,,,0,0,5,0,0,5,2020-03-10T00:00:00Z
49,Serbia,,,,,0,0,12,0,0,12,2020-03-11T00:00:00Z
50,Serbia,,,,,0,0,19,0,0,19,2020-03-12T00:00:00Z
51,Serbia,,,,,0,0,35,0,0,35,2020-03-13T00:00:00Z
52,Serbia,,,,,0,0,46,0,0,46,2020-03-14T00:00:00Z
53,Serbia,,,,,0,0,48,0,0,48,2020-03-15T00:00:00Z
54,Serbia,,,,,0,0,55,0,1,54,2020-03-16T00:00:00Z
55,Serbia,,,,,0,0,65,0,1,64,2020-03-17T00:00:00Z
56,Serbia,,,,,0,0,83,0,1,82,2020-03-18T00:00:00Z
57,Serbia,,,,,0,0,103,0,1,102,2020-03-19T00:00:00Z
58,Serbia,,,,,0,0,135,1,1,133,2020-03-20T00:00:00Z
59,Serbia,,,,,0,0,171,1,1,169,2020-03-21T00:00:00Z
60,Serbia,,,,,0,0,222,2,1,219,2020-03-22T00:00:00Z
61,Serbia,,,,,0,0,249,3,1,245,2020-03-23T00:00:00Z
62,Serbia,,,,,0,0,303,3,15,285,2020-03-24T00:00:00Z
63,Serbia,,,,,0,0,384,4,15,365,2020-03-25T00:00:00Z
64,Serbia,,,,,0,0,384,1,0,383,2020-03-26T00:00:00Z
65,Serbia,,,,,0,0,457,1,0,456,2020-03-27T00:00:00Z
66,Serbia,,,,,0,0,659,10,0,649,2020-03-28T00:00:00Z
67,Serbia,,,,,0,0,741,13,0,728,2020-03-29T00:00:00Z
68,Serbia,,,,,0,0,785,16,0,769,2020-03-30T00:00:00Z
69,Serbia,,,,,0,0,900,16,0,884,2020-03-31T00:00:00Z
70,Serbia,,,,,0,0,1060,28,0,1032,2020-04-01T00:00:00Z
71,Serbia,,,,,0,0,1171,31,0,1140,2020-04-02T00:00:00Z
72,Serbia,,,,,0,0,1476,39,0,1437,2020-04-03T00:00:00Z
73,Serbia,,,,,0,0,1624,44,0,1580,2020-04-04T00:00:00Z
74,Serbia,,,,,0,0,1908,51,0,1857,2020-04-05T00:00:00Z
75,Serbia,,,,,0,0,2200,58,0,2142,2020-04-06T00:00:00Z
76,Serbia,,,,,0,0,2447,61,0,2386,2020-04-07T00:00:00Z
77,Serbia,,,,,0,0,2666,65,0,2601,2020-04-08T00:00:00Z
78,Serbia,,,,,0,0,2867,66,0,2801,2020-04-09T00:00:00Z
79,Serbia,,,,,0,0,3105,71,0,3034,2020-04-10T00:00:00Z
80,Serbia,,,,,0,0,3380,74,0,3306,2020-04-11T00:00:00Z
81,Serbia,,,,,0,0,3630,80,0,3550,2020-04-12T00:00:00Z
82,Serbia,,,,,0,0,4054,85,0,3969,2020-04-13T00:00:00Z
83,Serbia,,,,,0,0,4465,94,0,4371,2020-04-14T00:00:00Z
84,Serbia,,,,,0,0,4873,99,0,4774,2020-04-15T00:00:00Z
85,Serbia,,,,,0,0,5318,103,0,5215,2020-04-16T00:00:00Z
86,Serbia,,,,,0,0,5690,110,534,5046,2020-04-17T00:00:00Z
87,Serbia,,,,,0,0,5994,117,637,5240,2020-04-18T00:00:00Z
88,Serbia,,,,,0,0,6318,122,753,5443,2020-04-19T00:00:00Z
89,Serbia,,,,,0,0,6630,125,870,5635,2020-04-20T00:00:00Z
90,Serbia,,,,,0,0,6890,130,977,5783,2020-04-21T00:00:00Z
