,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Singapore,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Singapore,,,,,0,0,1,0,0,1,2020-01-23T00:00:00Z
2,Singapore,,,,,0,0,3,0,0,3,2020-01-24T00:00:00Z
3,Singapore,,,,,0,0,3,0,0,3,2020-01-25T00:00:00Z
4,Singapore,,,,,0,0,4,0,0,4,2020-01-26T00:00:00Z
5,Singapore,,,,,0,0,5,0,0,5,2020-01-27T00:00:00Z
6,Singapore,,,,,0,0,7,0,0,7,2020-01-28T00:00:00Z
7,Singapore,,,,,0,0,7,0,0,7,2020-01-29T00:00:00Z
8,Singapore,,,,,0,0,10,0,0,10,2020-01-30T00:00:00Z
9,Singapore,,,,,0,0,13,0,0,13,2020-01-31T00:00:00Z
10,Singapore,,,,,0,0,16,0,0,16,2020-02-01T00:00:00Z
11,Singapore,,,,,0,0,18,0,0,18,2020-02-02T00:00:00Z
12,Singapore,,,,,0,0,18,0,0,18,2020-02-03T00:00:00Z
13,Singapore,,,,,0,0,24,0,0,24,2020-02-04T00:00:00Z
14,Singapore,,,,,0,0,28,0,0,28,2020-02-05T00:00:00Z
15,Singapore,,,,,0,0,28,0,0,28,2020-02-06T00:00:00Z
16,Singapore,,,,,0,0,30,0,0,30,2020-02-07T00:00:00Z
17,Singapore,,,,,0,0,33,0,2,31,2020-02-08T00:00:00Z
18,Singapore,,,,,0,0,40,0,2,38,2020-02-09T00:00:00Z
19,Singapore,,,,,0,0,45,0,2,43,2020-02-10T00:00:00Z
20,Singapore,,,,,0,0,47,0,9,38,2020-02-11T00:00:00Z
21,Singapore,,,,,0,0,50,0,15,35,2020-02-12T00:00:00Z
22,Singapore,,,,,0,0,58,0,15,43,2020-02-13T00:00:00Z
23,Singapore,,,,,0,0,67,0,17,50,2020-02-14T00:00:00Z
24,Singapore,,,,,0,0,72,0,18,54,2020-02-15T00:00:00Z
25,Singapore,,,,,0,0,75,0,18,57,2020-02-16T00:00:00Z
26,Singapore,,,,,0,0,77,0,24,53,2020-02-17T00:00:00Z
27,Singapore,,,,,0,0,81,0,29,52,2020-02-18T00:00:00Z
28,Singapore,,,,,0,0,84,0,34,50,2020-02-19T00:00:00Z
29,Singapore,,,,,0,0,84,0,34,50,2020-02-20T00:00:00Z
30,Singapore,,,,,0,0,85,0,37,48,2020-02-21T00:00:00Z
31,Singapore,,,,,0,0,85,0,37,48,2020-02-22T00:00:00Z
32,Singapore,,,,,0,0,89,0,51,38,2020-02-23T00:00:00Z
33,Singapore,,,,,0,0,89,0,51,38,2020-02-24T00:00:00Z
34,Singapore,,,,,0,0,91,0,53,38,2020-02-25T00:00:00Z
35,Singapore,,,,,0,0,93,0,62,31,2020-02-26T00:00:00Z
36,Singapore,,,,,0,0,93,0,62,31,2020-02-27T00:00:00Z
37,Singapore,,,,,0,0,93,0,62,31,2020-02-28T00:00:00Z
38,Singapore,,,,,0,0,102,0,72,30,2020-02-29T00:00:00Z
39,Singapore,,,,,0,0,106,0,72,34,2020-03-01T00:00:00Z
40,Singapore,,,,,0,0,108,0,78,30,2020-03-02T00:00:00Z
41,Singapore,,,,,0,0,110,0,78,32,2020-03-03T00:00:00Z
42,Singapore,,,,,0,0,110,0,78,32,2020-03-04T00:00:00Z
43,Singapore,,,,,0,0,117,0,78,39,2020-03-05T00:00:00Z
44,Singapore,,,,,0,0,130,0,78,52,2020-03-06T00:00:00Z
45,Singapore,,,,,0,0,138,0,78,60,2020-03-07T00:00:00Z
46,Singapore,,,,,0,0,150,0,78,72,2020-03-08T00:00:00Z
47,Singapore,,,,,0,0,150,0,78,72,2020-03-09T00:00:00Z
48,Singapore,,,,,0,0,160,0,78,82,2020-03-10T00:00:00Z
49,Singapore,,,,,0,0,178,0,96,82,2020-03-11T00:00:00Z
50,Singapore,,,,,0,0,178,0,96,82,2020-03-12T00:00:00Z
51,Singapore,,,,,0,0,200,0,97,103,2020-03-13T00:00:00Z
52,Singapore,,,,,0,0,212,0,105,107,2020-03-14T00:00:00Z
53,Singapore,,,,,0,0,226,0,105,121,2020-03-15T00:00:00Z
54,Singapore,,,,,0,0,243,0,109,134,2020-03-16T00:00:00Z
55,Singapore,,,,,0,0,266,0,114,152,2020-03-17T00:00:00Z
56,Singapore,,,,,0,0,313,0,114,199,2020-03-18T00:00:00Z
57,Singapore,,,,,0,0,345,0,114,231,2020-03-19T00:00:00Z
58,Singapore,,,,,0,0,385,0,124,261,2020-03-20T00:00:00Z
59,Singapore,,,,,0,0,432,2,140,290,2020-03-21T00:00:00Z
60,Singapore,,,,,0,0,455,2,144,309,2020-03-22T00:00:00Z
61,Singapore,,,,,0,0,509,2,144,363,2020-03-23T00:00:00Z
62,Singapore,,,,,0,0,558,2,156,400,2020-03-24T00:00:00Z
63,Singapore,,,,,0,0,631,2,160,469,2020-03-25T00:00:00Z
64,Singapore,,,,,0,0,683,2,172,509,2020-03-26T00:00:00Z
65,Singapore,,,,,0,0,732,2,183,547,2020-03-27T00:00:00Z
66,Singapore,,,,,0,0,802,2,198,602,2020-03-28T00:00:00Z
67,Singapore,,,,,0,0,844,3,212,629,2020-03-29T00:00:00Z
