,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Slovakia,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Slovakia,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Slovakia,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Slovakia,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Slovakia,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Slovakia,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Slovakia,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Slovakia,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Slovakia,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Slovakia,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Slovakia,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Slovakia,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Slovakia,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Slovakia,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Slovakia,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Slovakia,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Slovakia,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Slovakia,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Slovakia,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Slovakia,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Slovakia,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Slovakia,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Slovakia,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Slovakia,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Slovakia,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Slovakia,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Slovakia,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Slovakia,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Slovakia,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Slovakia,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Slovakia,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Slovakia,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Slovakia,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Slovakia,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Slovakia,,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Slovakia,,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Slovakia,,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
37,Slovakia,,,,,0,0,0,0,0,0,2020-02-28T00:00:00Z
38,Slovakia,,,,,0,0,0,0,0,0,2020-02-29T00:00:00Z
39,Slovakia,,,,,0,0,0,0,0,0,2020-03-01T00:00:00Z
40,Slovakia,,,,,0,0,0,0,0,0,2020-03-02T00:00:00Z
41,Slovakia,,,,,0,0,0,0,0,0,2020-03-03T00:00:00Z
42,Slovakia,,,,,0,0,0,0,0,0,2020-03-04T00:00:00Z
43,Slovakia,,,,,0,0,0,0,0,0,2020-03-05T00:00:00Z
44,Slovakia,,,,,0,0,1,0,0,1,2020-03-06T00:00:00Z
45,Slovakia,,,,,0,0,1,0,0,1,2020-03-07T00:00:00Z
46,Slovakia,,,,,0,0,3,0,0,3,2020-03-08T00:00:00Z
47,Slovakia,,,,,0,0,3,0,0,3,2020-03-09T00:00:00Z
48,Slovakia,,,,,0,0,7,0,0,7,2020-03-10T00:00:00Z
49,Slovakia,,,,,0,0,10,0,0,10,2020-03-11T00:00:00Z
50,Slovakia,,,,,0,0,16,0,0,16,2020-03-12T00:00:00Z
51,Slovakia,,,,,0,0,32,0,0,32,2020-03-13T00:00:00Z
52,Slovakia,,,,,0,0,44,0,0,44,2020-03-14T00:00:00Z
53,Slovakia,,,,,0,0,54,0,0,54,2020-03-15T00:00:00Z
