,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Slovenia,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Slovenia,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Slovenia,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Slovenia,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Slovenia,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Slovenia,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Slovenia,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Slovenia,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Slovenia,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Slovenia,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Slovenia,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Slovenia,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Slovenia,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Slovenia,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Slovenia,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Slovenia,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Slovenia,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Slovenia,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Slovenia,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Slovenia,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Slovenia,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Slovenia,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Slovenia,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Slovenia,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Slovenia,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Slovenia,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Slovenia,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Slovenia,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Slovenia,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Slovenia,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Slovenia,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Slovenia,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Slovenia,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Slovenia,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Slovenia,,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Slovenia,,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Slovenia,,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
37,Slovenia,,,,,0,0,0,0,0,0,2020-02-28T00:00:00Z
38,Slovenia,,,,,0,0,0,0,0,0,2020-02-29T00:00:00Z
39,Slovenia,,,,,0,0,0,0,0,0,2020-03-01T00:00:00Z
40,Slovenia,,,,,0,0,0,0,0,0,2020-03-02T00:00:00Z
41,Slovenia,,,,,0,0,0,0,0,0,2020-03-03T00:00:00Z
42,Slovenia,,,,,0,0,0,0,0,0,2020-03-04T00:00:00Z
43,Slovenia,,,,,0,0,2,0,0,2,2020-03-05T00:00:00Z
44,Slovenia,,,,,0,0,7,0,0,7,2020-03-06T00:00:00Z
45,Slovenia,,,,,0,0,7,0,0,7,2020-03-07T00:00:00Z
46,Slovenia,,,,,0,0,16,0,0,16,2020-03-08T00:00:00Z
47,Slovenia,,,,,0,0,16,0,0,16,2020-03-09T00:00:00Z
48,Slovenia,,,,,0,0,31,0,0,31,2020-03-10T00:00:00Z
49,Slovenia,,,,,0,0,57,0,0,57,2020-03-11T00:00:00Z
50,Slovenia,,,,,0,0,89,0,0,89,2020-03-12T00:00:00Z
51,Slovenia,,,,,0,0,141,0,0,141,2020-03-13T00:00:00Z
52,Slovenia,,,,,0,0,181,1,0,180,2020-03-14T00:00:00Z
53,Slovenia,,,,,0,0,219,1,0,218,2020-03-15T00:00:00Z
54,Slovenia,,,,,0,0,253,1,0,252,2020-03-16T00:00:00Z
55,Slovenia,,,,,0,0,275,1,0,274,2020-03-17T00:00:00Z
56,Slovenia,,,,,0,0,275,1,0,274,2020-03-18T00:00:00Z
57,Slovenia,,,,,0,0,286,1,0,285,2020-03-19T00:00:00Z
58,Slovenia,,,,,0,0,341,1,0,340,2020-03-20T00:00:00Z
59,Slovenia,,,,,0,0,383,1,0,382,2020-03-21T00:00:00Z
60,Slovenia,,,,,0,0,414,2,0,412,2020-03-22T00:00:00Z
61,Slovenia,,,,,0,0,442,3,0,439,2020-03-23T00:00:00Z
62,Slovenia,,,,,0,0,480,4,0,476,2020-03-24T00:00:00Z
63,Slovenia,,,,,0,0,528,5,10,513,2020-03-25T00:00:00Z
64,Slovenia,,,,,0,0,562,6,10,546,2020-03-26T00:00:00Z
65,Slovenia,,,,,0,0,632,9,10,613,2020-03-27T00:00:00Z
66,Slovenia,,,,,0,0,684,9,10,665,2020-03-28T00:00:00Z
67,Slovenia,,,,,0,0,730,11,10,709,2020-03-29T00:00:00Z
68,Slovenia,,,,,0,0,756,11,10,735,2020-03-30T00:00:00Z
69,Slovenia,,,,,0,0,802,15,10,777,2020-03-31T00:00:00Z
70,Slovenia,,,,,0,0,841,15,10,816,2020-04-01T00:00:00Z
71,Slovenia,,,,,0,0,897,17,70,810,2020-04-02T00:00:00Z
72,Slovenia,,,,,0,0,934,20,70,844,2020-04-03T00:00:00Z
73,Slovenia,,,,,0,0,977,22,79,876,2020-04-04T00:00:00Z
74,Slovenia,,,,,0,0,997,28,79,890,2020-04-05T00:00:00Z
75,Slovenia,,,,,0,0,1021,30,102,889,2020-04-06T00:00:00Z
76,Slovenia,,,,,0,0,1059,36,102,921,2020-04-07T00:00:00Z
77,Slovenia,,,,,0,0,1091,40,120,931,2020-04-08T00:00:00Z
78,Slovenia,,,,,0,0,1124,43,128,953,2020-04-09T00:00:00Z
79,Slovenia,,,,,0,0,1160,45,137,978,2020-04-10T00:00:00Z
80,Slovenia,,,,,0,0,1188,50,148,990,2020-04-11T00:00:00Z
81,Slovenia,,,,,0,0,1205,53,150,1002,2020-04-12T00:00:00Z
82,Slovenia,,,,,0,0,1212,55,152,1005,2020-04-13T00:00:00Z
83,Slovenia,,,,,0,0,1220,56,152,1012,2020-04-14T00:00:00Z
84,Slovenia,,,,,0,0,1248,61,165,1022,2020-04-15T00:00:00Z
85,Slovenia,,,,,0,0,1268,61,174,1033,2020-04-16T00:00:00Z
86,Slovenia,,,,,0,0,1304,66,174,1064,2020-04-17T00:00:00Z
87,Slovenia,,,,,0,0,1317,70,190,1057,2020-04-18T00:00:00Z
88,Slovenia,,,,,0,0,1330,74,192,1064,2020-04-19T00:00:00Z
89,Slovenia,,,,,0,0,1335,77,193,1065,2020-04-20T00:00:00Z
90,Slovenia,,,,,0,0,1344,77,197,1070,2020-04-21T00:00:00Z
91,Slovenia,,,,,0,0,1353,79,205,1069,2020-04-22T00:00:00Z
92,Slovenia,,,,,0,0,1366,79,211,1076,2020-04-23T00:00:00Z
93,Slovenia,,,,,0,0,1373,80,211,1082,2020-04-24T00:00:00Z
94,Slovenia,,,,,0,0,1388,81,219,1088,2020-04-25T00:00:00Z
95,Slovenia,,,,,0,0,1396,82,221,1093,2020-04-26T00:00:00Z
96,Slovenia,,,,,0,0,1402,83,221,1098,2020-04-27T00:00:00Z
97,Slovenia,,,,,0,0,1408,86,223,1099,2020-04-28T00:00:00Z
98,Slovenia,,,,,0,0,1418,89,230,1099,2020-04-29T00:00:00Z
99,Slovenia,,,,,0,0,1429,91,233,1105,2020-04-30T00:00:00Z
100,Slovenia,,,,,0,0,1434,92,233,1109,2020-05-01T00:00:00Z
101,Slovenia,,,,,0,0,1439,94,239,1106,2020-05-02T00:00:00Z
102,Slovenia,,,,,0,0,1439,96,241,1102,2020-05-03T00:00:00Z
103,Slovenia,,,,,0,0,1439,97,241,1101,2020-05-04T00:00:00Z
104,Slovenia,,,,,0,0,1445,98,244,1103,2020-05-05T00:00:00Z
105,Slovenia,,,,,0,0,1448,99,246,1103,2020-05-06T00:00:00Z
106,Slovenia,,,,,0,0,1449,99,247,1103,2020-05-07T00:00:00Z
107,Slovenia,,,,,0,0,1450,100,252,1098,2020-05-08T00:00:00Z
108,Slovenia,,,,,0,0,1454,101,255,1098,2020-05-09T00:00:00Z
109,Slovenia,,,,,0,0,1457,102,256,1099,2020-05-10T00:00:00Z
110,Slovenia,,,,,0,0,1460,102,256,1102,2020-05-11T00:00:00Z
111,Slovenia,,,,,0,0,1461,102,259,1100,2020-05-12T00:00:00Z
112,Slovenia,,,,,0,0,1463,103,260,1100,2020-05-13T00:00:00Z
113,Slovenia,,,,,0,0,1464,103,267,1094,2020-05-14T00:00:00Z
114,Slovenia,,,,,0,0,1465,103,270,1092,2020-05-15T00:00:00Z
115,Slovenia,,,,,0,0,1465,103,272,1090,2020-05-16T00:00:00Z
116,Slovenia,,,,,0,0,1466,104,273,1089,2020-05-17T00:00:00Z
117,Slovenia,,,,,0,0,1466,104,1335,27,2020-05-18T00:00:00Z
118,Slovenia,,,,,0,0,1467,104,1338,25,2020-05-19T00:00:00Z
119,Slovenia,,,,,0,0,1468,105,1340,23,2020-05-20T00:00:00Z
120,Slovenia,,,,,0,0,1468,106,1340,22,2020-05-21T00:00:00Z
121,Slovenia,,,,,0,0,1468,106,1340,22,2020-05-22T00:00:00Z
122,Slovenia,,,,,0,0,1468,106,1340,22,2020-05-23T00:00:00Z
123,Slovenia,,,,,0,0,1468,107,1340,21,2020-05-24T00:00:00Z
124,Slovenia,,,,,0,0,1469,107,1346,16,2020-05-25T00:00:00Z
125,Slovenia,,,,,0,0,1469,108,1346,15,2020-05-26T00:00:00Z
126,Slovenia,,,,,0,0,1471,108,1354,9,2020-05-27T00:00:00Z
127,Slovenia,,,,,0,0,1473,108,1356,9,2020-05-28T00:00:00Z
128,Slovenia,,,,,0,0,1473,108,1357,8,2020-05-29T00:00:00Z
129,Slovenia,,,,,0,0,1473,108,1357,8,2020-05-30T00:00:00Z
130,Slovenia,,,,,0,0,1473,108,1358,7,2020-05-31T00:00:00Z
131,Slovenia,,,,,0,0,1473,109,1358,6,2020-06-01T00:00:00Z
132,Slovenia,,,,,0,0,1475,109,1358,8,2020-06-02T00:00:00Z
133,Slovenia,,,,,0,0,1477,109,1358,10,2020-06-03T00:00:00Z
134,Slovenia,,,,,0,0,1477,109,1359,9,2020-06-04T00:00:00Z
135,Slovenia,,,,,0,0,1479,109,1359,11,2020-06-05T00:00:00Z
136,Slovenia,,,,,0,0,1484,109,1359,16,2020-06-06T00:00:00Z
137,Slovenia,,,,,0,0,1485,109,1359,17,2020-06-07T00:00:00Z
138,Slovenia,,,,,0,0,1485,109,1359,17,2020-06-08T00:00:00Z
139,Slovenia,,,,,0,0,1486,109,1359,18,2020-06-09T00:00:00Z
140,Slovenia,,,,,0,0,1488,109,1359,20,2020-06-10T00:00:00Z
141,Slovenia,,,,,0,0,1488,109,1359,20,2020-06-11T00:00:00Z
142,Slovenia,,,,,0,0,1490,109,1359,22,2020-06-12T00:00:00Z
143,Slovenia,,,,,0,0,1492,109,1359,24,2020-06-13T00:00:00Z
144,Slovenia,,,,,0,0,1495,109,1359,27,2020-06-14T00:00:00Z
145,Slovenia,,,,,0,0,1496,109,1359,28,2020-06-15T00:00:00Z
146,Slovenia,,,,,0,0,1499,109,1359,31,2020-06-16T00:00:00Z
147,Slovenia,,,,,0,0,1503,109,1359,35,2020-06-17T00:00:00Z
148,Slovenia,,,,,0,0,1511,109,1359,43,2020-06-18T00:00:00Z
149,Slovenia,,,,,0,0,1513,109,1359,45,2020-06-19T00:00:00Z
150,Slovenia,,,,,0,0,1519,109,1359,51,2020-06-20T00:00:00Z
151,Slovenia,,,,,0,0,1520,109,1376,35,2020-06-21T00:00:00Z
152,Slovenia,,,,,0,0,1521,109,1376,36,2020-06-22T00:00:00Z
153,Slovenia,,,,,0,0,1534,109,1376,49,2020-06-23T00:00:00Z
154,Slovenia,,,,,0,0,1541,109,1376,56,2020-06-24T00:00:00Z
155,Slovenia,,,,,0,0,1547,109,1376,62,2020-06-25T00:00:00Z
156,Slovenia,,,,,0,0,1558,109,1376,73,2020-06-26T00:00:00Z
157,Slovenia,,,,,0,0,1572,109,1376,87,2020-06-27T00:00:00Z
158,Slovenia,,,,,0,0,1581,111,1384,86,2020-06-28T00:00:00Z
159,Slovenia,,,,,0,0,1585,111,1384,90,2020-06-29T00:00:00Z
160,Slovenia,,,,,0,0,1600,111,1384,105,2020-06-30T00:00:00Z
161,Slovenia,,,,,0,0,1613,111,1384,118,2020-07-01T00:00:00Z
162,Slovenia,,,,,0,0,1634,111,1384,139,2020-07-02T00:00:00Z
163,Slovenia,,,,,0,0,1650,111,1384,155,2020-07-03T00:00:00Z
164,Slovenia,,,,,0,0,1679,111,1384,184,2020-07-04T00:00:00Z
165,Slovenia,,,,,0,0,1700,111,1384,205,2020-07-05T00:00:00Z
166,Slovenia,,,,,0,0,1716,111,1384,221,2020-07-06T00:00:00Z
167,Slovenia,,,,,0,0,1739,111,1423,205,2020-07-07T00:00:00Z
168,Slovenia,,,,,0,0,1763,111,1429,223,2020-07-08T00:00:00Z
169,Slovenia,,,,,0,0,1776,111,1429,236,2020-07-09T00:00:00Z
170,Slovenia,,,,,0,0,1793,111,1429,253,2020-07-10T00:00:00Z
171,Slovenia,,,,,0,0,1827,111,1429,287,2020-07-11T00:00:00Z
172,Slovenia,,,,,0,0,1841,111,1469,261,2020-07-12T00:00:00Z
173,Slovenia,,,,,0,0,1849,111,1473,265,2020-07-13T00:00:00Z
174,Slovenia,,,,,0,0,1859,111,1488,260,2020-07-14T00:00:00Z
175,Slovenia,,,,,0,0,1878,111,1501,266,2020-07-15T00:00:00Z
176,Slovenia,,,,,0,0,1897,111,1522,264,2020-07-16T00:00:00Z
177,Slovenia,,,,,0,0,1916,111,1522,283,2020-07-17T00:00:00Z
178,Slovenia,,,,,0,0,1940,111,1568,261,2020-07-18T00:00:00Z
179,Slovenia,,,,,0,0,1946,112,1568,266,2020-07-19T00:00:00Z
180,Slovenia,,,,,0,0,1953,113,1603,237,2020-07-20T00:00:00Z
181,Slovenia,,,,,0,0,1977,114,1625,238,2020-07-21T00:00:00Z
182,Slovenia,,,,,0,0,2006,115,1648,243,2020-07-22T00:00:00Z
183,Slovenia,,,,,0,0,2033,115,1661,257,2020-07-23T00:00:00Z
184,Slovenia,,,,,0,0,2052,115,1678,259,2020-07-24T00:00:00Z
185,Slovenia,,,,,0,0,2066,116,1678,272,2020-07-25T00:00:00Z
186,Slovenia,,,,,0,0,2082,116,1678,288,2020-07-26T00:00:00Z
187,Slovenia,,,,,0,0,2087,116,1733,238,2020-07-27T00:00:00Z
188,Slovenia,,,,,0,0,2101,117,1742,242,2020-07-28T00:00:00Z
189,Slovenia,,,,,0,0,2115,117,1761,237,2020-07-29T00:00:00Z
190,Slovenia,,,,,0,0,2139,117,1780,242,2020-07-30T00:00:00Z
191,Slovenia,,,,,0,0,2156,119,1797,240,2020-07-31T00:00:00Z
192,Slovenia,,,,,0,0,2171,119,1821,231,2020-08-01T00:00:00Z
193,Slovenia,,,,,0,0,2180,120,1826,234,2020-08-02T00:00:00Z
194,Slovenia,,,,,0,0,2181,122,1831,228,2020-08-03T00:00:00Z
195,Slovenia,,,,,0,0,2190,123,1854,213,2020-08-04T00:00:00Z
196,Slovenia,,,,,0,0,2208,124,1884,200,2020-08-05T00:00:00Z
197,Slovenia,,,,,0,0,2223,125,1909,189,2020-08-06T00:00:00Z
198,Slovenia,,,,,0,0,2233,125,1927,181,2020-08-07T00:00:00Z
199,Slovenia,,,,,0,0,2247,126,1927,194,2020-08-08T00:00:00Z
200,Slovenia,,,,,0,0,2249,127,1927,195,2020-08-09T00:00:00Z
201,Slovenia,,,,,0,0,2255,128,1960,167,2020-08-10T00:00:00Z
202,Slovenia,,,,,0,0,2272,129,1960,183,2020-08-11T00:00:00Z
203,Slovenia,,,,,0,0,2303,129,1960,214,2020-08-12T00:00:00Z
204,Slovenia,,,,,0,0,2332,129,1960,243,2020-08-13T00:00:00Z
205,Slovenia,,,,,0,0,2369,129,2027,213,2020-08-14T00:00:00Z
206,Slovenia,,,,,0,0,2401,129,2042,230,2020-08-15T00:00:00Z
207,Slovenia,,,,,0,0,2416,129,2051,236,2020-08-16T00:00:00Z
208,Slovenia,,,,,0,0,2429,129,2052,248,2020-08-17T00:00:00Z
209,Slovenia,,,,,0,0,2456,129,2052,275,2020-08-18T00:00:00Z
210,Slovenia,,,,,0,0,2493,129,2079,285,2020-08-19T00:00:00Z
211,Slovenia,,,,,0,0,2536,129,2079,328,2020-08-20T00:00:00Z
212,Slovenia,,,,,0,0,2574,130,2079,365,2020-08-21T00:00:00Z
213,Slovenia,,,,,0,0,2617,131,2079,407,2020-08-22T00:00:00Z
214,Slovenia,,,,,0,0,2651,131,2079,441,2020-08-23T00:00:00Z
215,Slovenia,,,,,0,0,2665,133,2122,410,2020-08-24T00:00:00Z
216,Slovenia,,,,,0,0,2686,133,2139,414,2020-08-25T00:00:00Z
217,Slovenia,,,,,0,0,2722,133,2170,419,2020-08-26T00:00:00Z
218,Slovenia,,,,,0,0,2755,133,2199,423,2020-08-27T00:00:00Z
219,Slovenia,,,,,0,0,2797,133,2236,428,2020-08-28T00:00:00Z
220,Slovenia,,,,,0,0,2834,133,2268,433,2020-08-29T00:00:00Z
221,Slovenia,,,,,0,0,2865,133,2283,449,2020-08-30T00:00:00Z
222,Slovenia,,,,,0,0,2883,133,2296,454,2020-08-31T00:00:00Z
223,Slovenia,,,,,0,0,2924,133,2323,468,2020-09-01T00:00:00Z
224,Slovenia,,,,,0,0,2979,134,2359,486,2020-09-02T00:00:00Z
225,Slovenia,,,,,0,0,3032,134,2402,496,2020-09-03T00:00:00Z
226,Slovenia,,,,,0,0,3079,134,2440,505,2020-09-04T00:00:00Z
227,Slovenia,,,,,0,0,3122,135,2483,504,2020-09-05T00:00:00Z
228,Slovenia,,,,,0,0,3165,135,2483,547,2020-09-06T00:00:00Z
229,Slovenia,,,,,0,0,3190,135,2530,525,2020-09-07T00:00:00Z
230,Slovenia,,,,,0,0,3232,135,2533,564,2020-09-08T00:00:00Z
231,Slovenia,,,,,0,0,3312,135,2587,590,2020-09-09T00:00:00Z
232,Slovenia,,,,,0,0,3389,135,2620,634,2020-09-10T00:00:00Z
233,Slovenia,,,,,0,0,3497,135,2662,700,2020-09-11T00:00:00Z
234,Slovenia,,,,,0,0,3603,135,2699,769,2020-09-12T00:00:00Z
235,Slovenia,,,,,0,0,3702,135,2730,837,2020-09-13T00:00:00Z
236,Slovenia,,,,,0,0,3749,135,2730,884,2020-09-14T00:00:00Z
237,Slovenia,,,,,0,0,3831,135,2789,907,2020-09-15T00:00:00Z
238,Slovenia,,,,,0,0,3954,135,2844,975,2020-09-16T00:00:00Z
239,Slovenia,,,,,0,0,4058,136,2897,1025,2020-09-17T00:00:00Z
240,Slovenia,,,,,0,0,4195,140,2939,1116,2020-09-18T00:00:00Z
241,Slovenia,,,,,0,0,4309,141,2981,1187,2020-09-19T00:00:00Z
242,Slovenia,,,,,0,0,4420,142,3023,1255,2020-09-20T00:00:00Z
243,Slovenia,,,,,0,0,4470,142,3048,1280,2020-09-21T00:00:00Z
244,Slovenia,,,,,0,0,4558,142,3048,1368,2020-09-22T00:00:00Z
245,Slovenia,,,,,0,0,4694,143,3168,1383,2020-09-23T00:00:00Z
246,Slovenia,,,,,0,0,4816,145,3245,1426,2020-09-24T00:00:00Z
247,Slovenia,,,,,0,0,5007,145,3353,1509,2020-09-25T00:00:00Z
248,Slovenia,,,,,0,0,5191,146,3457,1588,2020-09-26T00:00:00Z
249,Slovenia,,,,,0,0,5350,147,3555,1648,2020-09-27T00:00:00Z
250,Slovenia,,,,,0,0,5388,149,3600,1639,2020-09-28T00:00:00Z
251,Slovenia,,,,,0,0,5487,149,3682,1656,2020-09-29T00:00:00Z
252,Slovenia,,,,,0,0,5690,150,3804,1736,2020-09-30T00:00:00Z
253,Slovenia,,,,,0,0,5865,152,3906,1807,2020-10-01T00:00:00Z
254,Slovenia,,,,,0,0,6103,154,4041,1908,2020-10-02T00:00:00Z
255,Slovenia,,,,,0,0,6330,155,4041,2134,2020-10-03T00:00:00Z
256,Slovenia,,,,,0,0,6498,155,4265,2078,2020-10-04T00:00:00Z
257,Slovenia,,,,,0,0,6673,156,4265,2252,2020-10-05T00:00:00Z
258,Slovenia,,,,,0,0,6764,159,4399,2206,2020-10-06T00:00:00Z
259,Slovenia,,,,,0,0,7120,159,4535,2426,2020-10-07T00:00:00Z
260,Slovenia,,,,,0,0,7507,160,4655,2692,2020-10-08T00:00:00Z
261,Slovenia,,,,,0,0,7872,165,4842,2865,2020-10-09T00:00:00Z
262,Slovenia,,,,,0,0,8252,167,5024,3061,2020-10-10T00:00:00Z
263,Slovenia,,,,,0,0,8663,167,5182,3314,2020-10-11T00:00:00Z
264,Slovenia,,,,,0,0,8832,169,5219,3444,2020-10-12T00:00:00Z
265,Slovenia,,,,,0,0,9231,173,5314,3744,2020-10-13T00:00:00Z
266,Slovenia,,,,,0,0,9938,175,5515,4248,2020-10-14T00:00:00Z
267,Slovenia,,,,,0,0,10683,176,5689,4818,2020-10-15T00:00:00Z
268,Slovenia,,,,,0,0,11517,180,5924,5413,2020-10-16T00:00:00Z
269,Slovenia,,,,,0,0,12416,184,6148,6084,2020-10-17T00:00:00Z
270,Slovenia,,,,,0,0,13142,188,6313,6641,2020-10-18T00:00:00Z
271,Slovenia,,,,,0,0,13679,190,6385,7104,2020-10-19T00:00:00Z
272,Slovenia,,,,,0,0,14473,192,6572,7709,2020-10-20T00:00:00Z
273,Slovenia,,,,,0,0,15982,200,6922,8860,2020-10-21T00:00:00Z
274,Slovenia,,,,,0,0,17646,211,7299,10136,2020-10-22T00:00:00Z
275,Slovenia,,,,,0,0,19307,214,7659,11434,2020-10-23T00:00:00Z
276,Slovenia,,,,,0,0,21274,235,8018,13021,2020-10-24T00:00:00Z
277,Slovenia,,,,,0,0,22950,240,8424,14286,2020-10-25T00:00:00Z
278,Slovenia,,,,,0,0,24080,251,8582,15247,2020-10-26T00:00:00Z
279,Slovenia,,,,,0,0,25603,264,8968,16371,2020-10-27T00:00:00Z
280,Slovenia,,,,,0,0,28215,278,9667,18270,2020-10-28T00:00:00Z
281,Slovenia,,,,,0,0,30705,292,10401,20012,2020-10-29T00:00:00Z
282,Slovenia,,,,,0,0,32503,315,11208,20980,2020-10-30T00:00:00Z
283,Slovenia,,,,,0,0,34307,338,12091,21878,2020-10-31T00:00:00Z
284,Slovenia,,,,,0,0,35649,363,12785,22501,2020-11-01T00:00:00Z
285,Slovenia,,,,,0,0,36206,388,13297,22521,2020-11-02T00:00:00Z
286,Slovenia,,,,,0,0,37382,412,14074,22896,2020-11-03T00:00:00Z
287,Slovenia,,,,,0,0,39408,441,15550,23417,2020-11-04T00:00:00Z
288,Slovenia,,,,,0,0,41094,471,17190,23433,2020-11-05T00:00:00Z
289,Slovenia,,,,,0,0,42658,497,18825,23336,2020-11-06T00:00:00Z
290,Slovenia,,,,,0,0,44270,531,20767,22972,2020-11-07T00:00:00Z
291,Slovenia,,,,,0,0,45161,554,22443,22164,2020-11-08T00:00:00Z
292,Slovenia,,,,,0,0,45625,578,23533,21514,2020-11-09T00:00:00Z
293,Slovenia,,,,,0,0,46717,605,25007,21105,2020-11-10T00:00:00Z
294,Slovenia,,,,,0,0,48939,645,27577,20717,2020-11-11T00:00:00Z
295,Slovenia,,,,,0,0,50870,686,30027,20157,2020-11-12T00:00:00Z
296,Slovenia,,,,,0,0,52385,724,31792,19869,2020-11-13T00:00:00Z
297,Slovenia,,,,,0,0,54122,765,33548,19809,2020-11-14T00:00:00Z
298,Slovenia,,,,,0,0,55042,797,34864,19381,2020-11-15T00:00:00Z
299,Slovenia,,,,,0,0,55544,831,35387,19326,2020-11-16T00:00:00Z
300,Slovenia,,,,,0,0,56937,876,36519,19542,2020-11-17T00:00:00Z
301,Slovenia,,,,,0,0,58964,919,38507,19538,2020-11-18T00:00:00Z
302,Slovenia,,,,,0,0,61034,964,40153,19917,2020-11-19T00:00:00Z
303,Slovenia,,,,,0,0,62580,995,41691,19894,2020-11-20T00:00:00Z
304,Slovenia,,,,,0,0,64284,1026,43272,19986,2020-11-21T00:00:00Z
305,Slovenia,,,,,0,0,65308,1052,44137,20119,2020-11-22T00:00:00Z
306,Slovenia,,,,,0,0,65778,1097,44558,20123,2020-11-23T00:00:00Z
307,Slovenia,,,,,0,0,67080,1156,45587,20337,2020-11-24T00:00:00Z
308,Slovenia,,,,,0,0,69306,1199,47770,20337,2020-11-25T00:00:00Z
309,Slovenia,,,,,0,0,71073,1245,49654,20174,2020-11-26T00:00:00Z
310,Slovenia,,,,,0,0,72674,1293,51121,20260,2020-11-27T00:00:00Z
311,Slovenia,,,,,0,0,74257,1336,52814,20107,2020-11-28T00:00:00Z
312,Slovenia,,,,,0,0,75381,1384,53687,20310,2020-11-29T00:00:00Z
313,Slovenia,,,,,0,0,75814,1435,54138,20241,2020-11-30T00:00:00Z
314,Slovenia,,,,,0,0,77135,1490,55476,20169,2020-12-01T00:00:00Z
315,Slovenia,,,,,0,0,79566,1547,57447,20572,2020-12-02T00:00:00Z
316,Slovenia,,,,,0,0,81349,1592,59469,20288,2020-12-03T00:00:00Z
317,Slovenia,,,,,0,0,83133,1653,60957,20523,2020-12-04T00:00:00Z
318,Slovenia,,,,,0,0,84775,1700,62600,20475,2020-12-05T00:00:00Z
319,Slovenia,,,,,0,0,85805,1744,63580,20481,2020-12-06T00:00:00Z
320,Slovenia,,,,,0,0,86288,1796,63999,20493,2020-12-07T00:00:00Z
321,Slovenia,,,,,0,0,87936,1862,65240,20834,2020-12-08T00:00:00Z
322,Slovenia,,,,,0,0,90075,1900,67437,20738,2020-12-09T00:00:00Z
323,Slovenia,,,,,0,0,91922,1949,69170,20803,2020-12-10T00:00:00Z
324,Slovenia,,,,,0,0,93737,1998,70733,21006,2020-12-11T00:00:00Z
325,Slovenia,,,,,0,0,95481,2041,72290,21150,2020-12-12T00:00:00Z
326,Slovenia,,,,,0,0,96314,2063,73377,20874,2020-12-13T00:00:00Z
327,Slovenia,,,,,0,0,96745,2107,73760,20878,2020-12-14T00:00:00Z
328,Slovenia,,,,,0,0,98281,2149,75017,21115,2020-12-15T00:00:00Z
329,Slovenia,,,,,0,0,100401,2190,77453,20758,2020-12-16T00:00:00Z
