,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Spain,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Spain,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Spain,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Spain,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Spain,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Spain,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Spain,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Spain,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Spain,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Spain,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Spain,,,,,0,0,1,0,0,1,2020-02-01T00:00:00Z
11,Spain,,,,,0,0,1,0,0,1,2020-02-02T00:00:00Z
12,Spain,,,,,0,0,1,0,0,1,2020-02-03T00:00:00Z
13,Spain,,,,,0,0,1,0,0,1,2020-02-04T00:00:00Z
14,Spain,,,,,0,0,1,0,0,1,2020-02-05T00:00:00Z
15,Spain,,,,,0,0,1,0,0,1,2020-02-06T00:00:00Z
16,Spain,,,,,0,0,1,0,0,1,2020-02-07T00:00:00Z
17,Spain,,,,,0,0,1,0,0,1,2020-02-08T00:00:00Z
18,Spain,,,,,0,0,2,0,0,2,2020-02-09T00:00:00Z
19,Spain,,,,,0,0,2,0,0,2,2020-02-10T00:00:00Z
20,Spain,,,,,0,0,2,0,0,2,2020-02-11T00:00:00Z
21,Spain,,,,,0,0,2,0,0,2,2020-02-12T00:00:00Z
22,Spain,,,,,0,0,2,0,0,2,2020-02-13T00:00:00Z
23,Spain,,,,,0,0,2,0,0,2,2020-02-14T00:00:00Z
24,Spain,,,,,0,0,2,0,2,0,2020-02-15T00:00:00Z
25,Spain,,,,,0,0,2,0,2,0,2020-02-16T00:00:00Z
26,Spain,,,,,0,0,2,0,2,0,2020-02-17T00:00:00Z
27,Spain,,,,,0,0,2,0,2,0,2020-02-18T00:00:00Z
28,Spain,,,,,0,0,2,0,2,0,2020-02-19T00:00:00Z
29,Spain,,,,,0,0,2,0,2,0,2020-02-20T00:00:00Z
30,Spain,,,,,0,0,2,0,2,0,2020-02-21T00:00:00Z
31,Spain,,,,,0,0,2,0,2,0,2020-02-22T00:00:00Z
32,Spain,,,,,0,0,2,0,2,0,2020-02-23T00:00:00Z
33,Spain,,,,,0,0,2,0,2,0,2020-02-24T00:00:00Z
34,Spain,,,,,0,0,6,0,2,4,2020-02-25T00:00:00Z
35,Spain,,,,,0,0,13,0,2,11,2020-02-26T00:00:00Z
36,Spain,,,,,0,0,15,0,2,13,2020-02-27T00:00:00Z
37,Spain,,,,,0,0,32,0,2,30,2020-02-28T00:00:00Z
38,Spain,,,,,0,0,45,0,2,43,2020-02-29T00:00:00Z
39,Spain,,,,,0,0,84,0,2,82,2020-03-01T00:00:00Z
40,Spain,,,,,0,0,120,0,2,118,2020-03-02T00:00:00Z
41,Spain,,,,,0,0,165,1,2,162,2020-03-03T00:00:00Z
42,Spain,,,,,0,0,222,2,2,218,2020-03-04T00:00:00Z
43,Spain,,,,,0,0,259,3,2,254,2020-03-05T00:00:00Z
44,Spain,,,,,0,0,400,5,2,393,2020-03-06T00:00:00Z
45,Spain,,,,,0,0,500,10,30,460,2020-03-07T00:00:00Z
46,Spain,,,,,0,0,673,17,30,626,2020-03-08T00:00:00Z
47,Spain,,,,,0,0,1073,28,32,1013,2020-03-09T00:00:00Z
48,Spain,,,,,0,0,1695,35,32,1628,2020-03-10T00:00:00Z
49,Spain,,,,,0,0,2277,54,183,2040,2020-03-11T00:00:00Z
50,Spain,,,,,0,0,2277,55,183,2039,2020-03-12T00:00:00Z
51,Spain,,,,,0,0,5232,133,193,4906,2020-03-13T00:00:00Z
52,Spain,,,,,0,0,6391,195,517,5679,2020-03-14T00:00:00Z
53,Spain,,,,,0,0,7798,289,517,6992,2020-03-15T00:00:00Z
54,Spain,,,,,0,0,9942,342,530,9070,2020-03-16T00:00:00Z
55,Spain,,,,,0,0,11748,533,1028,10187,2020-03-17T00:00:00Z
56,Spain,,,,,0,0,13910,623,1081,12206,2020-03-18T00:00:00Z
57,Spain,,,,,0,0,17963,830,1107,16026,2020-03-19T00:00:00Z
58,Spain,,,,,0,0,20410,1043,1588,17779,2020-03-20T00:00:00Z
59,Spain,,,,,0,0,25374,1375,2125,21874,2020-03-21T00:00:00Z
60,Spain,,,,,0,0,28768,1772,2575,24421,2020-03-22T00:00:00Z
61,Spain,,,,,0,0,35136,2311,2575,30250,2020-03-23T00:00:00Z
62,Spain,,,,,0,0,39885,2808,3794,33283,2020-03-24T00:00:00Z
63,Spain,,,,,0,0,49515,3647,5367,40501,2020-03-25T00:00:00Z
64,Spain,,,,,0,0,57786,4365,7015,46406,2020-03-26T00:00:00Z
65,Spain,,,,,0,0,65719,5138,9357,51224,2020-03-27T00:00:00Z
66,Spain,,,,,0,0,73235,5982,12285,54968,2020-03-28T00:00:00Z
67,Spain,,,,,0,0,80110,6803,14709,58598,2020-03-29T00:00:00Z
68,Spain,,,,,0,0,87956,7716,16780,63460,2020-03-30T00:00:00Z
69,Spain,,,,,0,0,95923,8464,19259,68200,2020-03-31T00:00:00Z
70,Spain,,,,,0,0,104118,9387,22647,72084,2020-04-01T00:00:00Z
71,Spain,,,,,0,0,112065,10348,26743,74974,2020-04-02T00:00:00Z
72,Spain,,,,,0,0,119199,11198,30513,77488,2020-04-03T00:00:00Z
73,Spain,,,,,0,0,126168,11947,34219,80002,2020-04-04T00:00:00Z
74,Spain,,,,,0,0,131646,12641,38080,80925,2020-04-05T00:00:00Z
75,Spain,,,,,0,0,136675,13341,40437,82897,2020-04-06T00:00:00Z
76,Spain,,,,,0,0,141942,14045,43208,84689,2020-04-07T00:00:00Z
77,Spain,,,,,0,0,148220,14792,48021,85407,2020-04-08T00:00:00Z
78,Spain,,,,,0,0,153222,15447,52165,85610,2020-04-09T00:00:00Z
79,Spain,,,,,0,0,158273,16081,55668,86524,2020-04-10T00:00:00Z
80,Spain,,,,,0,0,163027,16606,59109,87312,2020-04-11T00:00:00Z
81,Spain,,,,,0,0,166831,17209,62391,87231,2020-04-12T00:00:00Z
82,Spain,,,,,0,0,170099,17756,64727,87616,2020-04-13T00:00:00Z
83,Spain,,,,,0,0,172541,18056,67504,86981,2020-04-14T00:00:00Z
84,Spain,,,,,0,0,177644,18708,70853,88083,2020-04-15T00:00:00Z
85,Spain,,,,,0,0,184948,19315,74797,90836,2020-04-16T00:00:00Z
86,Spain,,,,,0,0,190839,20002,74797,96040,2020-04-17T00:00:00Z
87,Spain,,,,,0,0,191726,20043,74797,96886,2020-04-18T00:00:00Z
88,Spain,,,,,0,0,198674,20453,77357,100864,2020-04-19T00:00:00Z
89,Spain,,,,,0,0,200210,20852,80587,98771,2020-04-20T00:00:00Z
90,Spain,,,,,0,0,204178,21282,82514,100382,2020-04-21T00:00:00Z
91,Spain,,,,,0,0,208389,21717,85915,100757,2020-04-22T00:00:00Z
92,Spain,,,,,0,0,213024,22157,89250,101617,2020-04-23T00:00:00Z
93,Spain,,,,,0,0,202990,22524,92355,88111,2020-04-24T00:00:00Z
94,Spain,,,,,0,0,205905,22902,95708,87295,2020-04-25T00:00:00Z
95,Spain,,,,,0,0,207634,23190,98372,86072,2020-04-26T00:00:00Z
96,Spain,,,,,0,0,209465,23521,100875,85069,2020-04-27T00:00:00Z
97,Spain,,,,,0,0,210773,23822,102548,84403,2020-04-28T00:00:00Z
98,Spain,,,,,0,0,212917,24275,108947,79695,2020-04-29T00:00:00Z
99,Spain,,,,,0,0,213435,24543,112050,76842,2020-04-30T00:00:00Z
100,Spain,,,,,0,0,215216,24543,112050,78623,2020-05-01T00:00:00Z
101,Spain,,,,,0,0,216582,25100,117248,74234,2020-05-02T00:00:00Z
102,Spain,,,,,0,0,217466,25264,118902,73300,2020-05-03T00:00:00Z
103,Spain,,,,,0,0,218011,25428,121343,71240,2020-05-04T00:00:00Z
104,Spain,,,,,0,0,219329,25613,123486,70230,2020-05-05T00:00:00Z
105,Spain,,,,,0,0,220325,25857,126002,68466,2020-05-06T00:00:00Z
106,Spain,,,,,0,0,221447,26070,128511,66866,2020-05-07T00:00:00Z
107,Spain,,,,,0,0,222857,26299,131148,65410,2020-05-08T00:00:00Z
108,Spain,,,,,0,0,223578,26478,133952,63148,2020-05-09T00:00:00Z
109,Spain,,,,,0,0,224350,26621,136166,61563,2020-05-10T00:00:00Z
110,Spain,,,,,0,0,227436,26744,137139,63553,2020-05-11T00:00:00Z
111,Spain,,,,,0,0,228030,26920,138980,62130,2020-05-12T00:00:00Z
112,Spain,,,,,0,0,228691,27104,140823,60764,2020-05-13T00:00:00Z
113,Spain,,,,,0,0,229540,27321,143374,58845,2020-05-14T00:00:00Z
114,Spain,,,,,0,0,230183,27459,144783,57941,2020-05-15T00:00:00Z
115,Spain,,,,,0,0,230698,27563,146446,56689,2020-05-16T00:00:00Z
116,Spain,,,,,0,0,230698,27563,146446,56689,2020-05-17T00:00:00Z
117,Spain,,,,,0,0,231606,27709,150376,53521,2020-05-18T00:00:00Z
118,Spain,,,,,0,0,232037,27778,150376,53883,2020-05-19T00:00:00Z
119,Spain,,,,,0,0,232555,27888,150376,54291,2020-05-20T00:00:00Z
120,Spain,,,,,0,0,233037,27940,150376,54721,2020-05-21T00:00:00Z
121,Spain,,,,,0,0,234824,28628,150376,55820,2020-05-22T00:00:00Z
122,Spain,,,,,0,0,235290,28678,150376,56236,2020-05-23T00:00:00Z
123,Spain,,,,,0,0,235772,28752,150376,56644,2020-05-24T00:00:00Z
124,Spain,,,,,0,0,235400,26834,150376,58190,2020-05-25T00:00:00Z
125,Spain,,,,,0,0,236259,27117,150376,58766,2020-05-26T00:00:00Z
126,Spain,,,,,0,0,236259,27117,150376,58766,2020-05-27T00:00:00Z
127,Spain,,,,,0,0,237906,27119,150376,60411,2020-05-28T00:00:00Z
128,Spain,,,,,0,0,238564,27121,150376,61067,2020-05-29T00:00:00Z
129,Spain,,,,,0,0,239228,27125,150376,61727,2020-05-30T00:00:00Z
130,Spain,,,,,0,0,239479,27127,150376,61976,2020-05-31T00:00:00Z
131,Spain,,,,,0,0,239638,27127,150376,62135,2020-06-01T00:00:00Z
132,Spain,,,,,0,0,239932,27127,150376,62429,2020-06-02T00:00:00Z
133,Spain,,,,,0,0,240326,27128,150376,62822,2020-06-03T00:00:00Z
134,Spain,,,,,0,0,240660,27133,150376,63151,2020-06-04T00:00:00Z
135,Spain,,,,,0,0,240978,27134,150376,63468,2020-06-05T00:00:00Z
136,Spain,,,,,0,0,241310,27135,150376,63799,2020-06-06T00:00:00Z
137,Spain,,,,,0,0,241550,27136,150376,64038,2020-06-07T00:00:00Z
138,Spain,,,,,0,0,241717,27136,150376,64205,2020-06-08T00:00:00Z
139,Spain,,,,,0,0,241966,27136,150376,64454,2020-06-09T00:00:00Z
140,Spain,,,,,0,0,242280,27136,150376,64768,2020-06-10T00:00:00Z
141,Spain,,,,,0,0,242707,27136,150376,65195,2020-06-11T00:00:00Z
142,Spain,,,,,0,0,243209,27136,150376,65697,2020-06-12T00:00:00Z
143,Spain,,,,,0,0,243605,27136,150376,66093,2020-06-13T00:00:00Z
144,Spain,,,,,0,0,243928,27136,150376,66416,2020-06-14T00:00:00Z
145,Spain,,,,,0,0,244109,27136,150376,66597,2020-06-15T00:00:00Z
146,Spain,,,,,0,0,244328,27136,150376,66816,2020-06-16T00:00:00Z
147,Spain,,,,,0,0,244683,27136,150376,67171,2020-06-17T00:00:00Z
148,Spain,,,,,0,0,245268,27136,150376,67756,2020-06-18T00:00:00Z
149,Spain,,,,,0,0,245575,28315,150376,66884,2020-06-19T00:00:00Z
150,Spain,,,,,0,0,245938,28322,150376,67240,2020-06-20T00:00:00Z
151,Spain,,,,,0,0,246272,28323,150376,67573,2020-06-21T00:00:00Z
152,Spain,,,,,0,0,246504,28324,150376,67804,2020-06-22T00:00:00Z
153,Spain,,,,,0,0,246752,28325,150376,68051,2020-06-23T00:00:00Z
154,Spain,,,,,0,0,247086,28327,150376,68383,2020-06-24T00:00:00Z
155,Spain,,,,,0,0,247486,28330,150376,68780,2020-06-25T00:00:00Z
156,Spain,,,,,0,0,247905,28338,150376,69191,2020-06-26T00:00:00Z
157,Spain,,,,,0,0,248469,28341,150376,69752,2020-06-27T00:00:00Z
158,Spain,,,,,0,0,248770,28343,150376,70051,2020-06-28T00:00:00Z
159,Spain,,,,,0,0,248970,28346,150376,70248,2020-06-29T00:00:00Z
160,Spain,,,,,0,0,249271,28355,150376,70540,2020-06-30T00:00:00Z
161,Spain,,,,,0,0,249659,28364,150376,70919,2020-07-01T00:00:00Z
162,Spain,,,,,0,0,250103,28368,150376,71359,2020-07-02T00:00:00Z
163,Spain,,,,,0,0,250545,28385,150376,71784,2020-07-03T00:00:00Z
164,Spain,,,,,0,0,250545,28385,150376,71784,2020-07-04T00:00:00Z
165,Spain,,,,,0,0,250545,28385,150376,71784,2020-07-05T00:00:00Z
166,Spain,,,,,0,0,251789,28388,150376,73025,2020-07-06T00:00:00Z
167,Spain,,,,,0,0,252130,28392,150376,73362,2020-07-07T00:00:00Z
168,Spain,,,,,0,0,252513,28396,150376,73741,2020-07-08T00:00:00Z
169,Spain,,,,,0,0,253056,28401,150376,74279,2020-07-09T00:00:00Z
170,Spain,,,,,0,0,253908,28403,150376,75129,2020-07-10T00:00:00Z
171,Spain,,,,,0,0,253908,28403,150376,75129,2020-07-11T00:00:00Z
172,Spain,,,,,0,0,253908,28403,150376,75129,2020-07-12T00:00:00Z
173,Spain,,,,,0,0,255953,28406,150376,77171,2020-07-13T00:00:00Z
174,Spain,,,,,0,0,256619,28409,150376,77834,2020-07-14T00:00:00Z
175,Spain,,,,,0,0,257494,28413,150376,78705,2020-07-15T00:00:00Z
176,Spain,,,,,0,0,258855,28416,150376,80063,2020-07-16T00:00:00Z
177,Spain,,,,,0,0,260255,28420,150376,81459,2020-07-17T00:00:00Z
178,Spain,,,,,0,0,260255,28420,150376,81459,2020-07-18T00:00:00Z
179,Spain,,,,,0,0,260255,28420,150376,81459,2020-07-19T00:00:00Z
180,Spain,,,,,0,0,264836,28422,150376,86038,2020-07-20T00:00:00Z
181,Spain,,,,,0,0,266194,28424,150376,87394,2020-07-21T00:00:00Z
182,Spain,,,,,0,0,267551,28426,150376,88749,2020-07-22T00:00:00Z
183,Spain,,,,,0,0,270166,28429,150376,91361,2020-07-23T00:00:00Z
184,Spain,,,,,0,0,272421,28432,150376,93613,2020-07-24T00:00:00Z
185,Spain,,,,,0,0,272421,28432,150376,93613,2020-07-25T00:00:00Z
186,Spain,,,,,0,0,272421,28432,150376,93613,2020-07-26T00:00:00Z
187,Spain,,,,,0,0,278782,28434,150376,99972,2020-07-27T00:00:00Z
188,Spain,,,,,0,0,280610,28436,150376,101798,2020-07-28T00:00:00Z
189,Spain,,,,,0,0,282641,28441,150376,103824,2020-07-29T00:00:00Z
190,Spain,,,,,0,0,285430,28443,150376,106611,2020-07-30T00:00:00Z
191,Spain,,,,,0,0,288522,28445,150376,109701,2020-07-31T00:00:00Z
