,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Swaziland,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Swaziland,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Swaziland,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Swaziland,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Swaziland,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Swaziland,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Swaziland,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Swaziland,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Swaziland,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Swaziland,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Swaziland,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Swaziland,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Swaziland,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Swaziland,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Swaziland,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Swaziland,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Swaziland,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Swaziland,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Swaziland,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Swaziland,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Swaziland,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Swaziland,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Swaziland,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Swaziland,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Swaziland,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Swaziland,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Swaziland,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Swaziland,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Swaziland,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Swaziland,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Swaziland,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Swaziland,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Swaziland,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Swaziland,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Swaziland,,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Swaziland,,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Swaziland,,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
37,Swaziland,,,,,0,0,0,0,0,0,2020-02-28T00:00:00Z
38,Swaziland,,,,,0,0,0,0,0,0,2020-02-29T00:00:00Z
39,Swaziland,,,,,0,0,0,0,0,0,2020-03-01T00:00:00Z
40,Swaziland,,,,,0,0,0,0,0,0,2020-03-02T00:00:00Z
41,Swaziland,,,,,0,0,0,0,0,0,2020-03-03T00:00:00Z
42,Swaziland,,,,,0,0,0,0,0,0,2020-03-04T00:00:00Z
43,Swaziland,,,,,0,0,0,0,0,0,2020-03-05T00:00:00Z
44,Swaziland,,,,,0,0,0,0,0,0,2020-03-06T00:00:00Z
45,Swaziland,,,,,0,0,0,0,0,0,2020-03-07T00:00:00Z
46,Swaziland,,,,,0,0,0,0,0,0,2020-03-08T00:00:00Z
47,Swaziland,,,,,0,0,0,0,0,0,2020-03-09T00:00:00Z
48,Swaziland,,,,,0,0,0,0,0,0,2020-03-10T00:00:00Z
49,Swaziland,,,,,0,0,0,0,0,0,2020-03-11T00:00:00Z
50,Swaziland,,,,,0,0,0,0,0,0,2020-03-12T00:00:00Z
51,Swaziland,,,,,0,0,0,0,0,0,2020-03-13T00:00:00Z
52,Swaziland,,,,,0,0,1,0,0,1,2020-03-14T00:00:00Z
53,Swaziland,,,,,0,0,1,0,0,1,2020-03-15T00:00:00Z
54,Swaziland,,,,,0,0,1,0,0,1,2020-03-16T00:00:00Z
55,Swaziland,,,,,0,0,1,0,0,1,2020-03-17T00:00:00Z
56,Swaziland,,,,,0,0,1,0,0,1,2020-03-18T00:00:00Z
57,Swaziland,,,,,0,0,1,0,0,1,2020-03-19T00:00:00Z
58,Swaziland,,,,,0,0,1,0,0,1,2020-03-20T00:00:00Z
59,Swaziland,,,,,0,0,1,0,0,1,2020-03-21T00:00:00Z
60,Swaziland,,,,,0,0,4,0,0,4,2020-03-22T00:00:00Z
61,Swaziland,,,,,0,0,4,0,0,4,2020-03-23T00:00:00Z
62,Swaziland,,,,,0,0,4,0,0,4,2020-03-24T00:00:00Z
63,Swaziland,,,,,0,0,4,0,0,4,2020-03-25T00:00:00Z
64,Swaziland,,,,,0,0,6,0,0,6,2020-03-26T00:00:00Z
65,Swaziland,,,,,0,0,9,0,0,9,2020-03-27T00:00:00Z
66,Swaziland,,,,,0,0,9,0,0,9,2020-03-28T00:00:00Z
67,Swaziland,,,,,0,0,9,0,0,9,2020-03-29T00:00:00Z
68,Swaziland,,,,,0,0,9,0,0,9,2020-03-30T00:00:00Z
69,Swaziland,,,,,0,0,9,0,0,9,2020-03-31T00:00:00Z
70,Swaziland,,,,,0,0,9,0,0,9,2020-04-01T00:00:00Z
71,Swaziland,,,,,0,0,9,0,0,9,2020-04-02T00:00:00Z
72,Swaziland,,,,,0,0,9,0,0,9,2020-04-03T00:00:00Z
73,Swaziland,,,,,0,0,9,0,0,9,2020-04-04T00:00:00Z
74,Swaziland,,,,,0,0,9,0,0,9,2020-04-05T00:00:00Z
75,Swaziland,,,,,0,0,10,0,4,6,2020-04-06T00:00:00Z
76,Swaziland,,,,,0,0,10,0,4,6,2020-04-07T00:00:00Z
77,Swaziland,,,,,0,0,12,0,7,5,2020-04-08T00:00:00Z
78,Swaziland,,,,,0,0,12,0,7,5,2020-04-09T00:00:00Z
79,Swaziland,,,,,0,0,12,0,7,5,2020-04-10T00:00:00Z
