,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Sweden,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Sweden,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Sweden,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Sweden,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Sweden,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Sweden,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Sweden,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Sweden,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Sweden,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Sweden,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Sweden,,,,,0,0,1,0,0,1,2020-02-01T00:00:00Z
11,Sweden,,,,,0,0,1,0,0,1,2020-02-02T00:00:00Z
12,Sweden,,,,,0,0,1,0,0,1,2020-02-03T00:00:00Z
13,Sweden,,,,,0,0,1,0,0,1,2020-02-04T00:00:00Z
14,Sweden,,,,,0,0,1,0,0,1,2020-02-05T00:00:00Z
15,Sweden,,,,,0,0,1,0,0,1,2020-02-06T00:00:00Z
16,Sweden,,,,,0,0,1,0,0,1,2020-02-07T00:00:00Z
17,Sweden,,,,,0,0,1,0,0,1,2020-02-08T00:00:00Z
18,Sweden,,,,,0,0,1,0,0,1,2020-02-09T00:00:00Z
19,Sweden,,,,,0,0,1,0,0,1,2020-02-10T00:00:00Z
20,Sweden,,,,,0,0,1,0,0,1,2020-02-11T00:00:00Z
21,Sweden,,,,,0,0,1,0,0,1,2020-02-12T00:00:00Z
22,Sweden,,,,,0,0,1,0,0,1,2020-02-13T00:00:00Z
23,Sweden,,,,,0,0,1,0,0,1,2020-02-14T00:00:00Z
24,Sweden,,,,,0,0,1,0,0,1,2020-02-15T00:00:00Z
25,Sweden,,,,,0,0,1,0,0,1,2020-02-16T00:00:00Z
26,Sweden,,,,,0,0,1,0,0,1,2020-02-17T00:00:00Z
27,Sweden,,,,,0,0,1,0,0,1,2020-02-18T00:00:00Z
28,Sweden,,,,,0,0,1,0,0,1,2020-02-19T00:00:00Z
29,Sweden,,,,,0,0,1,0,0,1,2020-02-20T00:00:00Z
30,Sweden,,,,,0,0,1,0,0,1,2020-02-21T00:00:00Z
31,Sweden,,,,,0,0,1,0,0,1,2020-02-22T00:00:00Z
32,Sweden,,,,,0,0,1,0,0,1,2020-02-23T00:00:00Z
33,Sweden,,,,,0,0,1,0,0,1,2020-02-24T00:00:00Z
34,Sweden,,,,,0,0,1,0,0,1,2020-02-25T00:00:00Z
35,Sweden,,,,,0,0,2,0,0,2,2020-02-26T00:00:00Z
36,Sweden,,,,,0,0,3,0,0,3,2020-02-27T00:00:00Z
37,Sweden,,,,,0,0,11,0,0,11,2020-02-28T00:00:00Z
38,Sweden,,,,,0,0,14,0,0,14,2020-02-29T00:00:00Z
39,Sweden,,,,,0,0,14,0,0,14,2020-03-01T00:00:00Z
40,Sweden,,,,,0,0,19,0,0,19,2020-03-02T00:00:00Z
41,Sweden,,,,,0,0,32,0,0,32,2020-03-03T00:00:00Z
42,Sweden,,,,,0,0,62,0,0,62,2020-03-04T00:00:00Z
43,Sweden,,,,,0,0,87,0,0,87,2020-03-05T00:00:00Z
44,Sweden,,,,,0,0,146,0,0,146,2020-03-06T00:00:00Z
45,Sweden,,,,,0,0,179,0,0,179,2020-03-07T00:00:00Z
46,Sweden,,,,,0,0,225,0,0,225,2020-03-08T00:00:00Z
47,Sweden,,,,,0,0,326,0,0,326,2020-03-09T00:00:00Z
48,Sweden,,,,,0,0,424,1,0,423,2020-03-10T00:00:00Z
49,Sweden,,,,,0,0,620,1,0,619,2020-03-11T00:00:00Z
50,Sweden,,,,,0,0,771,2,0,769,2020-03-12T00:00:00Z
51,Sweden,,,,,0,0,923,3,0,920,2020-03-13T00:00:00Z
52,Sweden,,,,,0,0,994,5,0,989,2020-03-14T00:00:00Z
53,Sweden,,,,,0,0,1063,7,0,1056,2020-03-15T00:00:00Z
54,Sweden,,,,,0,0,1146,8,0,1138,2020-03-16T00:00:00Z
