,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
37,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-28T00:00:00Z
38,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-02-29T00:00:00Z
39,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-03-01T00:00:00Z
40,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-03-02T00:00:00Z
41,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-03-03T00:00:00Z
42,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-03-04T00:00:00Z
43,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-03-05T00:00:00Z
44,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-03-06T00:00:00Z
45,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-03-07T00:00:00Z
46,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-03-08T00:00:00Z
47,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-03-09T00:00:00Z
48,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-03-10T00:00:00Z
49,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-03-11T00:00:00Z
50,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-03-12T00:00:00Z
51,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-03-13T00:00:00Z
52,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-03-14T00:00:00Z
53,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-03-15T00:00:00Z
54,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-03-16T00:00:00Z
55,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-03-17T00:00:00Z
56,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-03-18T00:00:00Z
57,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-03-19T00:00:00Z
58,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-03-20T00:00:00Z
59,Syrian Arab Republic (Syria),,,,,0,0,0,0,0,0,2020-03-21T00:00:00Z
60,Syrian Arab Republic (Syria),,,,,0,0,1,0,0,1,2020-03-22T00:00:00Z
61,Syrian Arab Republic (Syria),,,,,0,0,1,0,0,1,2020-03-23T00:00:00Z
62,Syrian Arab Republic (Syria),,,,,0,0,1,0,0,1,2020-03-24T00:00:00Z
