,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,"Taiwan, Republic of China",,,,,0,0,1,0,0,1,2020-01-22T00:00:00Z
1,"Taiwan, Republic of China",,,,,0,0,1,0,0,1,2020-01-23T00:00:00Z
2,"Taiwan, Republic of China",,,,,0,0,3,0,0,3,2020-01-24T00:00:00Z
3,"Taiwan, Republic of China",,,,,0,0,3,0,0,3,2020-01-25T00:00:00Z
4,"Taiwan, Republic of China",,,,,0,0,4,0,0,4,2020-01-26T00:00:00Z
5,"Taiwan, Republic of China",,,,,0,0,5,0,0,5,2020-01-27T00:00:00Z
6,"Taiwan, Republic of China",,,,,0,0,8,0,0,8,2020-01-28T00:00:00Z
7,"Taiwan, Republic of China",,,,,0,0,8,0,0,8,2020-01-29T00:00:00Z
8,"Taiwan, Republic of China",,,,,0,0,9,0,0,9,2020-01-30T00:00:00Z
9,"Taiwan, Republic of China",,,,,0,0,10,0,0,10,2020-01-31T00:00:00Z
10,"Taiwan, Republic of China",,,,,0,0,10,0,0,10,2020-02-01T00:00:00Z
11,"Taiwan, Republic of China",,,,,0,0,10,0,0,10,2020-02-02T00:00:00Z
12,"Taiwan, Republic of China",,,,,0,0,10,0,0,10,2020-02-03T00:00:00Z
13,"Taiwan, Republic of China",,,,,0,0,11,0,0,11,2020-02-04T00:00:00Z
14,"Taiwan, Republic of China",,,,,0,0,11,0,0,11,2020-02-05T00:00:00Z
15,"Taiwan, Republic of China",,,,,0,0,16,0,1,15,2020-02-06T00:00:00Z
16,"Taiwan, Republic of China",,,,,0,0,16,0,1,15,2020-02-07T00:00:00Z
17,"Taiwan, Republic of China",,,,,0,0,17,0,1,16,2020-02-08T00:00:00Z
18,"Taiwan, Republic of China",,,,,0,0,18,0,1,17,2020-02-09T00:00:00Z
19,"Taiwan, Republic of China",,,,,0,0,18,0,1,17,2020-02-10T00:00:00Z
20,"Taiwan, Republic of China",,,,,0,0,18,0,1,17,2020-02-11T00:00:00Z
21,"Taiwan, Republic of China",,,,,0,0,18,0,1,17,2020-02-12T00:00:00Z
22,"Taiwan, Republic of China",,,,,0,0,18,0,1,17,2020-02-13T00:00:00Z
23,"Taiwan, Republic of China",,,,,0,0,18,0,2,16,2020-02-14T00:00:00Z
24,"Taiwan, Republic of China",,,,,0,0,18,0,2,16,2020-02-15T00:00:00Z
25,"Taiwan, Republic of China",,,,,0,0,20,1,2,17,2020-02-16T00:00:00Z
26,"Taiwan, Republic of China",,,,,0,0,22,1,2,19,2020-02-17T00:00:00Z
27,"Taiwan, Republic of China",,,,,0,0,22,1,2,19,2020-02-18T00:00:00Z
28,"Taiwan, Republic of China",,,,,0,0,23,1,2,20,2020-02-19T00:00:00Z
29,"Taiwan, Republic of China",,,,,0,0,24,1,2,21,2020-02-20T00:00:00Z
30,"Taiwan, Republic of China",,,,,0,0,26,1,2,23,2020-02-21T00:00:00Z
31,"Taiwan, Republic of China",,,,,0,0,26,1,2,23,2020-02-22T00:00:00Z
32,"Taiwan, Republic of China",,,,,0,0,28,1,2,25,2020-02-23T00:00:00Z
33,"Taiwan, Republic of China",,,,,0,0,30,1,5,24,2020-02-24T00:00:00Z
34,"Taiwan, Republic of China",,,,,0,0,31,1,5,25,2020-02-25T00:00:00Z
35,"Taiwan, Republic of China",,,,,0,0,32,1,5,26,2020-02-26T00:00:00Z
36,"Taiwan, Republic of China",,,,,0,0,32,1,5,26,2020-02-27T00:00:00Z
37,"Taiwan, Republic of China",,,,,0,0,34,1,6,27,2020-02-28T00:00:00Z
38,"Taiwan, Republic of China",,,,,0,0,39,1,9,29,2020-02-29T00:00:00Z
39,"Taiwan, Republic of China",,,,,0,0,40,1,9,30,2020-03-01T00:00:00Z
40,"Taiwan, Republic of China",,,,,0,0,41,1,12,28,2020-03-02T00:00:00Z
41,"Taiwan, Republic of China",,,,,0,0,42,1,12,29,2020-03-03T00:00:00Z
42,"Taiwan, Republic of China",,,,,0,0,42,1,12,29,2020-03-04T00:00:00Z
43,"Taiwan, Republic of China",,,,,0,0,44,1,12,31,2020-03-05T00:00:00Z
44,"Taiwan, Republic of China",,,,,0,0,45,1,12,32,2020-03-06T00:00:00Z
45,"Taiwan, Republic of China",,,,,0,0,45,1,12,32,2020-03-07T00:00:00Z
46,"Taiwan, Republic of China",,,,,0,0,45,1,13,31,2020-03-08T00:00:00Z
47,"Taiwan, Republic of China",,,,,0,0,45,1,15,29,2020-03-09T00:00:00Z
