,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Ukraine,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Ukraine,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Ukraine,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Ukraine,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Ukraine,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Ukraine,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Ukraine,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Ukraine,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Ukraine,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Ukraine,,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Ukraine,,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Ukraine,,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Ukraine,,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Ukraine,,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Ukraine,,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Ukraine,,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Ukraine,,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Ukraine,,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Ukraine,,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Ukraine,,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Ukraine,,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Ukraine,,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Ukraine,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Ukraine,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Ukraine,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Ukraine,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Ukraine,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Ukraine,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Ukraine,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Ukraine,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Ukraine,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Ukraine,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Ukraine,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Ukraine,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Ukraine,,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Ukraine,,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Ukraine,,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
37,Ukraine,,,,,0,0,0,0,0,0,2020-02-28T00:00:00Z
38,Ukraine,,,,,0,0,0,0,0,0,2020-02-29T00:00:00Z
39,Ukraine,,,,,0,0,0,0,0,0,2020-03-01T00:00:00Z
40,Ukraine,,,,,0,0,0,0,0,0,2020-03-02T00:00:00Z
41,Ukraine,,,,,0,0,1,0,0,1,2020-03-03T00:00:00Z
42,Ukraine,,,,,0,0,1,0,0,1,2020-03-04T00:00:00Z
43,Ukraine,,,,,0,0,1,0,0,1,2020-03-05T00:00:00Z
44,Ukraine,,,,,0,0,1,0,0,1,2020-03-06T00:00:00Z
45,Ukraine,,,,,0,0,1,0,0,1,2020-03-07T00:00:00Z
46,Ukraine,,,,,0,0,1,0,0,1,2020-03-08T00:00:00Z
47,Ukraine,,,,,0,0,1,0,0,1,2020-03-09T00:00:00Z
48,Ukraine,,,,,0,0,1,0,0,1,2020-03-10T00:00:00Z
49,Ukraine,,,,,0,0,1,0,0,1,2020-03-11T00:00:00Z
50,Ukraine,,,,,0,0,1,0,0,1,2020-03-12T00:00:00Z
51,Ukraine,,,,,0,0,3,1,0,2,2020-03-13T00:00:00Z
52,Ukraine,,,,,0,0,3,1,0,2,2020-03-14T00:00:00Z
53,Ukraine,,,,,0,0,3,1,0,2,2020-03-15T00:00:00Z
54,Ukraine,,,,,0,0,7,1,0,6,2020-03-16T00:00:00Z
55,Ukraine,,,,,0,0,14,2,0,12,2020-03-17T00:00:00Z
56,Ukraine,,,,,0,0,14,2,0,12,2020-03-18T00:00:00Z
57,Ukraine,,,,,0,0,16,2,0,14,2020-03-19T00:00:00Z
58,Ukraine,,,,,0,0,29,3,0,26,2020-03-20T00:00:00Z
59,Ukraine,,,,,0,0,47,3,1,43,2020-03-21T00:00:00Z
60,Ukraine,,,,,0,0,73,3,1,69,2020-03-22T00:00:00Z
61,Ukraine,,,,,0,0,73,3,1,69,2020-03-23T00:00:00Z
62,Ukraine,,,,,0,0,97,3,1,93,2020-03-24T00:00:00Z
63,Ukraine,,,,,0,0,145,5,1,139,2020-03-25T00:00:00Z
64,Ukraine,,,,,0,0,196,5,1,190,2020-03-26T00:00:00Z
65,Ukraine,,,,,0,0,310,5,5,300,2020-03-27T00:00:00Z
66,Ukraine,,,,,0,0,356,9,5,342,2020-03-28T00:00:00Z
67,Ukraine,,,,,0,0,475,10,6,459,2020-03-29T00:00:00Z
68,Ukraine,,,,,0,0,548,13,8,527,2020-03-30T00:00:00Z
69,Ukraine,,,,,0,0,645,17,10,618,2020-03-31T00:00:00Z
70,Ukraine,,,,,0,0,794,20,13,761,2020-04-01T00:00:00Z
71,Ukraine,,,,,0,0,897,22,19,856,2020-04-02T00:00:00Z
72,Ukraine,,,,,0,0,1072,27,22,1023,2020-04-03T00:00:00Z
73,Ukraine,,,,,0,0,1225,32,25,1168,2020-04-04T00:00:00Z
74,Ukraine,,,,,0,0,1308,37,28,1243,2020-04-05T00:00:00Z
75,Ukraine,,,,,0,0,1319,38,28,1253,2020-04-06T00:00:00Z
76,Ukraine,,,,,0,0,1462,45,28,1389,2020-04-07T00:00:00Z
77,Ukraine,,,,,0,0,1668,52,35,1581,2020-04-08T00:00:00Z
78,Ukraine,,,,,0,0,1892,57,45,1790,2020-04-09T00:00:00Z
79,Ukraine,,,,,0,0,2203,69,61,2073,2020-04-10T00:00:00Z
80,Ukraine,,,,,0,0,2511,73,79,2359,2020-04-11T00:00:00Z
81,Ukraine,,,,,0,0,2777,83,89,2605,2020-04-12T00:00:00Z
82,Ukraine,,,,,0,0,3102,93,97,2912,2020-04-13T00:00:00Z
83,Ukraine,,,,,0,0,3372,98,119,3155,2020-04-14T00:00:00Z
84,Ukraine,,,,,0,0,3764,108,143,3513,2020-04-15T00:00:00Z
85,Ukraine,,,,,0,0,4161,116,186,3859,2020-04-16T00:00:00Z
86,Ukraine,,,,,0,0,4662,125,246,4291,2020-04-17T00:00:00Z
87,Ukraine,,,,,0,0,5106,133,275,4698,2020-04-18T00:00:00Z
88,Ukraine,,,,,0,0,5449,141,347,4961,2020-04-19T00:00:00Z
89,Ukraine,,,,,0,0,5710,151,359,5200,2020-04-20T00:00:00Z
90,Ukraine,,,,,0,0,6125,161,367,5597,2020-04-21T00:00:00Z
91,Ukraine,,,,,0,0,6592,174,424,5994,2020-04-22T00:00:00Z
92,Ukraine,,,,,0,0,7170,187,504,6479,2020-04-23T00:00:00Z
93,Ukraine,,,,,0,0,7647,201,782,6664,2020-04-24T00:00:00Z
94,Ukraine,,,,,0,0,8125,201,782,7142,2020-04-25T00:00:00Z
95,Ukraine,,,,,0,0,8617,209,840,7568,2020-04-26T00:00:00Z
96,Ukraine,,,,,0,0,9009,220,864,7925,2020-04-27T00:00:00Z
97,Ukraine,,,,,0,0,9410,239,992,8179,2020-04-28T00:00:00Z
98,Ukraine,,,,,0,0,9866,250,1103,8513,2020-04-29T00:00:00Z
99,Ukraine,,,,,0,0,10406,261,1238,8907,2020-04-30T00:00:00Z
100,Ukraine,,,,,0,0,10861,272,1413,9176,2020-05-01T00:00:00Z
101,Ukraine,,,,,0,0,11411,279,1498,9634,2020-05-02T00:00:00Z
102,Ukraine,,,,,0,0,11913,288,1548,10077,2020-05-03T00:00:00Z
103,Ukraine,,,,,0,0,12331,303,1619,10409,2020-05-04T00:00:00Z
104,Ukraine,,,,,0,0,12697,316,1875,10506,2020-05-05T00:00:00Z
105,Ukraine,,,,,0,0,13184,327,2097,10760,2020-05-06T00:00:00Z
106,Ukraine,,,,,0,0,13691,340,2396,10955,2020-05-07T00:00:00Z
107,Ukraine,,,,,0,0,14195,361,2706,11128,2020-05-08T00:00:00Z
108,Ukraine,,,,,0,0,14710,376,2909,11425,2020-05-09T00:00:00Z
109,Ukraine,,,,,0,0,15232,391,3060,11781,2020-05-10T00:00:00Z
110,Ukraine,,,,,0,0,15648,408,3288,11952,2020-05-11T00:00:00Z
111,Ukraine,,,,,0,0,16023,425,3373,12225,2020-05-12T00:00:00Z
112,Ukraine,,,,,0,0,16425,439,3716,12270,2020-05-13T00:00:00Z
113,Ukraine,,,,,0,0,16847,456,4143,12248,2020-05-14T00:00:00Z
114,Ukraine,,,,,0,0,17330,476,4473,12381,2020-05-15T00:00:00Z
115,Ukraine,,,,,0,0,17858,497,4906,12455,2020-05-16T00:00:00Z
116,Ukraine,,,,,0,0,18291,514,5116,12661,2020-05-17T00:00:00Z
117,Ukraine,,,,,0,0,18616,535,5276,12805,2020-05-18T00:00:00Z
118,Ukraine,,,,,0,0,18876,548,5632,12696,2020-05-19T00:00:00Z
119,Ukraine,,,,,0,0,19230,564,5955,12711,2020-05-20T00:00:00Z
120,Ukraine,,,,,0,0,19706,579,6227,12900,2020-05-21T00:00:00Z
121,Ukraine,,,,,0,0,20148,588,6585,12975,2020-05-22T00:00:00Z
122,Ukraine,,,,,0,0,20580,605,6929,13046,2020-05-23T00:00:00Z
123,Ukraine,,,,,0,0,20986,617,7108,13261,2020-05-24T00:00:00Z
124,Ukraine,,,,,0,0,21245,623,7234,13388,2020-05-25T00:00:00Z
125,Ukraine,,,,,0,0,21584,644,7575,13365,2020-05-26T00:00:00Z
126,Ukraine,,,,,0,0,21905,658,7995,13252,2020-05-27T00:00:00Z
127,Ukraine,,,,,0,0,22382,669,8439,13274,2020-05-28T00:00:00Z
128,Ukraine,,,,,0,0,22811,679,8934,13198,2020-05-29T00:00:00Z
129,Ukraine,,,,,0,0,23204,696,9311,13197,2020-05-30T00:00:00Z
130,Ukraine,,,,,0,0,23672,708,9538,13426,2020-05-31T00:00:00Z
131,Ukraine,,,,,0,0,24562,724,10053,13785,2020-06-01T00:00:00Z
