,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,United Arab Emirates,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,United Arab Emirates,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,United Arab Emirates,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,United Arab Emirates,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,United Arab Emirates,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,United Arab Emirates,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,United Arab Emirates,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,United Arab Emirates,,,,,0,0,4,0,0,4,2020-01-29T00:00:00Z
8,United Arab Emirates,,,,,0,0,4,0,0,4,2020-01-30T00:00:00Z
9,United Arab Emirates,,,,,0,0,4,0,0,4,2020-01-31T00:00:00Z
10,United Arab Emirates,,,,,0,0,4,0,0,4,2020-02-01T00:00:00Z
11,United Arab Emirates,,,,,0,0,5,0,0,5,2020-02-02T00:00:00Z
12,United Arab Emirates,,,,,0,0,5,0,0,5,2020-02-03T00:00:00Z
13,United Arab Emirates,,,,,0,0,5,0,0,5,2020-02-04T00:00:00Z
14,United Arab Emirates,,,,,0,0,5,0,0,5,2020-02-05T00:00:00Z
15,United Arab Emirates,,,,,0,0,5,0,0,5,2020-02-06T00:00:00Z
16,United Arab Emirates,,,,,0,0,5,0,0,5,2020-02-07T00:00:00Z
17,United Arab Emirates,,,,,0,0,7,0,0,7,2020-02-08T00:00:00Z
18,United Arab Emirates,,,,,0,0,7,0,0,7,2020-02-09T00:00:00Z
19,United Arab Emirates,,,,,0,0,8,0,0,8,2020-02-10T00:00:00Z
20,United Arab Emirates,,,,,0,0,8,0,0,8,2020-02-11T00:00:00Z
21,United Arab Emirates,,,,,0,0,8,0,1,7,2020-02-12T00:00:00Z
22,United Arab Emirates,,,,,0,0,8,0,1,7,2020-02-13T00:00:00Z
23,United Arab Emirates,,,,,0,0,8,0,1,7,2020-02-14T00:00:00Z
24,United Arab Emirates,,,,,0,0,8,0,3,5,2020-02-15T00:00:00Z
25,United Arab Emirates,,,,,0,0,9,0,4,5,2020-02-16T00:00:00Z
26,United Arab Emirates,,,,,0,0,9,0,4,5,2020-02-17T00:00:00Z
27,United Arab Emirates,,,,,0,0,9,0,4,5,2020-02-18T00:00:00Z
28,United Arab Emirates,,,,,0,0,9,0,4,5,2020-02-19T00:00:00Z
29,United Arab Emirates,,,,,0,0,9,0,4,5,2020-02-20T00:00:00Z
30,United Arab Emirates,,,,,0,0,9,0,4,5,2020-02-21T00:00:00Z
31,United Arab Emirates,,,,,0,0,13,0,4,9,2020-02-22T00:00:00Z
32,United Arab Emirates,,,,,0,0,13,0,4,9,2020-02-23T00:00:00Z
33,United Arab Emirates,,,,,0,0,13,0,4,9,2020-02-24T00:00:00Z
34,United Arab Emirates,,,,,0,0,13,0,4,9,2020-02-25T00:00:00Z
35,United Arab Emirates,,,,,0,0,13,0,4,9,2020-02-26T00:00:00Z
