,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,United Kingdom,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,United Kingdom,,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,United Kingdom,,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,United Kingdom,,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,United Kingdom,,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,United Kingdom,,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,United Kingdom,,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,United Kingdom,,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,United Kingdom,,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,United Kingdom,,,,,0,0,2,0,0,2,2020-01-31T00:00:00Z
10,United Kingdom,,,,,0,0,2,0,0,2,2020-02-01T00:00:00Z
11,United Kingdom,,,,,0,0,2,0,0,2,2020-02-02T00:00:00Z
12,United Kingdom,,,,,0,0,8,0,0,8,2020-02-03T00:00:00Z
13,United Kingdom,,,,,0,0,8,0,0,8,2020-02-04T00:00:00Z
14,United Kingdom,,,,,0,0,9,0,0,9,2020-02-05T00:00:00Z
15,United Kingdom,,,,,0,0,9,0,0,9,2020-02-06T00:00:00Z
16,United Kingdom,,,,,0,0,9,0,0,9,2020-02-07T00:00:00Z
17,United Kingdom,,,,,0,0,13,0,0,13,2020-02-08T00:00:00Z
18,United Kingdom,,,,,0,0,14,0,0,14,2020-02-09T00:00:00Z
19,United Kingdom,,,,,0,0,14,0,0,14,2020-02-10T00:00:00Z
20,United Kingdom,,,,,0,0,15,0,0,15,2020-02-11T00:00:00Z
21,United Kingdom,,,,,0,0,16,0,1,15,2020-02-12T00:00:00Z
22,United Kingdom,,,,,0,0,17,0,1,16,2020-02-13T00:00:00Z
23,United Kingdom,,,,,0,0,18,0,1,17,2020-02-14T00:00:00Z
24,United Kingdom,,,,,0,0,18,0,1,17,2020-02-15T00:00:00Z
25,United Kingdom,,,,,0,0,18,0,8,10,2020-02-16T00:00:00Z
26,United Kingdom,,,,,0,0,19,0,8,11,2020-02-17T00:00:00Z
27,United Kingdom,,,,,0,0,19,0,8,11,2020-02-18T00:00:00Z
28,United Kingdom,,,,,0,0,20,0,8,12,2020-02-19T00:00:00Z
29,United Kingdom,,,,,0,0,22,0,8,14,2020-02-20T00:00:00Z
30,United Kingdom,,,,,0,0,23,0,8,15,2020-02-21T00:00:00Z
31,United Kingdom,,,,,0,0,23,0,8,15,2020-02-22T00:00:00Z
32,United Kingdom,,,,,0,0,28,0,8,20,2020-02-23T00:00:00Z
33,United Kingdom,,,,,0,0,30,0,8,22,2020-02-24T00:00:00Z
34,United Kingdom,,,,,0,0,34,0,8,26,2020-02-25T00:00:00Z
35,United Kingdom,,,,,0,0,37,0,8,29,2020-02-26T00:00:00Z
36,United Kingdom,,,,,0,0,44,0,8,36,2020-02-27T00:00:00Z
37,United Kingdom,,,,,0,0,56,0,8,48,2020-02-28T00:00:00Z
38,United Kingdom,,,,,0,0,61,0,8,53,2020-02-29T00:00:00Z
39,United Kingdom,,,,,0,0,94,0,8,86,2020-03-01T00:00:00Z
40,United Kingdom,,,,,0,0,134,0,8,126,2020-03-02T00:00:00Z
41,United Kingdom,,,,,0,0,189,0,8,181,2020-03-03T00:00:00Z
42,United Kingdom,,,,,0,0,246,0,8,238,2020-03-04T00:00:00Z
43,United Kingdom,,,,,0,0,295,0,8,287,2020-03-05T00:00:00Z
44,United Kingdom,,,,,0,0,374,1,8,365,2020-03-06T00:00:00Z
45,United Kingdom,,,,,0,0,429,2,18,409,2020-03-07T00:00:00Z
46,United Kingdom,,,,,0,0,483,2,18,463,2020-03-08T00:00:00Z
47,United Kingdom,,,,,0,0,630,3,18,609,2020-03-09T00:00:00Z
48,United Kingdom,,,,,0,0,889,7,19,863,2020-03-10T00:00:00Z
49,United Kingdom,,,,,0,0,1301,7,19,1275,2020-03-11T00:00:00Z
50,United Kingdom,,,,,0,0,1790,9,19,1762,2020-03-12T00:00:00Z
51,United Kingdom,,,,,0,0,2270,10,19,2241,2020-03-13T00:00:00Z
52,United Kingdom,,,,,0,0,2634,29,19,2586,2020-03-14T00:00:00Z
53,United Kingdom,,,,,0,0,3077,43,19,3015,2020-03-15T00:00:00Z
54,United Kingdom,,,,,0,0,3692,66,21,3605,2020-03-16T00:00:00Z
55,United Kingdom,,,,,0,0,4462,83,53,4326,2020-03-17T00:00:00Z
56,United Kingdom,,,,,0,0,5468,118,68,5283,2020-03-18T00:00:00Z
57,United Kingdom,,,,,0,0,6534,164,68,6303,2020-03-19T00:00:00Z
58,United Kingdom,,,,,0,0,7792,196,68,7529,2020-03-20T00:00:00Z
59,United Kingdom,,,,,0,0,9007,254,68,8686,2020-03-21T00:00:00Z
60,United Kingdom,,,,,0,0,10395,289,67,10039,2020-03-22T00:00:00Z
61,United Kingdom,,,,,0,0,12744,365,67,12312,2020-03-23T00:00:00Z
62,United Kingdom,,,,,0,0,15126,513,140,14473,2020-03-24T00:00:00Z
63,United Kingdom,,,,,0,0,17843,704,140,16999,2020-03-25T00:00:00Z
64,United Kingdom,,,,,0,0,20970,886,150,19934,2020-03-26T00:00:00Z
65,United Kingdom,,,,,0,0,24219,1174,151,22894,2020-03-27T00:00:00Z
66,United Kingdom,,,,,0,0,27062,1466,151,25445,2020-03-28T00:00:00Z
67,United Kingdom,,,,,0,0,29954,1679,151,28124,2020-03-29T00:00:00Z
68,United Kingdom,,,,,0,0,34281,2053,171,32057,2020-03-30T00:00:00Z
69,United Kingdom,,,,,0,0,38815,2457,179,36179,2020-03-31T00:00:00Z
70,United Kingdom,,,,,0,0,43789,3130,179,40480,2020-04-01T00:00:00Z
71,United Kingdom,,,,,0,0,48718,3787,192,44739,2020-04-02T00:00:00Z
72,United Kingdom,,,,,0,0,53699,4524,208,48967,2020-04-03T00:00:00Z
73,United Kingdom,,,,,0,0,57772,5281,215,52276,2020-04-04T00:00:00Z
74,United Kingdom,,,,,0,0,61422,5882,229,55311,2020-04-05T00:00:00Z
75,United Kingdom,,,,,0,0,66738,6452,287,59999,2020-04-06T00:00:00Z
76,United Kingdom,,,,,0,0,72224,7557,325,64342,2020-04-07T00:00:00Z
77,United Kingdom,,,,,0,0,77387,8589,345,68453,2020-04-08T00:00:00Z
78,United Kingdom,,,,,0,0,82293,9706,359,72228,2020-04-09T00:00:00Z
79,United Kingdom,,,,,0,0,86660,10829,588,75243,2020-04-10T00:00:00Z
80,United Kingdom,,,,,0,0,90273,11673,622,77978,2020-04-11T00:00:00Z
81,United Kingdom,,,,,0,0,93812,12330,626,80856,2020-04-12T00:00:00Z
82,United Kingdom,,,,,0,0,98017,13055,304,84658,2020-04-13T00:00:00Z
83,United Kingdom,,,,,0,0,102365,14135,323,87907,2020-04-14T00:00:00Z
84,United Kingdom,,,,,0,0,107465,15019,368,92078,2020-04-15T00:00:00Z
85,United Kingdom,,,,,0,0,112808,16059,375,96374,2020-04-16T00:00:00Z
86,United Kingdom,,,,,0,0,117798,16973,394,100431,2020-04-17T00:00:00Z
87,United Kingdom,,,,,0,0,122534,18081,414,104039,2020-04-18T00:00:00Z
88,United Kingdom,,,,,0,0,126394,18514,436,107444,2020-04-19T00:00:00Z
89,United Kingdom,,,,,0,0,131260,19090,446,111724,2020-04-20T00:00:00Z
90,United Kingdom,,,,,0,0,136035,20314,638,115083,2020-04-21T00:00:00Z
91,United Kingdom,,,,,0,0,141540,21171,683,119686,2020-04-22T00:00:00Z
92,United Kingdom,,,,,0,0,146708,21855,712,124141,2020-04-23T00:00:00Z
93,United Kingdom,,,,,0,0,151689,22873,724,128092,2020-04-24T00:00:00Z
94,United Kingdom,,,,,0,0,155453,23689,774,130990,2020-04-25T00:00:00Z
95,United Kingdom,,,,,0,0,158926,24053,778,134095,2020-04-26T00:00:00Z
96,United Kingdom,,,,,0,0,163630,24376,807,138447,2020-04-27T00:00:00Z
97,United Kingdom,,,,,0,0,168357,25347,813,142197,2020-04-28T00:00:00Z
98,United Kingdom,,,,,0,0,173807,26118,857,146832,2020-04-29T00:00:00Z
99,United Kingdom,,,,,0,0,178771,26754,859,151158,2020-04-30T00:00:00Z
100,United Kingdom,,,,,0,0,183501,27454,892,155155,2020-05-01T00:00:00Z
101,United Kingdom,,,,,0,0,186731,28039,896,157796,2020-05-02T00:00:00Z
102,United Kingdom,,,,,0,0,189708,28292,901,160515,2020-05-03T00:00:00Z
103,United Kingdom,,,,,0,0,193091,28565,910,163616,2020-05-04T00:00:00Z
104,United Kingdom,,,,,0,0,196780,29290,926,166564,2020-05-05T00:00:00Z
105,United Kingdom,,,,,0,0,200616,29937,934,169745,2020-05-06T00:00:00Z
106,United Kingdom,,,,,0,0,204387,30395,970,173022,2020-05-07T00:00:00Z
107,United Kingdom,,,,,0,0,207439,30975,997,175467,2020-05-08T00:00:00Z
108,United Kingdom,,,,,0,0,209589,31250,1001,177338,2020-05-09T00:00:00Z
109,United Kingdom,,,,,0,0,211911,31467,1002,179442,2020-05-10T00:00:00Z
110,United Kingdom,,,,,0,0,215500,31655,1015,182830,2020-05-11T00:00:00Z
111,United Kingdom,,,,,0,0,218895,32270,1023,185602,2020-05-12T00:00:00Z
112,United Kingdom,,,,,0,0,222195,32718,1032,188445,2020-05-13T00:00:00Z
113,United Kingdom,,,,,0,0,224813,33071,1043,190699,2020-05-14T00:00:00Z
114,United Kingdom,,,,,0,0,227334,33422,1047,192865,2020-05-15T00:00:00Z
115,United Kingdom,,,,,0,0,229406,33833,1058,194515,2020-05-16T00:00:00Z
116,United Kingdom,,,,,0,0,231232,33900,1058,196274,2020-05-17T00:00:00Z
117,United Kingdom,,,,,0,0,233809,34046,1090,198673,2020-05-18T00:00:00Z
118,United Kingdom,,,,,0,0,236867,34547,1099,201221,2020-05-19T00:00:00Z
