,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-01-23T00:00:00Z
2,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-01-24T00:00:00Z
3,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-01-25T00:00:00Z
4,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-01-26T00:00:00Z
5,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-01-27T00:00:00Z
6,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-01-28T00:00:00Z
7,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-01-29T00:00:00Z
8,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-01-30T00:00:00Z
9,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-01-31T00:00:00Z
10,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-01T00:00:00Z
11,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-02T00:00:00Z
12,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-03T00:00:00Z
13,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-04T00:00:00Z
14,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-05T00:00:00Z
15,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-06T00:00:00Z
16,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-07T00:00:00Z
17,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-08T00:00:00Z
18,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-09T00:00:00Z
19,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-10T00:00:00Z
20,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-11T00:00:00Z
21,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-12T00:00:00Z
22,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-25T00:00:00Z
35,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-26T00:00:00Z
36,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-27T00:00:00Z
37,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-28T00:00:00Z
38,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-02-29T00:00:00Z
39,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-03-01T00:00:00Z
40,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-03-02T00:00:00Z
41,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-03-03T00:00:00Z
42,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-03-04T00:00:00Z
43,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-03-05T00:00:00Z
44,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-03-06T00:00:00Z
45,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-03-07T00:00:00Z
46,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-03-08T00:00:00Z
47,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-03-09T00:00:00Z
48,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-03-10T00:00:00Z
49,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-03-11T00:00:00Z
50,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-03-12T00:00:00Z
51,Venezuela (Bolivarian Republic),,,,,0,0,0,0,0,0,2020-03-13T00:00:00Z
52,Venezuela (Bolivarian Republic),,,,,0,0,2,0,0,2,2020-03-14T00:00:00Z
53,Venezuela (Bolivarian Republic),,,,,0,0,10,0,0,10,2020-03-15T00:00:00Z
54,Venezuela (Bolivarian Republic),,,,,0,0,17,0,0,17,2020-03-16T00:00:00Z
55,Venezuela (Bolivarian Republic),,,,,0,0,33,0,0,33,2020-03-17T00:00:00Z
56,Venezuela (Bolivarian Republic),,,,,0,0,36,0,0,36,2020-03-18T00:00:00Z
57,Venezuela (Bolivarian Republic),,,,,0,0,42,0,0,42,2020-03-19T00:00:00Z
58,Venezuela (Bolivarian Republic),,,,,0,0,42,0,0,42,2020-03-20T00:00:00Z
59,Venezuela (Bolivarian Republic),,,,,0,0,70,0,0,70,2020-03-21T00:00:00Z
60,Venezuela (Bolivarian Republic),,,,,0,0,70,0,15,55,2020-03-22T00:00:00Z
61,Venezuela (Bolivarian Republic),,,,,0,0,77,0,15,62,2020-03-23T00:00:00Z
62,Venezuela (Bolivarian Republic),,,,,0,0,84,0,15,69,2020-03-24T00:00:00Z
63,Venezuela (Bolivarian Republic),,,,,0,0,91,0,15,76,2020-03-25T00:00:00Z
64,Venezuela (Bolivarian Republic),,,,,0,0,107,0,15,92,2020-03-26T00:00:00Z
65,Venezuela (Bolivarian Republic),,,,,0,0,107,1,31,75,2020-03-27T00:00:00Z
66,Venezuela (Bolivarian Republic),,,,,0,0,119,2,39,78,2020-03-28T00:00:00Z
67,Venezuela (Bolivarian Republic),,,,,0,0,119,2,39,78,2020-03-29T00:00:00Z
68,Venezuela (Bolivarian Republic),,,,,0,0,135,3,39,93,2020-03-30T00:00:00Z
69,Venezuela (Bolivarian Republic),,,,,0,0,135,3,39,93,2020-03-31T00:00:00Z
70,Venezuela (Bolivarian Republic),,,,,0,0,143,3,41,99,2020-04-01T00:00:00Z
71,Venezuela (Bolivarian Republic),,,,,0,0,146,5,43,98,2020-04-02T00:00:00Z
72,Venezuela (Bolivarian Republic),,,,,0,0,153,7,52,94,2020-04-03T00:00:00Z
73,Venezuela (Bolivarian Republic),,,,,0,0,155,7,52,96,2020-04-04T00:00:00Z
74,Venezuela (Bolivarian Republic),,,,,0,0,159,7,52,100,2020-04-05T00:00:00Z
75,Venezuela (Bolivarian Republic),,,,,0,0,165,7,65,93,2020-04-06T00:00:00Z
76,Venezuela (Bolivarian Republic),,,,,0,0,165,7,65,93,2020-04-07T00:00:00Z
77,Venezuela (Bolivarian Republic),,,,,0,0,167,9,65,93,2020-04-08T00:00:00Z
78,Venezuela (Bolivarian Republic),,,,,0,0,171,9,84,78,2020-04-09T00:00:00Z
79,Venezuela (Bolivarian Republic),,,,,0,0,171,9,84,78,2020-04-10T00:00:00Z
80,Venezuela (Bolivarian Republic),,,,,0,0,175,9,93,73,2020-04-11T00:00:00Z
81,Venezuela (Bolivarian Republic),,,,,0,0,181,9,93,79,2020-04-12T00:00:00Z
82,Venezuela (Bolivarian Republic),,,,,0,0,189,9,110,70,2020-04-13T00:00:00Z
83,Venezuela (Bolivarian Republic),,,,,0,0,189,9,110,70,2020-04-14T00:00:00Z
