,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
0,Viet Nam,,,,,0,0,0,0,0,0,2020-01-22T00:00:00Z
1,Viet Nam,,,,,0,0,2,0,0,2,2020-01-23T00:00:00Z
2,Viet Nam,,,,,0,0,2,0,0,2,2020-01-24T00:00:00Z
3,Viet Nam,,,,,0,0,2,0,0,2,2020-01-25T00:00:00Z
4,Viet Nam,,,,,0,0,2,0,0,2,2020-01-26T00:00:00Z
5,Viet Nam,,,,,0,0,2,0,0,2,2020-01-27T00:00:00Z
6,Viet Nam,,,,,0,0,2,0,0,2,2020-01-28T00:00:00Z
7,Viet Nam,,,,,0,0,2,0,0,2,2020-01-29T00:00:00Z
8,Viet Nam,,,,,0,0,2,0,0,2,2020-01-30T00:00:00Z
9,Viet Nam,,,,,0,0,2,0,0,2,2020-01-31T00:00:00Z
10,Viet Nam,,,,,0,0,6,0,1,5,2020-02-01T00:00:00Z
11,Viet Nam,,,,,0,0,6,0,1,5,2020-02-02T00:00:00Z
12,Viet Nam,,,,,0,0,8,0,1,7,2020-02-03T00:00:00Z
13,Viet Nam,,,,,0,0,8,0,1,7,2020-02-04T00:00:00Z
14,Viet Nam,,,,,0,0,8,0,1,7,2020-02-05T00:00:00Z
15,Viet Nam,,,,,0,0,10,0,1,9,2020-02-06T00:00:00Z
16,Viet Nam,,,,,0,0,10,0,1,9,2020-02-07T00:00:00Z
17,Viet Nam,,,,,0,0,13,0,1,12,2020-02-08T00:00:00Z
18,Viet Nam,,,,,0,0,13,0,1,12,2020-02-09T00:00:00Z
19,Viet Nam,,,,,0,0,14,0,1,13,2020-02-10T00:00:00Z
20,Viet Nam,,,,,0,0,15,0,6,9,2020-02-11T00:00:00Z
21,Viet Nam,,,,,0,0,15,0,6,9,2020-02-12T00:00:00Z
22,Viet Nam,,,,,0,0,16,0,7,9,2020-02-13T00:00:00Z
23,Viet Nam,,,,,0,0,16,0,7,9,2020-02-14T00:00:00Z
24,Viet Nam,,,,,0,0,16,0,7,9,2020-02-15T00:00:00Z
25,Viet Nam,,,,,0,0,16,0,7,9,2020-02-16T00:00:00Z
26,Viet Nam,,,,,0,0,16,0,7,9,2020-02-17T00:00:00Z
27,Viet Nam,,,,,0,0,16,0,7,9,2020-02-18T00:00:00Z
28,Viet Nam,,,,,0,0,16,0,7,9,2020-02-19T00:00:00Z
29,Viet Nam,,,,,0,0,16,0,7,9,2020-02-20T00:00:00Z
30,Viet Nam,,,,,0,0,16,0,14,2,2020-02-21T00:00:00Z
31,Viet Nam,,,,,0,0,16,0,14,2,2020-02-22T00:00:00Z
32,Viet Nam,,,,,0,0,16,0,14,2,2020-02-23T00:00:00Z
33,Viet Nam,,,,,0,0,16,0,14,2,2020-02-24T00:00:00Z
34,Viet Nam,,,,,0,0,16,0,16,0,2020-02-25T00:00:00Z
35,Viet Nam,,,,,0,0,16,0,16,0,2020-02-26T00:00:00Z
36,Viet Nam,,,,,0,0,16,0,16,0,2020-02-27T00:00:00Z
37,Viet Nam,,,,,0,0,16,0,16,0,2020-02-28T00:00:00Z
38,Viet Nam,,,,,0,0,16,0,16,0,2020-02-29T00:00:00Z
39,Viet Nam,,,,,0,0,16,0,16,0,2020-03-01T00:00:00Z
40,Viet Nam,,,,,0,0,16,0,16,0,2020-03-02T00:00:00Z
41,Viet Nam,,,,,0,0,16,0,16,0,2020-03-03T00:00:00Z
42,Viet Nam,,,,,0,0,16,0,16,0,2020-03-04T00:00:00Z
43,Viet Nam,,,,,0,0,16,0,16,0,2020-03-05T00:00:00Z
44,Viet Nam,,,,,0,0,16,0,16,0,2020-03-06T00:00:00Z
45,Viet Nam,,,,,0,0,18,0,16,2,2020-03-07T00:00:00Z
46,Viet Nam,,,,,0,0,30,0,16,14,2020-03-08T00:00:00Z
47,Viet Nam,,,,,0,0,30,0,16,14,2020-03-09T00:00:00Z
48,Viet Nam,,,,,0,0,31,0,16,15,2020-03-10T00:00:00Z
49,Viet Nam,,,,,0,0,38,0,16,22,2020-03-11T00:00:00Z
50,Viet Nam,,,,,0,0,39,0,16,23,2020-03-12T00:00:00Z
51,Viet Nam,,,,,0,0,47,0,16,31,2020-03-13T00:00:00Z
52,Viet Nam,,,,,0,0,53,0,16,37,2020-03-14T00:00:00Z
53,Viet Nam,,,,,0,0,56,0,16,40,2020-03-15T00:00:00Z
54,Viet Nam,,,,,0,0,61,0,16,45,2020-03-16T00:00:00Z
55,Viet Nam,,,,,0,0,66,0,16,50,2020-03-17T00:00:00Z
56,Viet Nam,,,,,0,0,75,0,16,59,2020-03-18T00:00:00Z
57,Viet Nam,,,,,0,0,85,0,16,69,2020-03-19T00:00:00Z
58,Viet Nam,,,,,0,0,91,0,16,75,2020-03-20T00:00:00Z
59,Viet Nam,,,,,0,0,94,0,17,77,2020-03-21T00:00:00Z
60,Viet Nam,,,,,0,0,113,0,17,96,2020-03-22T00:00:00Z
61,Viet Nam,,,,,0,0,123,0,17,106,2020-03-23T00:00:00Z
62,Viet Nam,,,,,0,0,134,0,17,117,2020-03-24T00:00:00Z
63,Viet Nam,,,,,0,0,141,0,17,124,2020-03-25T00:00:00Z
64,Viet Nam,,,,,0,0,153,0,20,133,2020-03-26T00:00:00Z
65,Viet Nam,,,,,0,0,163,0,20,143,2020-03-27T00:00:00Z
66,Viet Nam,,,,,0,0,174,0,21,153,2020-03-28T00:00:00Z
67,Viet Nam,,,,,0,0,188,0,25,163,2020-03-29T00:00:00Z
68,Viet Nam,,,,,0,0,203,0,55,148,2020-03-30T00:00:00Z
69,Viet Nam,,,,,0,0,212,0,58,154,2020-03-31T00:00:00Z
70,Viet Nam,,,,,0,0,218,0,63,155,2020-04-01T00:00:00Z
71,Viet Nam,,,,,0,0,233,0,75,158,2020-04-02T00:00:00Z
72,Viet Nam,,,,,0,0,237,0,85,152,2020-04-03T00:00:00Z
73,Viet Nam,,,,,0,0,240,0,90,150,2020-04-04T00:00:00Z
74,Viet Nam,,,,,0,0,241,0,90,151,2020-04-05T00:00:00Z
75,Viet Nam,,,,,0,0,245,0,95,150,2020-04-06T00:00:00Z
76,Viet Nam,,,,,0,0,249,0,123,126,2020-04-07T00:00:00Z
77,Viet Nam,,,,,0,0,251,0,126,125,2020-04-08T00:00:00Z
78,Viet Nam,,,,,0,0,255,0,128,127,2020-04-09T00:00:00Z
79,Viet Nam,,,,,0,0,257,0,144,113,2020-04-10T00:00:00Z
80,Viet Nam,,,,,0,0,258,0,144,114,2020-04-11T00:00:00Z
81,Viet Nam,,,,,0,0,262,0,144,118,2020-04-12T00:00:00Z
82,Viet Nam,,,,,0,0,265,0,146,119,2020-04-13T00:00:00Z
83,Viet Nam,,,,,0,0,266,0,169,97,2020-04-14T00:00:00Z
84,Viet Nam,,,,,0,0,267,0,171,96,2020-04-15T00:00:00Z
85,Viet Nam,,,,,0,0,268,0,177,91,2020-04-16T00:00:00Z
86,Viet Nam,,,,,0,0,268,0,198,70,2020-04-17T00:00:00Z
87,Viet Nam,,,,,0,0,268,0,201,67,2020-04-18T00:00:00Z
88,Viet Nam,,,,,0,0,268,0,202,66,2020-04-19T00:00:00Z
89,Viet Nam,,,,,0,0,268,0,214,54,2020-04-20T00:00:00Z
90,Viet Nam,,,,,0,0,268,0,216,52,2020-04-21T00:00:00Z
91,Viet Nam,,,,,0,0,268,0,223,45,2020-04-22T00:00:00Z
92,Viet Nam,,,,,0,0,268,0,224,44,2020-04-23T00:00:00Z
93,Viet Nam,,,,,0,0,270,0,220,50,2020-04-24T00:00:00Z
94,Viet Nam,,,,,0,0,270,0,225,45,2020-04-25T00:00:00Z
95,Viet Nam,,,,,0,0,270,0,225,45,2020-04-26T00:00:00Z
96,Viet Nam,,,,,0,0,270,0,225,45,2020-04-27T00:00:00Z
97,Viet Nam,,,,,0,0,270,0,222,48,2020-04-28T00:00:00Z
98,Viet Nam,,,,,0,0,270,0,222,48,2020-04-29T00:00:00Z
99,Viet Nam,,,,,0,0,270,0,219,51,2020-04-30T00:00:00Z
100,Viet Nam,,,,,0,0,270,0,219,51,2020-05-01T00:00:00Z
101,Viet Nam,,,,,0,0,270,0,219,51,2020-05-02T00:00:00Z
102,Viet Nam,,,,,0,0,271,0,219,52,2020-05-03T00:00:00Z
103,Viet Nam,,,,,0,0,271,0,219,52,2020-05-04T00:00:00Z
104,Viet Nam,,,,,0,0,271,0,232,39,2020-05-05T00:00:00Z
105,Viet Nam,,,,,0,0,271,0,232,39,2020-05-06T00:00:00Z
106,Viet Nam,,,,,0,0,288,0,233,55,2020-05-07T00:00:00Z
107,Viet Nam,,,,,0,0,288,0,241,47,2020-05-08T00:00:00Z
108,Viet Nam,,,,,0,0,288,0,241,47,2020-05-09T00:00:00Z
109,Viet Nam,,,,,0,0,288,0,241,47,2020-05-10T00:00:00Z
110,Viet Nam,,,,,0,0,288,0,249,39,2020-05-11T00:00:00Z
111,Viet Nam,,,,,0,0,288,0,252,36,2020-05-12T00:00:00Z
112,Viet Nam,,,,,0,0,288,0,252,36,2020-05-13T00:00:00Z
113,Viet Nam,,,,,0,0,312,0,260,52,2020-05-14T00:00:00Z
114,Viet Nam,,,,,0,0,314,0,260,54,2020-05-15T00:00:00Z
115,Viet Nam,,,,,0,0,318,0,260,58,2020-05-16T00:00:00Z
116,Viet Nam,,,,,0,0,320,0,260,60,2020-05-17T00:00:00Z
117,Viet Nam,,,,,0,0,324,0,263,61,2020-05-18T00:00:00Z
118,Viet Nam,,,,,0,0,324,0,263,61,2020-05-19T00:00:00Z
119,Viet Nam,,,,,0,0,324,0,263,61,2020-05-20T00:00:00Z
